Data,Organisation unit,Value
upazilla_epi_TT Card_damaged,Bangladesh,279622.0
upazilla_epi_Child register_damaged,Bangladesh,36253.0
upazilla_epi_Syringe (0.1 ml)_used,Bangladesh,5142284.0
upazilla_epi_Child Card_damaged,Bangladesh,162242.0
upazilla_epi_Child Report Bookprevious stock,Bangladesh,59190.0
upazilla_epi_PCV vial_receive,Bangladesh,5491838.0
upazilla_epi_Syringe (3 ml)_receive,Bangladesh,2826749.0
upazilla_epi_Women register_receive,Bangladesh,45423.0
upazilla_epi_Vitamin A Capsule_used,Bangladesh,8443597.0
upazilla_epi_Syringe (0.5 ml)_receive,Bangladesh,6.591896E7
upazilla_epi_Moni Flag_used,Bangladesh,44299.0
upazilla_epi_Measles vial_damaged,Bangladesh,30981.8
upazilla_epi_Syringe (0.5 ml) previous stock,Bangladesh,1.66748094E8
upazilla_epi_Safety Box_receive,Bangladesh,487860.0
upazilla_epi_Syringe (0.05 ml)_damaged,Bangladesh,337770.5
upazilla_epi_MR vial_damaged,Bangladesh,78620.5
upazilla_epi_PCV vial previous stock,Bangladesh,3156371.0
upazilla_epi_Tally Book (Women)_receive,Bangladesh,41006.0
upazilla_epi_Women Report Book previous stock,Bangladesh,94862.0
upazilla_epi_BCG Diluent_damaged,Bangladesh,74038.8
upazilla_epi_Child Report Book_damaged,Bangladesh,3007.0
upazilla_epi_MR vial_used,Bangladesh,2407605.0
upazilla_epi_Women register_damaged,Bangladesh,6328.0
upazilla_epi_Moni Flag_damaged,Bangladesh,10582.0
upazilla_epi_OPV vial_receive,Bangladesh,3156043.0
upazilla_epi_BCG vial_used,Bangladesh,2083788.0
upazilla_epi_TT vial_receive,Bangladesh,2969732.0
upazilla_epi_BCG Diluent_used,Bangladesh,2082642.0
upazilla_epi_Syringe (5 ml) previous stock,Bangladesh,1.6701453E7
upazilla_epi_PCV vial_supplied1,Bangladesh,3197318.0
upazilla_epi_Tally Book (Women)_damaged,Bangladesh,2344.0
upazilla_epi_Safety Box_used,Bangladesh,360696.0
upazilla_epi_Child register previous stock,Bangladesh,164484.0
upazilla_epi_IPV vial_used,Bangladesh,278876.4
upazilla_epi_IPV vial_receive,Bangladesh,288738.4
upazilla_epi_OPV vial_used,Bangladesh,3062239.3
upazilla_epi_IPV vial previous stock,Bangladesh,201860.0
upazilla_epi_Child Card previous stock,Bangladesh,8665526.0
upazilla_epi_Measles Diluent_used,Bangladesh,566499.0
upazilla_epi_Syringe (3 ml) previous stock,Bangladesh,9763415.0
upazilla_epi_Tally Book (child)_damaged,Bangladesh,3527.0
upazilla_epi_Measles vial_used,Bangladesh,591478.0
upazilla_epi_OPV vial_damaged,Bangladesh,7229.9
upazilla_epi_Tally Book (child) previous stock,Bangladesh,74118.0
upazilla_epi_Vitamin A Capsule_damaged,Bangladesh,836415.0
upazilla_epi_TT vial_damaged,Bangladesh,83602.6
upazilla_epi_PCV need,Bangladesh,6236337.0
upazilla_epi_MR Diluent previous stock,Bangladesh,1782283.0
upazilla_epi_Vitamin A Capsule_receive,Bangladesh,8722722.0
upazilla_epi_Safety Box previous stock,Bangladesh,1609200.0
upazilla_epi_BCG Diluent_receive,Bangladesh,2.90351712E9
upazilla_epi_Measles vial_receive,Bangladesh,518179.0
upazilla_epi_PCV vial_damaged,Bangladesh,632.4
upazilla_epi_Measles Diluent_damaged,Bangladesh,30749.8
upazilla_epi_Tally Book (child)_receive,Bangladesh,46094.0
