Data,Organisation unit,Value
Xi0rEcM2dnU,201974,12675.0
HgCvJyeV8s1,557734,683.0
lXY1Qn1Xmym,107987,0.0
esdiLuANYzJ,305994,1559.0
Pmkei3034T3,508894,8774.0
S7WmD2KXggR,501085,0.0
uCak0uhIKX5,303907,9900.0
OM8Cr8d7NOm,609027,6400.0
D6DrcyNPJRe,404775,1900.0
bWQSZuLmC4h,603605,9.0
jeJ3ZSbbg2z,305994,0.0
qRf4BEqDWEO,207580,420.0
tfs4ubhi7aS,203014,171.0
GsVpkzuOvvr,305454,8000.0
GsVpkzuOvvr,302910,7800.0
faixFpbou4s,552717,8300.0
j9BXR3fcgBU,501027,12300.0
gxlRbfWMpVx,553230,0.0
qC35JBYiNvW,107857,511.0
hveFMwiLEd6,100419,0.0
zpxBh06iewG,603602,2406.0
wyYeZ43DyVh,554979,2700.0
sk1epOoCbSF,507639,104164.0
avwgDjGy5QN,503858,4900.0
gCFmCwtKtG9,304876,375.0
aiQep6Y8DiC,100610,100800.0
iPOIupRRbet,405595,3075.0
Gf6lEllg2nM,605874,0.0
ViTJ0SouxHk,306116,0.0
CcyZexM0LpH,405760,24.0
oFuUltZt2kL,506991,5729.0
L3D8zpb45fV,202249,15400.0
lzDaUMzu2sB,204661,0.0
He5rkYQTRXc,508867,152.0
TW5OuZHpb6D,100954,8042.5
jeJ3ZSbbg2z,605880,0.0
bZlOe4y8Mh5,506460,58.0
gCFmCwtKtG9,506963,789.0
CCYijZzjjn0,303915,110.0
GMuJ1q2PFFJ,107876,0.0
xej1sxYYCYM,609047,16.0
PsvlF5jSgI3,306172,0.0
gxlRbfWMpVx,552747,0.0
oHx6fAhrdRw,408743,4597.0
aiQep6Y8DiC,308273,126800.0
KUD3k3ABNzE,558527,0.0
ViTJ0SouxHk,609131,0.0
cLca60N5Sz5,302984,3980.0
eb3ByhaTJPc,104284,2334.0
f6Klhc8cltP,552717,15.0
avwgDjGy5QN,554906,5000.0
OM8Cr8d7NOm,555202,23634.0
L2LsEE6nsv0,308625,4400.0
eb3ByhaTJPc,207580,3724.0
hveFMwiLEd6,405079,0.0
YRp9K1grg0T,309376,83.0
Ya0KM6n2lnV,201512,54580.0
SxNM9MR02Fq,100603,41.0
iPOIupRRbet,201975,3285.0
YRp9K1grg0T,202245,51.0
kpkNrzQTYkG,201537,0.0
bUhksJVFOU1,507616,4697.0
Pmkei3034T3,400134,3459.0
WsDcPVFfFdD,506486,0
PsvlF5jSgI3,605814,0.0
Xi0rEcM2dnU,508878,5880.0
KUD3k3ABNzE,201345,14707.0
L3D8zpb45fV,208487,4558.0
VExs9bwa6Mb,405760,46.0
CSmnrn14bzc,100954,50.0
qC35JBYiNvW,302984,373.0
uCak0uhIKX5,557704,3258.0
avwgDjGy5QN,400177,2200.0
CMuwZf2vDD3,508861,8726.0
oFuUltZt2kL,507683,5289.0
CcyZexM0LpH,553221,42.0
Z1LFCojJ3oU,609018,3122.0
XcI4Wjp5L7i,554994,91400.0
oHx6fAhrdRw,406576,3995.0
XdBa916vNo2,609018,10666.0
tVMfryQtVPM,203029,4181.0
xej1sxYYCYM,201570,24.0
GMuJ1q2PFFJ,308937,81.0
JTzAgZJknnZ,305440,0.0
tVMfryQtVPM,201379,5960.0
lzDaUMzu2sB,204665,0.0
ViTJ0SouxHk,404730,0.0
gxlRbfWMpVx,303915,927.0
lGxUawh9Rgq,557734,1614.0
eNTRf5caxYa,552738,68.0
eb3ByhaTJPc,302947,3703.0
KUD3k3ABNzE,506403,0.0
mxdYJga4Oj9,558592,253.0
upazilla_epi_Safety Box_d,609138,50.0
vg24BsDISHx,304833,4961.0
YRp9K1grg0T,405747,27.0
qC35JBYiNvW,302618,386.0
Pmkei3034T3,303532,7621.0
YmH96Ob0NBP,208421,600.0
lzDaUMzu2sB,506469,0.0
mxdYJga4Oj9,305944,750.0
aK1cbe954yX,306768,40.0
TW5OuZHpb6D,506963,6800.0
nYixxLPGLKg,503847,0.0
D6DrcyNPJRe,201987,79915.0
eNTRf5caxYa,308937,69.0
PsvlF5jSgI3,208429,11.0
esdiLuANYzJ,201981,2312.0
D6DrcyNPJRe,305622,21050.0
Gf6lEllg2nM,303551,0.0
aiQep6Y8DiC,400160,84400.0
aiQep6Y8DiC,552777,221718.0
nYixxLPGLKg,501006,0.0
oFuUltZt2kL,404190,5020.0
xhXpgEsWEv9,507616,5960.0
sk1epOoCbSF,306758,465738.0
kTqSo5SnlBi,201553,0.0
qC35JBYiNvW,404740,512.0
wl7rSTXZnYH,406528,26730.0
oFuUltZt2kL,100965,1451.0
uv5CVs53ise,559408,3200.0
OM8Cr8d7NOm,303551,6000.0
kTqSo5SnlBi,204667,1682.0
iPOIupRRbet,609159,4572.0
zpF9PXuVzFb,501081,0.0
sthqDXmS4Nm,559494,9.0
XdBa916vNo2,201975,2450.0
Ya0KM6n2lnV,104243,6404.0
hTPF3SgOJWH,306194,18500.0
lGxUawh9Rgq,208475,771.0
Pmkei3034T3,201578,2935.0
oHx6fAhrdRw,609153,2466.0
