Data,Organisation unit,Value
dist_epi_OPV_vial_received,Kabirhat Upazila Health Complex,500.0
dist_epi_TT vial_used,Kabirhat Upazila Health Complex,401.0
dist_epi_OPV_vial_PreviousStock,Kabirhat Upazila Health Complex,341.0
dist_epi_Tally Book (Women)_PreviousStock,Kabirhat Upazila Health Complex,13.0
dist_epi_MR Diluent_used,Kabirhat Upazila Health Complex,312.0
dist_epi_Carry bag_available stock,Kabirhat Upazila Health Complex,4.0
dist_epi_TT vial_received,Kabirhat Upazila Health Complex,450.0
dist_epi_Syringe (3 ml)_used,Kabirhat Upazila Health Complex,300.0
dist_epi_Pentavalent_Vial_used,Kabirhat Upazila Health Complex,2764.0
dist_epi_Syringe (3 ml)_PreviousStock,Kabirhat Upazila Health Complex,166.0
dist_epi_Syringe (3 ml)_received,Kabirhat Upazila Health Complex,400.0
dist_epi_Vaccine carrier 1 ice pack_functional,Kabirhat Upazila Health Complex,26.0
dist_epi_MR_Diluent_PreviousStock,Kabirhat Upazila Health Complex,174.0
dist_epi_Women Report Book_PreviousStock,Kabirhat Upazila Health Complex,23.0
dist_epi_Tally Book (Women)_received,Kabirhat Upazila Health Complex,24.0
dist_epi_TT Card_received,Kabirhat Upazila Health Complex,1200.0
dist_epi_Child Card_used,Kabirhat Upazila Health Complex,300.0
dist_epi_BCG Diluent PreviousStock,Kabirhat Upazila Health Complex,177.0
dist_epi_MR Diluent_received,Kabirhat Upazila Health Complex,350.0
dist_epi_Child register PreviousStock,Kabirhat Upazila Health Complex,27.0
dist_epi_Pentavalent_vial_PreviousStock,Kabirhat Upazila Health Complex,1286.0
dist_epi_Child Card PreviousStock,Kabirhat Upazila Health Complex,250.0
dist_epi_Syringe (0.05 ml)_PreviousStock,Kabirhat Upazila Health Complex,963.0
dist_epi_Vaccine carrier 4 ice pack_repairable,Kabirhat Upazila Health Complex,10.0
dist_epi_Syringe (0.5 ml)_PreviousStock,Kabirhat Upazila Health Complex,17260.0
dist_epi_Tally Book (child)_PreviousStock,Kabirhat Upazila Health Complex,9.0
dist_epi_Syringe (5 ml)_used,Kabirhat Upazila Health Complex,212.0
dist_epi_Vaccine carrier 1 ice pack_repairable,Kabirhat Upazila Health Complex,6.0
dist_epi_Tally Book (child)_used,Kabirhat Upazila Health Complex,21.0
dist_epi_BCG_diluent_used,Kabirhat Upazila Health Complex,314.0
dist_epi_Cold box_irrepairable,Kabirhat Upazila Health Complex,2.0
dist_epi_Syringe (5 ml)_received,Kabirhat Upazila Health Complex,300.0
dist_epi_Vitamin A Capsule_used,Kabirhat Upazila Health Complex,575.0
dist_epi_BCG_diluent_receive,Kabirhat Upazila Health Complex,300.0
dist_epi_Fridge Tag_functional,Kabirhat Upazila Health Complex,1.0
dist_epi_ILR_Functional,Kabirhat Upazila Health Complex,1.0
dist_epi_TT_vial_PreviousStock,Kabirhat Upazila Health Complex,276.0
dist_epi_Vaccine carrier 4 ice pack_functional,Kabirhat Upazila Health Complex,13.0
dist_epi_Tally Book (Women)_used,Kabirhat Upazila Health Complex,21.0
dist_epi_Vaccine carrier 1 ice pack_irrepairable,Kabirhat Upazila Health Complex,4.0
dist_epi_Vaccine carrier 2 ice pack_repairable,Kabirhat Upazila Health Complex,4.0
dist_epi_Syringe (0.5 ml)_received,Kabirhat Upazila Health Complex,4800.0
dist_epi_OPV_vial_used,Kabirhat Upazila Health Complex,537.0
dist_epi_Child Report Book PreviousStock,Kabirhat Upazila Health Complex,23.0
dist_epi_BCG_vial_used,Kabirhat Upazila Health Complex,314.0
dist_epi_BCG_vial_receive,Kabirhat Upazila Health Complex,300.0
dist_epi_Cold box_functional,Kabirhat Upazila Health Complex,2.0
dist_epi_Vaccine carrier 2 ice pack_functional,Kabirhat Upazila Health Complex,100.0
dist_epi_Vitamin A Capsule_PreviousStock,Kabirhat Upazila Health Complex,3005.0
dist_epi_Plastic Bowl_available stock,Kabirhat Upazila Health Complex,10.0
dist_epi_Women register_PreviousStock,Kabirhat Upazila Health Complex,29.0
dist_epi_Moni Table Cloth_available stock,Kabirhat Upazila Health Complex,13.0
dist_epi_Cotton 100gm_available stock,Kabirhat Upazila Health Complex,30.0
dist_epi_Vaccine carrier 4 ice pack_irrepairable,Kabirhat Upazila Health Complex,13.0
dist_epi_Pentavalent_Vial_received,Kabirhat Upazila Health Complex,2900.0
dist_epi_Child Report Book_used,Kabirhat Upazila Health Complex,22.0
dist_epi_Women Report Book_used,Kabirhat Upazila Health Complex,22.0
dist_epi_MR vial_used,Kabirhat Upazila Health Complex,312.0
dist_epi_MR vial_received,Kabirhat Upazila Health Complex,350.0
dist_epi_Safety Box_PreviousStock,Kabirhat Upazila Health Complex,92.0
dist_epi_BCG vial PreviousStock,Kabirhat Upazila Health Complex,177.0
dist_epi_TT Card_used,Kabirhat Upazila Health Complex,250.0
dist_epi_Fast Freezer_functional,Kabirhat Upazila Health Complex,1.0
dist_epi_Syringe (0.5 ml)_used,Kabirhat Upazila Health Complex,5000.0
dist_epi_Syringe (0.05 ml)_received,Kabirhat Upazila Health Complex,700.0
dist_epi_TT Card_PreviousStock,Kabirhat Upazila Health Complex,1130.0
dist_epi_Tally Book (child)_received,Kabirhat Upazila Health Complex,24.0
dist_epi_Child Card_received,Kabirhat Upazila Health Complex,1000.0
dist_epi_Syringe (0.05 ml)_used,Kabirhat Upazila Health Complex,725.0
dist_epi_Syringe (5 ml)_PreviousStock,Kabirhat Upazila Health Complex,393.0
dist_epi_MR_vial_PreviousStock,Kabirhat Upazila Health Complex,174.0
dist_epi_Safety Box_used,Kabirhat Upazila Health Complex,8.0
