Data,Organisation unit,Value
x0niIhTQ6Zp,4047,308500.0
BODVbIiW0pv,3067,0.0
HLf06LKb2uY,1078,0.0
mZEciaYEO2F,6058,396.0
x0niIhTQ6Zp,2022,291100.0
t7R1nPnijIS,5577,0.0
mZEciaYEO2F,3035,0.0
uMYdRCYbQIx,3026,300.0
Z4qk8nfmByw,1009,33870.0
sKDaMKl5l8B,4057,15900.0
fYwQk0kZSGz,2075,561256.0
rI2KhvPB8bc,6036,32400.0
B3cD6xw0bdd,4055,46530.0
HJv3z3HMfwe,3035,0.0
DxD75aAjPZX,2012,62935.0
rAHEGe7ojkW,2051,64500.0
eFh3qRWUZ6J,6090,104400.0
UCGOdxDpp7f,5577,1770.0
tU5blh4Sf1g,3054,0.0
rI2KhvPB8bc,2046,6300.0
LJqc2PzQXUQ,3093,96550.0
wdwq9OjQM9X,1079,189.0
Hg50j7QSZkj,3061,8232.0
VouoJHkBGM2,3035,80.0
Kwub6SuKrE7,5552,119.0
GKIvTeIzm8a,1042,9600.0
gEWalgNl9nv,5594,31900.0
dduEFRLdBkG,1004,10200.0
JP5gc0KndnS,5577,0.0
z4H3Cf1TBdv,5081,4206.0
wdwq9OjQM9X,5069,261.0
KdtFfYYba1N,4087,0.0
xCfb2c0O3W7,3086,0.0
ypha3z6EAQb,3029,21000.0
PKADDt7JqKA,3054,0.0
spnTnEPMoV2,3056,0.0
Kwub6SuKrE7,1009,104.0
lsZxT6F4VB7,3082,26.0
lsZxT6F4VB7,5076,588.0
ntSHXBaWBgd,2019,52.0
Ol1mHdriFTl,5594,15000.0
agtTSoHQ1lC,2012,32900.0
B3cD6xw0bdd,3054,12650.0
w5pQTE562o8,2022,320.0
dPmAWC4B6tk,5010,675.0
dPmAWC4B6tk,2030,20.0
HLf06LKb2uY,3072,0.0
Z4qk8nfmByw,5552,23400.0
KbclS7eKPnj,6036,23.0
t7R1nPnijIS,5585,0.0
x0niIhTQ6Zp,3089,196900.0
w5pQTE562o8,4047,300.0
xDlpgVnDwJI,3029,4400.0
hX7tWBJGkHx,5577,4500.0
tU5blh4Sf1g,4055,66750.0
N3uRZCdBUmD,3061,10756.0
KOPQYkNFLCb,4041,42500.0
PRQ9vEkHewZ,2012,958400.0
OA4roSFWRqP,3072,53.0
y6s47PZmAGR,5010,1210.0
J3c2bNGLgsP,3082,294.0
t0XOoSnjuh0,4087,38000.0
y6s47PZmAGR,2030,0.0
vDJieZ8l3to,2015,910.0
hw1CwIO7O8f,5577,0.0
iJNCzfcJQDP,5573,3265.0
xdFxvVan8cF,5076,0.0
rAHEGe7ojkW,6090,49500.0
J3c2bNGLgsP,5076,15.0
Mb4JAEiVGMB,3086,300.0
w5pQTE562o8,3089,300.0
sKDaMKl5l8B,3033,79500.0
WZZYFo010BE,5064,0.0
NNOVbKmgtM9,4065,1.0
wdwq9OjQM9X,1009,469.0
B3cD6xw0bdd,2013,23050.0
cmOsp0Z3VzY,2084,8200.0
P7k5AQ3aiJt,5527,0.0
N3uRZCdBUmD,3093,14006.0
lsZxT6F4VB7,3061,890.0
T6PJcVzNlsY,3054,225.0
N3uRZCdBUmD,5076,3253.0
P7k5AQ3aiJt,5552,300.0
e7cvZaj2l9t,2022,0.0
OA4roSFWRqP,1078,0.0
w5pQTE562o8,3048,480.0
GKIvTeIzm8a,4087,5977600.0
cc3m9THocqU,3048,0.0
Pbb7Lp0qJax,5038,0.0
Z4qk8nfmByw,5069,14850.0
hX7tWBJGkHx,5585,8000.0
fYwQk0kZSGz,2019,968050.0
sFOBAM5f4Uv,5585,0.0
gEWalgNl9nv,6091,166800.0
hHCzmfaeXIl,2030,15800.0
