Data,Organisation unit,Value
rAHEGe7ojkW,dNLjKwsVjod,3414325.0
PgqcWC1fMtv,dNLjKwsVjod,4897700.0
o7EbOkvA7Mz,dNLjKwsVjod,108482.0
Z4qk8nfmByw,dNLjKwsVjod,2261667.0
MlNK8OmM5eZ,dNLjKwsVjod,585.0
gtEebAlxRtH,dNLjKwsVjod,4499445.0
fr1bKIp8I7i,dNLjKwsVjod,9409.0
w5pQTE562o8,dNLjKwsVjod,32141.0
T6PJcVzNlsY,dNLjKwsVjod,25347.0
hHCzmfaeXIl,dNLjKwsVjod,2968085.0
FTFkUbgBYKX,dNLjKwsVjod,3453200.0
G77wLzA1L1O,dNLjKwsVjod,1627210.0
FMsHhz4dif1,dNLjKwsVjod,1401.0
cc3m9THocqU,dNLjKwsVjod,3134.0
dduEFRLdBkG,dNLjKwsVjod,2267555.0
IBS2IqaR1tU,dNLjKwsVjod,181938.0
fYwQk0kZSGz,dNLjKwsVjod,1.5009138E7
QO4D614g3Wi,dNLjKwsVjod,2214091.0
yxETk6879dc,dNLjKwsVjod,30805.0
Hg50j7QSZkj,dNLjKwsVjod,117093.0
iJNCzfcJQDP,dNLjKwsVjod,269159.0
vS8vKwOrvZb,dNLjKwsVjod,450674.0
oIC517k2BLE,dNLjKwsVjod,137514.0
GzBLG9h7Cbk,dNLjKwsVjod,81264.0
gEWalgNl9nv,dNLjKwsVjod,5191800.0
rD04ZzcaN5p,dNLjKwsVjod,134852.0
Rg4HIIY11SE,dNLjKwsVjod,219.0
vLWOqx67N7I,dNLjKwsVjod,5000.0
HLf06LKb2uY,dNLjKwsVjod,1675400.0
ti2HwGvhfK0,dNLjKwsVjod,131.0
rI2KhvPB8bc,dNLjKwsVjod,2263350.0
Np6aLfUKsiY,dNLjKwsVjod,228.0
J6sUepWcdon,dNLjKwsVjod,4237.0
xDlpgVnDwJI,dNLjKwsVjod,1.2043338E7
Of9I5zs5k77,dNLjKwsVjod,1628350.0
Azd0uGUjGhE,dNLjKwsVjod,85171.0
ntSHXBaWBgd,dNLjKwsVjod,2063.0
oRWiPL5MCHl,dNLjKwsVjod,1836850.0
lSu3LF8mZdf,dNLjKwsVjod,3538.0
CjREX74awT2,dNLjKwsVjod,455004.0
tU5blh4Sf1g,dNLjKwsVjod,6340969.0
TETsfOvYKRX,dNLjKwsVjod,4064.0
BiTjkJniRmp,dNLjKwsVjod,11271.1
ow9uyFraAg0,dNLjKwsVjod,843900.0
AqYTRr5SRQC,dNLjKwsVjod,236520.0
HwQXIC5FelW,dNLjKwsVjod,1426.0
LynCFTtD5ow,dNLjKwsVjod,1869985.0
Pwr85khlpyH,dNLjKwsVjod,986.0
gnjS23yYmsI,dNLjKwsVjod,10062.0
Kwub6SuKrE7,dNLjKwsVjod,3479.0
CCyX8bHkSlz,dNLjKwsVjod,32049.0
spnTnEPMoV2,dNLjKwsVjod,29772.1
mZEciaYEO2F,dNLjKwsVjod,5389.0
VouoJHkBGM2,dNLjKwsVjod,165986.0
XncbWOxNjAv,dNLjKwsVjod,738.0
ZN37IwOVKKE,dNLjKwsVjod,2257544.0
e4DqyRBgstB,dNLjKwsVjod,148.0
Xrz32A7vx1D,dNLjKwsVjod,264.0
vSs22KMgCMG,dNLjKwsVjod,4697100.0
DxD75aAjPZX,dNLjKwsVjod,5594627.0
b9vXmKRxlN4,dNLjKwsVjod,16624.0
HJv3z3HMfwe,dNLjKwsVjod,30925.0
sKDaMKl5l8B,dNLjKwsVjod,7010522.0
zFNzY3y8r14,dNLjKwsVjod,164080.0
y6s47PZmAGR,dNLjKwsVjod,165023.0
dPmAWC4B6tk,dNLjKwsVjod,43035.0
zfUWfjfKICJ,dNLjKwsVjod,0.0
