Data,Organisation unit,Value
dist_epi_Syringe (5 ml)_PreviousStock,Khulna District,730900.0
dist_epi_Deep freezer_Not Installed,Narayanganj District,0.0
dist_epi_Vitamin A Capsule_received,Patuakhali District,0.0
dist_epi_Voltage Stabilizer_irrepairable,Maulavi Bazar District,445.0
dist_epi_Syringe (5 ml)_PreviousStock,Coxs Bazar District,308840.0
dist_epi_Moni Flag_received,Panchagarh District,0.0
dist_epi_Voltage Stabilizer_irrepairable,Gopalganj District,0.0
dist_epi_Child Report Book_received,Dhaka District,618.0
dist_epi_MR vial_used,Bhola District,38020.0
dist_epi_PCV vial previous stock,Meherpur District,15900.0
dist_epi_Pentavalent_Vial_used,Noakhali District,562856.0
dist_epi_MR vial_received,Habiganj District,39600.0
dist_epi_Gas/Electric/Kerosine Freeze_Not Installed,Brahmanbaria District,0.0
dist_epi_MR_vial_PreviousStock,Magura District,53900.0
dist_epi_Syringe (0.05 ml)_damaged,Gopalganj District,0.0
dist_epi_TT_vial_PreviousStock,Brahmanbaria District,163205.0
dist_epi_TT Card_used,Laksmipur District,58000.0
dist_epi_PCV vial_used,Sunamganj District,133100.0
dist_epi_IPV vial_receive,Panchagarh District,1770.0
dist_epi_Deep freezer_irrepairable,Kishoreganj District,28.0
dist_epi_Child Card PreviousStock,Madaripur District,0.0
dist_epi_MR vial_received,Khagrachhari District,16500.0
dist_epi_OPV_vial_used,Tangail District,57901.0
dist_epi_Tally Book (child)_used,Pirojpur District,255.0
dist_epi_Vaccine carrier 4 ice pack_functional,Mymensingh District,17463.0
dist_epi_Carry bag_available stock,Gopalganj District,485.0
dist_epi_Deep freezer_functional,Lalmonirhat District,72.0
dist_epi_Syringe (0.5 ml)_PreviousStock,Jhalokati District,579600.0
dist_epi_OPV_vial_PreviousStock,Thakurgaon District,53325.0
dist_epi_Deep freezer_irrepairable,Sherpur District,0.0
dist_epi_TT vial_received,Barguna District,40100.0
dist_epi_OPV_vial_damaged,Panchagarh District,0.0
dist_epi_IPV vial previous stock,Rajshahi District,4206.0
dist_epi_Tally Book (child)_used,Natore District,421.0
dist_epi_BCG_diluent_damaged,Satkhira District,0.0
dist_epi_Vaccine carrier 4 ice pack_repairable,Shariatpur District,0.0
dist_epi_Syringe (0.05 ml)_received,Faridpur District,76300.0
dist_epi_Moni Flag_damaged,Madaripur District,0.0
dist_epi_TT vial_damaged,Manikganj District,0.0
dist_epi_Deep freezer_functional,Bhola District,77.0
dist_epi_Vaccine carrier 2 ice pack_irrepairable,Rajbari District,80.0
dist_epi_Vaccine carrier 2 ice pack_irrepairable,Pabna District,567.0
dist_epi_ILR_Irrepairable,Cumilla District,45.0
dist_epi_Syringe (3 ml)_PreviousStock,Thakurgaon District,188600.0
dist_epi_Syringe (5 ml)_used,Brahmanbaria District,73500.0
dist_epi_MR_vial_PreviousStock,Madaripur District,62650.0
dist_epi_Tally Book (Women)_received,Coxs Bazar District,630.0
dist_epi_Women Report Book_PreviousStock,Bogura District,1100.0
dist_epi_Women Report Book_PreviousStock,Feni District,20.0
dist_epi_Vitamin A Capsule_received,Netrokona District,0.0
dist_epi_MR vial_used,Lalmonirhat District,25500.0
dist_epi_Voltage Stabilizer_repairable,Habiganj District,36.0
dist_epi_Moni Flag_received,Rangpur District,100.0
dist_epi_Syringe (5 ml)_PreviousStock,Sherpur District,247800.0
dist_epi_Gas/Electric/Kerosine Freeze_Irrepairable,Faridpur District,0.0
dist_epi_Tally Book (Women)_received,Khulna District,715.0
dist_epi_Syringe (0.05 ml)_PreviousStock,Faridpur District,79200.0
dist_epi_Safety Box_received,Panchagarh District,4200.0
dist_epi_Child Card PreviousStock,Magura District,26950.0
dist_epi_Soap Box_available stock,Mymensingh District,10329.0
dist_epi_MR Diluent_received,Jashore District,46800.0
dist_epi_Syringe (0.5 ml)_used,Brahmanbaria District,2036000.0
dist_epi_Fast Freezer_functional,Gopalganj District,0.0
dist_epi_Vaccine carrier 1 ice pack_repairable,Netrokona District,0.0
dist_epi_Vaccine carrier 2 ice pack_functional,Bogura District,1664.0
dist_epi_Vaccine carrier 2 ice pack_repairable,Rajbari District,59.0
dist_epi_Child Card_received,Satkhira District,26000.0
dist_epi_Vaccine carrier 2 ice pack_functional,Feni District,0.0
dist_epi_Fridge Tag_repairable,Faridpur District,0.0
dist_epi_Child Report Book_used,Chattogram District,2250.0
dist_epi_ILR_Irrepairable,Sirajganj District,126.0
dist_epi_Deep freezer_repairable,Panchagarh District,30.0
dist_epi_IPV vial_used,Nilphamari District,3265.0
dist_epi_ILR_Functional,Faridpur District,77.0
dist_epi_MR Diluent_damaged,Pabna District,0.0
dist_epi_TT Card_used,Sunamganj District,52800.0
dist_epi_Solar Freeze_Not Installed,Bandarban District,0.0
dist_epi_Vaccine carrier 2 ice pack_repairable,Pabna District,0.0
dist_epi_Tally Book (child)_received,Shariatpur District,490.0
dist_epi_Tally Book (Women)_received,Sherpur District,503.0
dist_epi_PCV vial previous stock,Gazipur District,79500.0
dist_epi_Syringe (3 ml)_damaged,Naogaon District,0.0
dist_epi_Vaccine carrier 1 ice pack_irrepairable,Narail District,0.0
dist_epi_Tally Book (child)_used,Bhola District,418.0
dist_epi_MR_vial_PreviousStock,Chandpur District,42900.0
dist_epi_OPV_vial_received,Rangamati District,8900.0
dist_epi_Fridge Tag Temperature chart receive,Dinajpur District,0.0
dist_epi_Soap Box_available stock,Tangail District,11028.0
dist_epi_Vaccine carrier 2 ice pack_irrepairable,Mymensingh District,1869.0
dist_epi_Women register_received,Madaripur District,405.0
dist_epi_Soap Box_available stock,Pabna District,22.0
dist_epi_Fridge Tag Temperature chart receive,Lalmonirhat District,300.0
dist_epi_MR vial_damaged,Coxs Bazar District,0.0
dist_epi_Vaccine carrier 1 ice pack_repairable,Patuakhali District,0.0
dist_epi_Tally Book (Women)_received,Kishoreganj District,880.0
dist_epi_Syringe (0.5 ml)_PreviousStock,Satkhira District,7352700.0
dist_epi_Safety Box_damaged,Kishoreganj District,0.0
dist_epi_Tally Book (Women)_damaged,Joypurhat District,0.0
dist_epi_Deep freezer_irrepairable,Dhaka District,0.0
dist_epi_MR vial_used,Natore District,30850.0
dist_epi_Safety Box_received,Rangpur District,8000.0
dist_epi_Pentavalent_Vial_used,Cumilla District,1005700.0
dist_epi_Moni Flag_PreviousStock,Rangpur District,4035.0
dist_epi_OPV_vial_PreviousStock,Sylhet District,125700.0
dist_epi_MR_Diluent_PreviousStock,Feni District,33875.0
dist_epi_ILR_Not Installed,Faridpur District,25.0
dist_epi_Soap Box_available stock,Rajbari District,791.0
dist_epi_Soap Box_available stock,Narshingdi District,3599.0
dist_epi_Solar Freeze_Irrepairable,Narail District,0.0
dist_epi_Child Card_damaged,Mymensingh District,0.0
dist_epi_Child register_damaged,Bagerhat District,0.0
dist_epi_MR_Diluent_PreviousStock,Bogura District,64920.0
dist_epi_Solar Freeze_repairable,Rangpur District,0.0
dist_epi_Women Report Book_PreviousStock,Rajshahi District,1116.0
dist_epi_Vaccine carrier 4 ice pack_functional,Narshingdi District,2795.0
dist_epi_Fridge Tag_irrepairable,Laksmipur District,270.0
dist_epi_PCV vial_receive,Dhaka District,220100.0
dist_epi_Safety Box_damaged,Sherpur District,1200.0
dist_epi_Fast Freezer_irrepairable,Tangail District,0.0
dist_epi_Deep freezer_irrepairable,Coxs Bazar District,7.0
dist_epi_ILR_Irrepairable,Noakhali District,18.0
dist_epi_PCV vial_receive,Kishoreganj District,144500.0
dist_epi_ILR_Repairable,Pirojpur District,37.0
dist_epi_ILR_Repairable,Gaibandha District,45.0
dist_epi_Moni Flag_PreviousStock,Panchagarh District,0.0
dist_epi_Syringe (0.5 ml)_used,Narayanganj District,1396100.0
dist_epi_Safety Box_used,Narayanganj District,10125.0
dist_epi_Child Card_received,Gazipur District,87000.0
dist_epi_Tally Book (child)_used,Gaibandha District,443.0
dist_epi_PCV vial_receive,Coxs Bazar District,82500.0
dist_epi_ILR_Irrepairable,Kustia District,0.0
dist_epi_MR Diluent_used,Panchagarh District,23305.0
dist_epi_Women register_damaged,Rajshahi District,0.0
dist_epi_TT vial_used,Chuadanga District,23964.0
dist_epi_Child Card_damaged,Tangail District,0.0
dist_epi_Fridge Tag Temperature chart_damaged,Munshiganj District,0.0
dist_epi_BCG_diluent_used,Thakurgaon District,23410.0
dist_epi_MR vial_damaged,Rangamati District,0.0
dist_epi_IPV vial_receive,Rangpur District,5600.0
dist_epi_Syringe (0.05 ml)_damaged,Maulavi Bazar District,0.0
dist_epi_Pentavalent_Vial_used,Jashore District,319500.0
dist_epi_MR Diluent_damaged,Narshingdi District,0.0
dist_epi_Solar Freeze_repairable,Panchagarh District,0.0
dist_epi_Voltage Stabilizer_functional,Panchagarh District,377.0
dist_epi_Fridge Tag_irrepairable,Sunamganj District,41.0
dist_epi_Child Card_received,Jhalokati District,26400.0
dist_epi_MR Diluent_damaged,Munshiganj District,0.0
dist_epi_PCV vial previous stock,Dinajpur District,224800.0
dist_epi_Moni Flag_damaged,Magura District,0.0
dist_epi_Child Report Book_damaged,Sherpur District,73.0
dist_epi_Tally Book (child)_received,Manikganj District,434.0
dist_epi_Vaccine carrier 2 ice pack_repairable,Mymensingh District,2373.0
dist_epi_Child Card PreviousStock,Chandpur District,111600.0
dist_epi_Scissior_available stock,Barguna District,3550.0
dist_epi_Gas/Electric/Kerosine Freeze_Repairable,Tangail District,0.0
dist_epi_Child Card_received,Meherpur District,6000.0
dist_epi_Syringe (5 ml)_PreviousStock,Kishoreganj District,413200.0
dist_epi_Vitamin A Capsule_received,Chapai Nababganj District,180005.0
dist_epi_OPV_vial_used,Mymensingh District,83100.0
dist_epi_TT vial_damaged,Chandpur District,0.0
dist_epi_Fast Freezer_Not Installed,Manikganj District,0.0
dist_epi_MR Diluent_received,Joypurhat District,22100.0
dist_epi_Syringe (0.5 ml)_PreviousStock,Jhenaidaha District,3887600.0
dist_epi_Moni Flag_used,Tangail District,635.0
dist_epi_Vaccine carrier 1 ice pack_irrepairable,Panchagarh District,555.0
dist_epi_Vaccine carrier 2 ice pack_functional,Rajshahi District,10220.0
dist_epi_ILR_Repairable,Bhola District,68.0
dist_epi_BCG_diluent_used,Sylhet District,54750.0
dist_epi_IPV vial previous stock,Feni District,5902.0
dist_epi_Pentavalent_Vial_Damaged,Narail District,0.0
dist_epi_Fast Freezer_irrepairable,Mymensingh District,0.0
dist_epi_Moni Flag_damaged,Bogura District,0.0
dist_epi_Fridge Tag_functional,Sunamganj District,71.0
dist_epi_Fast Freezer_Not Installed,Magura District,0.0
dist_epi_TT_vial_PreviousStock,Bagerhat District,79840.0
dist_epi_BCG_diluent_damaged,Jhenaidaha District,0.0
dist_epi_Syringe (0.5 ml)_received,Barguna District,649600.0
dist_epi_IPV vial previous stock,Bogura District,10775.0
dist_epi_Gas/Electric/Kerosine Freeze_Not Installed,Narayanganj District,0.0
dist_epi_Vaccine carrier 4 ice pack_functional,Rajbari District,4905.0
dist_epi_Vitamin A Capsule_received,Gaibandha District,330000.0
dist_epi_ILR_Repairable,Patuakhali District,4.0
dist_epi_MR_vial_PreviousStock,Feni District,33875.0
dist_epi_Tally Book (child)_used,Lalmonirhat District,305.0
dist_epi_Cold box_repairable,Faridpur District,0.0
dist_epi_Vaccine carrier 4 ice pack_functional,Pabna District,3581.0
dist_epi_Duster_available stock,Chattogram District,1590.0
dist_epi_Vitamin A Capsule_used,Laksmipur District,0.0
dist_epi_Tally Book (child)_PreviousStock,Bandarban District,1253.0
dist_epi_Tally Book (Women)_received,Rangamati District,420.0
dist_epi_Child Report Book_damaged,Khulna District,0.0
dist_epi_BCG_diluent_damaged,Meherpur District,0.0
dist_epi_Child register_used,Gopalganj District,506.0
dist_epi_Duster_available stock,Thakurgaon District,6375.0
dist_epi_Vaccine carrier 1 ice pack_repairable,Natore District,0.0
dist_epi_Vaccine carrier 2 ice pack_functional,Magura District,2496.0
dist_epi_Moni Flag_damaged,Feni District,0.0
dist_epi_Vaccine carrier 1 ice pack_irrepairable,Rangpur District,0.0
dist_epi_IPV vial_used,Kurigram District,3745.0
dist_epi_Deep freezer_Not Installed,Chattogram District,0.0
dist_epi_MR_Diluent_PreviousStock,Chandpur District,42900.0
dist_epi_Tally Book (Women)_received,Dhaka District,1162.0
dist_epi_Fridge Tag Temperature chart receive,Pirojpur District,0.0
dist_epi_Child Card PreviousStock,Feni District,55000.0
dist_epi_MR Diluent_received,Sirajganj District,70900.0
dist_epi_Fast Freezer_repairable,Tangail District,0.0
dist_epi_OPV_vial_used,Rajbari District,17155.0
dist_epi_Fridge Tag Temperature chart_damaged,Narshingdi District,0.0
dist_epi_Syringe (0.5 ml)_PreviousStock,Naogaon District,5171600.0
dist_epi_TT vial_damaged,Madaripur District,0.0
dist_epi_MR Diluent_received,Kustia District,45600.0
dist_epi_PCV vial previous stock,Lalmonirhat District,90200.0
dist_epi_Syringe (0.5 ml)_damaged,Chattogram District,0.0
dist_epi_Tally Book (child)_PreviousStock,Barguna District,771.0
dist_epi_Safety Box_used,Brahmanbaria District,8435.0
dist_epi_Tally Book (child)_received,Barishal District,560.0
dist_epi_Safety Box_damaged,Khulna District,0.0
dist_epi_Soap Box_available stock,Munshiganj District,4555.0
dist_epi_Syringe (0.05 ml)_used,Panchagarh District,41800.0
dist_epi_Syringe (0.05 ml)_used,Rangpur District,86410.0
dist_epi_BCG vial PreviousStock,Tangail District,94176.0
dist_epi_Syringe (5 ml)_used,Narayanganj District,43900.0
dist_epi_Safety Box_PreviousStock,Kishoreganj District,26150.0
dist_epi_Child Card_damaged,Narshingdi District,0.0
dist_epi_MR_vial_PreviousStock,Bogura District,64920.0
dist_epi_Cold box_irrepairable,Faridpur District,90.0
dist_epi_Fridge Tag Temperature chart used,Sirajganj District,0.0
dist_epi_Child Card_used,Netrokona District,75970.0
dist_epi_PCV vial_used,Laksmipur District,100700.0
dist_epi_OPV_vial_used,Pabna District,50550.0
dist_epi_Syringe (0.05 ml)_damaged,Jamalpur District,0.0
dist_epi_Deep freezer_functional,Meherpur District,4.0
