Data,Organisation unit,Value
rAHEGe7ojkW,dNLjKwsVjod,3775347.0
UjBPzgpdZld,dNLjKwsVjod,1855.0
PgqcWC1fMtv,dNLjKwsVjod,1.07989E7
o7EbOkvA7Mz,dNLjKwsVjod,23468.0
Z4qk8nfmByw,dNLjKwsVjod,2804749.0
MlNK8OmM5eZ,dNLjKwsVjod,338.0
gtEebAlxRtH,dNLjKwsVjod,5889234.0
fr1bKIp8I7i,dNLjKwsVjod,479.0
EdudPa6XKdj,dNLjKwsVjod,4808124.0
w5pQTE562o8,dNLjKwsVjod,44140.0
T6PJcVzNlsY,dNLjKwsVjod,45568.0
hHCzmfaeXIl,dNLjKwsVjod,4560523.0
FTFkUbgBYKX,dNLjKwsVjod,3850895.0
G77wLzA1L1O,dNLjKwsVjod,2249960.0
VFBlxubf91a,dNLjKwsVjod,42900.0
FMsHhz4dif1,dNLjKwsVjod,77.0
cc3m9THocqU,dNLjKwsVjod,221.0
dduEFRLdBkG,dNLjKwsVjod,3124641.0
IBS2IqaR1tU,dNLjKwsVjod,207748.0
fYwQk0kZSGz,dNLjKwsVjod,2.030608E7
QO4D614g3Wi,dNLjKwsVjod,2780860.0
yxETk6879dc,dNLjKwsVjod,50907.0
Hg50j7QSZkj,dNLjKwsVjod,80750.0
iJNCzfcJQDP,dNLjKwsVjod,357249.0
vS8vKwOrvZb,dNLjKwsVjod,365486.0
oIC517k2BLE,dNLjKwsVjod,68125.0
GzBLG9h7Cbk,dNLjKwsVjod,154723.0
gEWalgNl9nv,dNLjKwsVjod,6099973.0
rD04ZzcaN5p,dNLjKwsVjod,25700.0
Rg4HIIY11SE,dNLjKwsVjod,10.0
vLWOqx67N7I,dNLjKwsVjod,0.0
HLf06LKb2uY,dNLjKwsVjod,0.0
ti2HwGvhfK0,dNLjKwsVjod,16.0
rI2KhvPB8bc,dNLjKwsVjod,2726445.0
XyDzBGgAFNa,dNLjKwsVjod,621.0
Np6aLfUKsiY,dNLjKwsVjod,34.0
J6sUepWcdon,dNLjKwsVjod,4267.0
xDlpgVnDwJI,dNLjKwsVjod,2.1731912E7
Of9I5zs5k77,dNLjKwsVjod,2210900.0
