Data,Organisation unit,Value
upazilla_epi_Syringe (5 ml) supplied1,Bangladesh,1053073.0
upazilla_epi_Pentavalent vial_supplied1,Bangladesh,6097333.0
upazilla_epi_OPV vial_supplied1,Bangladesh,827406.0
upazilla_epi_TT vial_supplied1,Bangladesh,882888.0
upazilla_epi_Syringe (0.5 ml) supplied1,Bangladesh,1.967296E7
upazilla_epi_IPV vial_supplied1,Bangladesh,160890.0
upazilla_epi_PCV vial_supplied1,Bangladesh,3194759.0
upazilla_epi_Syringe (0.05 ml) supplied1,Bangladesh,2004003.0
upazilla_epi_BCG vial_supplied1,Bangladesh,725226.0
upazilla_epi_Syringe (0.1 ml) supplied1,Bangladesh,2571327.0
upazilla_epi_MR diluent_supplied1,Bangladesh,829387.0
upazilla_epi_MR vial_supplied1,Bangladesh,829880.0
upazilla_epi_BCG diluent_supplied1,Bangladesh,717771.0
upazilla_epi_Syringe (3 ml) supplied1,Bangladesh,466401.0
