Data,Organisation unit,Value
MdeVOqoipzV,10000443,19474.0
MdeVOqoipzV,10000518,16800.0
Va9YJe9mcJC,10001984,360.0
HwX8sJbFytZ,10001760,6700.0
HwX8sJbFytZ,10001077,2050.0
kBxPfPkmkUZ,10001719,88000.0
tm4XzrA2ZJ4,10002027,1200.0
Va9YJe9mcJC,10002223,2650.0
xE9S4yAH6JM,10001033,2500.0
QcPVLGbkXPE,10001914,4400.0
iHhFjeFaUE2,10000430,755.0
MdeVOqoipzV,10001363,10230.0
Ew83LC7SZl0,10000358,14900.0
Ew83LC7SZl0,10001405,4400.0
iHhFjeFaUE2,10000931,0.0
tm4XzrA2ZJ4,10000578,1400.0
kBxPfPkmkUZ,10001041,61200.0
Ew83LC7SZl0,10002304,11000.0
jexpvG0UpEP,10001338,5500.0
MdeVOqoipzV,10002069,5256.0
tm4XzrA2ZJ4,10002097,600.0
AhRkuUoR2Gh,10000404,1800.0
QcPVLGbkXPE,10000928,600.0
AhRkuUoR2Gh,10001708,0.0
Ew83LC7SZl0,10001801,6300.0
Ew83LC7SZl0,10002042,6600.0
QcPVLGbkXPE,10001575,1400.0
tm4XzrA2ZJ4,10001790,2510.0
txbCZcGu9t7,10001885,1510.0
kneuyiAUuhM,10001502,2300.0
HwX8sJbFytZ,10002125,4600.0
AhRkuUoR2Gh,10000988,0.0
MdeVOqoipzV,10001790,17608.0
QcPVLGbkXPE,10000196,6400.0
QcPVLGbkXPE,10000979,1600.0
xE9S4yAH6JM,10001470,1250.0
jexpvG0UpEP,10002106,2006.0
xE9S4yAH6JM,10000678,2750.0
Ew83LC7SZl0,10000500,11100.0
MdeVOqoipzV,10000488,14224.0
H9DPSXuy1Cq,10001168,2400.0
QcPVLGbkXPE,10000875,3800.0
MdeVOqoipzV,10001603,23596.0
MdeVOqoipzV,10002027,7248.0
kneuyiAUuhM,10001527,650.0
txbCZcGu9t7,10000595,1340.0
tm4XzrA2ZJ4,10000443,2950.0
jexpvG0UpEP,10000420,2138.0
kBxPfPkmkUZ,10001442,125000.0
MdeVOqoipzV,10002207,18784.0
Ew83LC7SZl0,10002136,8600.0
H9DPSXuy1Cq,10000568,3500.0
MdeVOqoipzV,10002097,5000.0
kneuyiAUuhM,10000629,2450.0
tm4XzrA2ZJ4,10001363,1667.0
Ew83LC7SZl0,10001591,4400.0
H9DPSXuy1Cq,10001072,800.0
H9DPSXuy1Cq,10001734,3600.0
AhRkuUoR2Gh,10000236,1800.0
jexpvG0UpEP,10002035,580.0
AhRkuUoR2Gh,10001374,1000.0
kBxPfPkmkUZ,10002243,80400.0
tm4XzrA2ZJ4,10001741,2200.0
H9DPSXuy1Cq,10002085,4200.0
kneuyiAUuhM,10001763,4200.0
Va9YJe9mcJC,10000333,2030.0
jexpvG0UpEP,10000128,560.0
kBxPfPkmkUZ,10001947,47200.0
AhRkuUoR2Gh,10001355,800.0
HwX8sJbFytZ,10001244,6500.0
Va9YJe9mcJC,10000887,2150.0
tm4XzrA2ZJ4,10002207,2400.0
xE9S4yAH6JM,10001227,1750.0
HwX8sJbFytZ,10000362,23400.0
kneuyiAUuhM,10001523,1000.0
kneuyiAUuhM,10000691,3100.0
AhRkuUoR2Gh,10000435,1800.0
Ew83LC7SZl0,10000355,3500.0
tm4XzrA2ZJ4,10001771,1850.0
xE9S4yAH6JM,10002188,1700.0
txbCZcGu9t7,10001551,750.0
H9DPSXuy1Cq,10001826,2400.0
tm4XzrA2ZJ4,10000488,1500.0
QcPVLGbkXPE,10002015,4800.0
Va9YJe9mcJC,10002056,840.0
QcPVLGbkXPE,10002150,1200.0
xE9S4yAH6JM,10000613,3600.0
QcPVLGbkXPE,10001313,2100.0
Ew83LC7SZl0,10001085,600.0
kBxPfPkmkUZ,10001731,61800.0
kBxPfPkmkUZ,10002101,28000.0
jexpvG0UpEP,10000934,384.0
AhRkuUoR2Gh,10001272,2100.0
MdeVOqoipzV,10000892,19000.0
jexpvG0UpEP,10001768,2010.0
AhRkuUoR2Gh,10002181,1000.0
AhRkuUoR2Gh,10000691,1200.0
tm4XzrA2ZJ4,10000341,2750.0
xE9S4yAH6JM,10001031,2750.0
HwX8sJbFytZ,10002160,7500.0
Va9YJe9mcJC,10001286,3700.0
MdeVOqoipzV,10001741,11456.0
Ew83LC7SZl0,10001594,2500.0
