Data,Organisation unit,Value
H9DPSXuy1Cq,2013,1000.0
jexpvG0UpEP,4050,22371.0
H9DPSXuy1Cq,4087,31600.0
jexpvG0UpEP,3086,1955.0
kneuyiAUuhM,3039,21628.0
Ew83LC7SZl0,2075,123600.0
HwX8sJbFytZ,3026,2757.0
jexpvG0UpEP,2019,70502.0
jexpvG0UpEP,3093,32027.0
xE9S4yAH6JM,5064,22260.0
Va9YJe9mcJC,1079,9440.0
H9DPSXuy1Cq,5076,41740.0
MdeVOqoipzV,1079,80378.0
Va9YJe9mcJC,3029,5685.0
HwX8sJbFytZ,3029,22350.0
H9DPSXuy1Cq,3082,27700.0
Ew83LC7SZl0,5527,81300.0
kneuyiAUuhM,5038,7515.0
tm4XzrA2ZJ4,5038,9709.0
txbCZcGu9t7,4044,15074.0
kneuyiAUuhM,1006,9392.0
HwX8sJbFytZ,1079,38400.0
HwX8sJbFytZ,2003,389.0
jexpvG0UpEP,6091,30532.0
MdeVOqoipzV,3029,45250.0
jexpvG0UpEP,5527,30776.0
xE9S4yAH6JM,4044,17383.0
tm4XzrA2ZJ4,1006,12190.0
H9DPSXuy1Cq,3068,49400.0
MdeVOqoipzV,5069,11900.0
MdeVOqoipzV,3026,5615.0
txbCZcGu9t7,3054,3308.0
Va9YJe9mcJC,5038,6924.0
MdeVOqoipzV,3039,166367.0
AhRkuUoR2Gh,5532,11700.0
tm4XzrA2ZJ4,1079,11220.0
H9DPSXuy1Cq,5573,37600.0
tm4XzrA2ZJ4,3039,21376.0
tm4XzrA2ZJ4,5552,12800.0
AhRkuUoR2Gh,2003,146.0
QcPVLGbkXPE,4044,48297.0
kneuyiAUuhM,1079,9930.0
AhRkuUoR2Gh,3048,18200.0
xE9S4yAH6JM,2030,1096.0
QcPVLGbkXPE,4055,8600.0
tm4XzrA2ZJ4,3029,6700.0
H9DPSXuy1Cq,1042,8400.0
Ew83LC7SZl0,6090,50400.0
txbCZcGu9t7,5577,10018.0
QcPVLGbkXPE,5010,300.0
Va9YJe9mcJC,2003,226.0
iHhFjeFaUE2,5081,2064.0
jexpvG0UpEP,3061,46254.0
Ew83LC7SZl0,6091,95400.0
Va9YJe9mcJC,1009,16886.0
xE9S4yAH6JM,4001,16233.0
iHhFjeFaUE2,6036,2685.0
xE9S4yAH6JM,5010,1779.0
kneuyiAUuhM,5552,11101.0
iHhFjeFaUE2,4001,3213.0
txbCZcGu9t7,2030,1065.0
QcPVLGbkXPE,5577,19600.0
tm4XzrA2ZJ4,5069,1850.0
MdeVOqoipzV,1006,73850.0
H9DPSXuy1Cq,4018,20400.0
Va9YJe9mcJC,1006,8418.0
AhRkuUoR2Gh,6058,5200.0
kBxPfPkmkUZ,6036,578800.0
Ew83LC7SZl0,3093,122300.0
Ew83LC7SZl0,4065,19800.0
Ew83LC7SZl0,3086,900.0
MdeVOqoipzV,5552,91130.0
kneuyiAUuhM,3026,595.0
Va9YJe9mcJC,3039,18936.0
QcPVLGbkXPE,5585,19150.0
MdeVOqoipzV,2015,36545.0
txbCZcGu9t7,5010,1608.0
kBxPfPkmkUZ,4001,37500.0
Ew83LC7SZl0,4050,69900.0
Ew83LC7SZl0,5594,33300.0
H9DPSXuy1Cq,3061,140200.0
kneuyiAUuhM,2015,5287.0
tm4XzrA2ZJ4,4041,29096.0
jexpvG0UpEP,2075,38275.0
QcPVLGbkXPE,3059,16400.0
QcPVLGbkXPE,5064,38816.0
xE9S4yAH6JM,1042,6720.0
Va9YJe9mcJC,5069,1600.0
AhRkuUoR2Gh,2015,6400.0
txbCZcGu9t7,5064,19876.0
AhRkuUoR2Gh,2022,2700.0
jexpvG0UpEP,1004,9438.0
tm4XzrA2ZJ4,1009,19455.0
HwX8sJbFytZ,2015,8380.0
HwX8sJbFytZ,3035,3495.0
iHhFjeFaUE2,1078,1206.0
HwX8sJbFytZ,2022,4800.0
HwX8sJbFytZ,4047,71914.0
kBxPfPkmkUZ,4044,539974.0
kneuyiAUuhM,1004,7380.0
jexpvG0UpEP,3068,23243.0
xE9S4yAH6JM,3059,14250.0
MdeVOqoipzV,3048,180116.0
AhRkuUoR2Gh,1009,11592.0
AhRkuUoR2Gh,5038,15800.0
Ew83LC7SZl0,1006,0.0
jexpvG0UpEP,5549,32921.0
MdeVOqoipzV,4041,194712.0
AhRkuUoR2Gh,3039,17808.0
Ew83LC7SZl0,5552,24400.0
kneuyiAUuhM,4041,28911.0
AhRkuUoR2Gh,3072,12300.0
txbCZcGu9t7,3059,11440.0
txbCZcGu9t7,2046,7085.0
H9DPSXuy1Cq,6091,66500.0
QcPVLGbkXPE,5573,16400.0
xE9S4yAH6JM,3082,9780.0
MdeVOqoipzV,1004,62440.0
txbCZcGu9t7,4087,17561.0
xE9S4yAH6JM,5076,18850.0
txbCZcGu9t7,2084,5980.0
kneuyiAUuhM,3048,27452.0
MdeVOqoipzV,5594,94060.0
xE9S4yAH6JM,5573,15806.0
Va9YJe9mcJC,5552,11345.0
txbCZcGu9t7,5585,32623.0
kBxPfPkmkUZ,5577,238400.0
Va9YJe9mcJC,3035,1055.0
H9DPSXuy1Cq,5064,50856.0
HwX8sJbFytZ,3048,99213.0
tm4XzrA2ZJ4,3048,25019.0
Va9YJe9mcJC,3067,13020.0
iHhFjeFaUE2,5064,4174.0
tm4XzrA2ZJ4,2075,32723.0
HwX8sJbFytZ,1006,39300.0
QcPVLGbkXPE,3082,19800.0
MdeVOqoipzV,2022,22300.0
MdeVOqoipzV,4047,135844.0
Va9YJe9mcJC,1004,7791.0
QcPVLGbkXPE,5076,32110.0
kBxPfPkmkUZ,5081,144000.0
txbCZcGu9t7,4055,10054.0
H9DPSXuy1Cq,3086,1900.0
H9DPSXuy1Cq,2019,139200.0
kneuyiAUuhM,5594,12150.0
tm4XzrA2ZJ4,5532,26137.0
kBxPfPkmkUZ,4055,133200.0
jexpvG0UpEP,3033,1921.0
HwX8sJbFytZ,5552,45400.0
tm4XzrA2ZJ4,5594,13175.0
kBxPfPkmkUZ,5585,609200.0
iHhFjeFaUE2,1042,1045.0
AhRkuUoR2Gh,3029,1000.0
txbCZcGu9t7,4001,12921.0
HwX8sJbFytZ,4041,101506.0
iHhFjeFaUE2,3067,5060.0
txbCZcGu9t7,2012,24848.0
iHhFjeFaUE2,2012,5470.0
jexpvG0UpEP,5088,2613.0
kneuyiAUuhM,4047,20207.0
AhRkuUoR2Gh,3089,3100.0
Ew83LC7SZl0,4041,68700.0
AhRkuUoR2Gh,3067,4100.0
QcPVLGbkXPE,6036,30100.0
kneuyiAUuhM,5069,2000.0
H9DPSXuy1Cq,5549,47400.0
AhRkuUoR2Gh,1079,0.0
QcPVLGbkXPE,4018,16800.0
iHhFjeFaUE2,5070,1485.0
xE9S4yAH6JM,5577,12790.0
txbCZcGu9t7,1042,6210.0
tm4XzrA2ZJ4,2022,2450.0
AhRkuUoR2Gh,6036,10800.0
tm4XzrA2ZJ4,6058,9664.0
kBxPfPkmkUZ,3059,345200.0
Ew83LC7SZl0,1004,29200.0
jexpvG0UpEP,5038,8628.0
kBxPfPkmkUZ,5010,4800.0
txbCZcGu9t7,3033,1142.0
iHhFjeFaUE2,2046,804.0
Va9YJe9mcJC,3026,368.0
jexpvG0UpEP,4087,21010.0
xE9S4yAH6JM,3056,2214.0
tm4XzrA2ZJ4,3093,32241.0
Va9YJe9mcJC,1078,7197.0
Va9YJe9mcJC,5527,28140.0
iHhFjeFaUE2,2084,1105.0
txbCZcGu9t7,2013,5750.0
xE9S4yAH6JM,5081,13135.0
tm4XzrA2ZJ4,6091,29568.0
xE9S4yAH6JM,4055,11696.0
tm4XzrA2ZJ4,2015,4818.0
QcPVLGbkXPE,3061,46090.0
HwX8sJbFytZ,5069,5700.0
kBxPfPkmkUZ,3048,554002.0
tm4XzrA2ZJ4,3072,18265.0
xE9S4yAH6JM,5585,25773.0
QcPVLGbkXPE,4065,9800.0
MdeVOqoipzV,6090,119073.0
Va9YJe9mcJC,4050,18771.0
kBxPfPkmkUZ,3082,472400.0
kneuyiAUuhM,5088,2168.0
xE9S4yAH6JM,4065,8950.0
txbCZcGu9t7,3061,39612.0
xE9S4yAH6JM,1078,9851.0
MdeVOqoipzV,2019,445721.0
kBxPfPkmkUZ,4087,369600.0
jexpvG0UpEP,4055,9312.0
jexpvG0UpEP,3029,6210.0
AhRkuUoR2Gh,2046,5900.0
xE9S4yAH6JM,3061,44870.0
Ew83LC7SZl0,5585,25900.0
Ew83LC7SZl0,5577,32300.0
xE9S4yAH6JM,6091,29568.0
txbCZcGu9t7,1078,7075.0
txbCZcGu9t7,4065,7890.0
jexpvG0UpEP,3026,544.0
iHhFjeFaUE2,4087,3010.0
MdeVOqoipzV,4050,156808.0
kBxPfPkmkUZ,5076,567400.0
MdeVOqoipzV,3086,16000.0
Va9YJe9mcJC,6091,26599.0
txbCZcGu9t7,3056,1869.0
tm4XzrA2ZJ4,6090,18485.0
AhRkuUoR2Gh,2084,2600.0
H9DPSXuy1Cq,2046,16300.0
AhRkuUoR2Gh,2075,24800.0
MdeVOqoipzV,5088,19725.0
MdeVOqoipzV,5081,94578.0
kneuyiAUuhM,2019,61563.0
Va9YJe9mcJC,4065,7890.0
H9DPSXuy1Cq,2075,120800.0
tm4XzrA2ZJ4,4047,23076.0
HwX8sJbFytZ,2075,150900.0
AhRkuUoR2Gh,5070,1200.0
kneuyiAUuhM,3086,1780.0
