Data,Organisation unit,Value
upazilla_epi_Syringe (0.05 ml) supplied1,Chandpur District,2000.0
upazilla_epi_TT vial_supplied1,Kustia District,21815.0
upazilla_epi_Syringe (0.05 ml) supplied1,Satkhira District,31600.0
upazilla_epi_TT vial_supplied1,Shariatpur District,1995.0
upazilla_epi_OPV vial_supplied1,Jamalpur District,36957.0
upazilla_epi_Syringe (0.1 ml) supplied1,Noakhali District,123600.0
upazilla_epi_PCV vial_supplied1,Dhaka District,1684.0
upazilla_epi_TT vial_supplied1,Cumilla District,66849.0
upazilla_epi_TT vial_supplied1,Tangail District,34675.0
upazilla_epi_MR diluent_supplied1,Naogaon District,22932.0
upazilla_epi_BCG diluent_supplied1,Pirojpur District,9260.0
upazilla_epi_Syringe (0.05 ml) supplied1,Pabna District,41400.0
upazilla_epi_Pentavalent vial_supplied1,Pirojpur District,80578.0
upazilla_epi_BCG diluent_supplied1,Faridpur District,4935.0
upazilla_epi_PCV vial_supplied1,Faridpur District,20250.0
upazilla_epi_Syringe (0.05 ml) supplied1,Rajbari District,27700.0
upazilla_epi_Syringe (0.1 ml) supplied1,Dinajpur District,81300.0
upazilla_epi_OPV vial_supplied1,Joypurhat District,7662.0
upazilla_epi_MR vial_supplied1,Joypurhat District,9825.0
upazilla_epi_BCG vial_supplied1,Jhenaidaha District,14719.0
upazilla_epi_Syringe (5 ml) supplied1,Madaripur District,3600.0
upazilla_epi_OPV vial_supplied1,Barishal District,9855.0
upazilla_epi_TT vial_supplied1,Meherpur District,0.0
upazilla_epi_PCV vial_supplied1,Pirojpur District,38100.0
upazilla_epi_PCV vial_supplied1,Bandarban District,960.0
upazilla_epi_TT vial_supplied1,Sylhet District,29776.0
upazilla_epi_Pentavalent vial_supplied1,Faridpur District,40250.0
upazilla_epi_TT vial_supplied1,Dinajpur District,28536.0
upazilla_epi_MR diluent_supplied1,Jhenaidaha District,16490.0
upazilla_epi_MR vial_supplied1,Barishal District,12556.0
upazilla_epi_Syringe (0.05 ml) supplied1,Narshingdi District,49400.0
upazilla_epi_Pentavalent vial_supplied1,Natore District,10500.0
upazilla_epi_Pentavalent vial_supplied1,Dhaka District,3377.0
upazilla_epi_BCG vial_supplied1,Madaripur District,3013.0
upazilla_epi_BCG diluent_supplied1,Joypurhat District,7038.0
upazilla_epi_Pentavalent vial_supplied1,Jamalpur District,275685.0
upazilla_epi_Syringe (3 ml) supplied1,Gaibandha District,21285.0
upazilla_epi_MR vial_supplied1,Pirojpur District,11220.0
upazilla_epi_Syringe (0.05 ml) supplied1,Nilphamari District,53200.0
upazilla_epi_MR vial_supplied1,Jamalpur District,35262.0
upazilla_epi_MR vial_supplied1,Lalmonirhat District,13350.0
upazilla_epi_Syringe (3 ml) supplied1,Bandarban District,200.0
upazilla_epi_Syringe (5 ml) supplied1,Jhenaidaha District,54600.0
upazilla_epi_OPV vial_supplied1,Pirojpur District,9765.0
upazilla_epi_Syringe (3 ml) supplied1,Kishoreganj District,18870.0
upazilla_epi_MR diluent_supplied1,Feni District,442.0
upazilla_epi_Syringe (5 ml) supplied1,Magura District,8300.0
upazilla_epi_MR vial_supplied1,Faridpur District,5900.0
upazilla_epi_Syringe (0.05 ml) supplied1,Jhalokati District,8400.0
upazilla_epi_Syringe (0.1 ml) supplied1,Sunamganj District,50400.0
upazilla_epi_BCG vial_supplied1,Panchagarh District,15846.0
upazilla_epi_Syringe (5 ml) supplied1,Bogura District,600.0
upazilla_epi_BCG diluent_supplied1,Bandarban District,273.0
upazilla_epi_IPV vial_supplied1,Rajshahi District,2254.0
upazilla_epi_TT vial_supplied1,Mymensingh District,104286.0
upazilla_epi_Syringe (0.1 ml) supplied1,Sylhet District,95400.0
upazilla_epi_BCG diluent_supplied1,Bhola District,29451.0
