Data,Organisation unit,Value
upazilla_epi_Pentavalent vial_supplied1,Monohardi Upazila Health Complex,19474.0
upazilla_epi_Pentavalent vial_supplied1,Pangsha Upazila Health Complex,18300.0
upazilla_epi_BCG diluent_supplied1,Hijla Upazila Health Complex,360.0
upazilla_epi_PCV vial_supplied1,Keshabpur Upazila Health Complex,8200.0
upazilla_epi_PCV vial_supplied1,Kawkhali Upazila Health Complex,2300.0
upazilla_epi_Syringe (0.5 ml) supplied1,Alamdanga Upazila Health Complex,97600.0
upazilla_epi_MR vial_supplied1,Kathalia Upazila Health Complex,1400.0
upazilla_epi_BCG diluent_supplied1,Nangolkot Upazila Health Complex,2950.0
upazilla_epi_MR diluent_supplied1,Companiganj Upazila Health Complex,2800.0
upazilla_epi_Syringe (5 ml) supplied1,"Assasuni Upazila Health Complex, Satkhira",4900.0
upazilla_epi_IPV vial_supplied1,Rupganj Upazila Health Complex,755.0
upazilla_epi_Pentavalent vial_supplied1,Atrai Upazila Health Complex,11098.0
upazilla_epi_Syringe (0.1 ml) supplied1,Fulbaria Upazila Health Complex,18900.0
upazilla_epi_Syringe (0.1 ml) supplied1,Porsha Upazila Health Complex,6400.0
upazilla_epi_IPV vial_supplied1,Ramu Upazila Health Complex,0.0
upazilla_epi_MR vial_supplied1,Sribordi Upazila health Complex,1400.0
upazilla_epi_Syringe (0.5 ml) supplied1,Kabirhat Upazila Health Complex,69200.0
upazilla_epi_Syringe (0.1 ml) supplied1,Durgapur Upazila Health Complex,11000.0
upazilla_epi_TT vial_supplied1,Ulipur Upazila Health Complex,6100.0
upazilla_epi_Pentavalent vial_supplied1,Zianagar Upazila Health Complex,5756.0
upazilla_epi_MR vial_supplied1,"Juri Upazila Health Complex,Moulvibazar",750.0
upazilla_epi_Syringe (3 ml) supplied1,Nandail Upazila Health Complex,1800.0
upazilla_epi_Syringe (5 ml) supplied1,Pekua Upazila Health Complex,600.0
upazilla_epi_Syringe (3 ml) supplied1,Morrelganj Upazila Health Complex,0.0
upazilla_epi_Syringe (0.1 ml) supplied1,Fultala Upazila Health Complex,6300.0
upazilla_epi_Syringe (0.1 ml) supplied1,Kalapara Upazila Health Complex,6600.0
upazilla_epi_Syringe (5 ml) supplied1,Badarganj Upazila Health Complex,1900.0
upazilla_epi_MR vial_supplied1,Shailkupa Upazila Health Complex,2910.0
upazilla_epi_BCG vial_supplied1,Shalikha Upazila Health Complex,1650.0
