Data,Organisation unit,Value
H9DPSXuy1Cq,308967,4700.0
Va9YJe9mcJC,201940,4450.0
txbCZcGu9t7,603668,1243.0
MdeVOqoipzV,309376,20664.0
H9DPSXuy1Cq,552730,6100.0
AhRkuUoR2Gh,306124,3600.0
txbCZcGu9t7,506450,2080.0
Ew83LC7SZl0,408782,7300.0
AhRkuUoR2Gh,406528,1200.0
kneuyiAUuhM,405595,1560.0
tm4XzrA2ZJ4,406576,2500.0
txbCZcGu9t7,100929,1550.0
jexpvG0UpEP,100925,6010.0
kBxPfPkmkUZ,307204,28600.0
tm4XzrA2ZJ4,304827,1450.0
xE9S4yAH6JM,609141,2870.0
Va9YJe9mcJC,306165,2740.0
HwX8sJbFytZ,506486,6877.0
jexpvG0UpEP,305440,550.0
iHhFjeFaUE2,400173,295.0
xE9S4yAH6JM,201931,3900.0
AhRkuUoR2Gh,304854,1500.0
HwX8sJbFytZ,554952,8000.0
jexpvG0UpEP,506406,1836.0
txbCZcGu9t7,308625,70.0
HwX8sJbFytZ,609050,4750.0
xE9S4yAH6JM,609023,2800.0
Ew83LC7SZl0,408704,4800.0
txbCZcGu9t7,306131,2950.0
kBxPfPkmkUZ,506460,68900.0
Va9YJe9mcJC,401831,1710.0
iHhFjeFaUE2,306768,755.0
xE9S4yAH6JM,400108,1955.0
tm4XzrA2ZJ4,308247,1380.0
H9DPSXuy1Cq,304802,1200.0
tm4XzrA2ZJ4,309376,3100.0
xE9S4yAH6JM,204667,1030.0
jexpvG0UpEP,104273,1964.0
Va9YJe9mcJC,107857,1500.0
H9DPSXuy1Cq,405557,3200.0
iHhFjeFaUE2,201233,305.0
iHhFjeFaUE2,303936,787.0
H9DPSXuy1Cq,558503,4800.0
tm4XzrA2ZJ4,553288,2900.0
H9DPSXuy1Cq,553221,4400.0
H9DPSXuy1Cq,306807,3900.0
HwX8sJbFytZ,503858,4600.0
jexpvG0UpEP,304806,2289.0
Ew83LC7SZl0,605835,2300.0
tm4XzrA2ZJ4,208425,480.0
AhRkuUoR2Gh,609131,3500.0
Va9YJe9mcJC,555255,2350.0
txbCZcGu9t7,508194,725.0
HwX8sJbFytZ,308276,11400.0
kneuyiAUuhM,404190,4300.0
xE9S4yAH6JM,553224,3932.0
Va9YJe9mcJC,552712,3150.0
Va9YJe9mcJC,304859,1000.0
MdeVOqoipzV,406576,13808.0
HwX8sJbFytZ,207510,12100.0
Va9YJe9mcJC,404138,2440.0
HwX8sJbFytZ,201504,0.0
kneuyiAUuhM,207585,3400.0
Va9YJe9mcJC,609194,1150.0
jexpvG0UpEP,100954,3825.0
QcPVLGbkXPE,309319,3400.0
HwX8sJbFytZ,508125,2800.0
Va9YJe9mcJC,557704,1320.0
AhRkuUoR2Gh,303958,2700.0
iHhFjeFaUE2,603602,232.0
kneuyiAUuhM,207507,6000.0
iHhFjeFaUE2,306120,845.0
tm4XzrA2ZJ4,605883,1250.0
txbCZcGu9t7,609138,2850.0
Ew83LC7SZl0,408747,8300.0
kneuyiAUuhM,308614,400.0
MdeVOqoipzV,306864,28568.0
H9DPSXuy1Cq,309323,7200.0
jexpvG0UpEP,307263,1899.0
jexpvG0UpEP,605865,2006.0
kneuyiAUuhM,201290,3300.0
AhRkuUoR2Gh,201909,1700.0
AhRkuUoR2Gh,304833,700.0
kneuyiAUuhM,508153,500.0
kneuyiAUuhM,100965,1230.0
xE9S4yAH6JM,305944,2200.0
Ew83LC7SZl0,302962,400.0
Va9YJe9mcJC,605856,980.0
kneuyiAUuhM,107980,850.0
Va9YJe9mcJC,107987,1640.0
MdeVOqoipzV,304811,12816.0
kneuyiAUuhM,552738,1450.0
kBxPfPkmkUZ,408786,62400.0
AhRkuUoR2Gh,201290,1200.0
MdeVOqoipzV,508172,8000.0
AhRkuUoR2Gh,306116,0.0
iHhFjeFaUE2,507672,315.0
xE9S4yAH6JM,201967,3450.0
QcPVLGbkXPE,552743,900.0
H9DPSXuy1Cq,605814,1200.0
Va9YJe9mcJC,404775,1350.0
AhRkuUoR2Gh,204670,900.0
H9DPSXuy1Cq,309328,12000.0
H9DPSXuy1Cq,107990,1800.0
kneuyiAUuhM,554977,1800.0
iHhFjeFaUE2,107855,62.0
tm4XzrA2ZJ4,554961,2150.0
tm4XzrA2ZJ4,304876,950.0
Ew83LC7SZl0,201975,6500.0
MdeVOqoipzV,401823,13608.0
Ew83LC7SZl0,609032,1000.0
kneuyiAUuhM,201909,4550.0
xE9S4yAH6JM,506428,1714.0
jexpvG0UpEP,557734,3236.0
jexpvG0UpEP,405063,1227.0
QcPVLGbkXPE,507619,1800.0
AhRkuUoR2Gh,507633,500.0
MdeVOqoipzV,605883,9900.0
QcPVLGbkXPE,302921,100.0
Va9YJe9mcJC,207521,2650.0
HwX8sJbFytZ,554906,8900.0
kneuyiAUuhM,554908,1150.0
MdeVOqoipzV,302918,4600.0
MdeVOqoipzV,304827,9904.0
xE9S4yAH6JM,558592,1400.0
iHhFjeFaUE2,202224,0.0
jexpvG0UpEP,503813,1516.0
QcPVLGbkXPE,609117,4600.0
Va9YJe9mcJC,107895,960.0
kneuyiAUuhM,401807,2600.0
kneuyiAUuhM,304854,1400.0
H9DPSXuy1Cq,309338,4800.0
jexpvG0UpEP,100991,2355.0
txbCZcGu9t7,307247,2720.0
Ew83LC7SZl0,552764,9300.0
Va9YJe9mcJC,100921,2180.0
txbCZcGu9t7,405039,3930.0
txbCZcGu9t7,306194,3360.0
iHhFjeFaUE2,404123,625.0
QcPVLGbkXPE,107838,1200.0
Ew83LC7SZl0,552738,2000.0
xE9S4yAH6JM,308669,200.0
AhRkuUoR2Gh,559451,0.0
MdeVOqoipzV,307283,23240.0
Ew83LC7SZl0,308229,9300.0
HwX8sJbFytZ,201586,0.0
kneuyiAUuhM,553282,2850.0
QcPVLGbkXPE,503847,4500.0
txbCZcGu9t7,208447,220.0
Va9YJe9mcJC,554979,1700.0
MdeVOqoipzV,609153,15200.0
iHhFjeFaUE2,205143,0.0
iHhFjeFaUE2,408725,280.0
kneuyiAUuhM,201975,1150.0
Ew83LC7SZl0,507683,7200.0
xE9S4yAH6JM,405566,2570.0
xE9S4yAH6JM,603602,1600.0
kneuyiAUuhM,408747,2120.0
QcPVLGbkXPE,207547,4400.0
Ew83LC7SZl0,557336,8900.0
tm4XzrA2ZJ4,408743,2375.0
xE9S4yAH6JM,303936,4350.0
QcPVLGbkXPE,306758,4800.0
xE9S4yAH6JM,201233,2000.0
AhRkuUoR2Gh,405595,0.0
Ew83LC7SZl0,404419,5800.0
iHhFjeFaUE2,609141,900.0
AhRkuUoR2Gh,553282,1400.0
MdeVOqoipzV,208475,2860.0
H9DPSXuy1Cq,603668,4900.0
Ew83LC7SZl0,554977,3800.0
jexpvG0UpEP,404471,2150.0
H9DPSXuy1Cq,201213,7200.0
txbCZcGu9t7,104240,1620.0
iHhFjeFaUE2,204649,93.0
kBxPfPkmkUZ,555233,89200.0
jexpvG0UpEP,307240,3380.0
kneuyiAUuhM,303958,2050.0
jexpvG0UpEP,506479,948.0
HwX8sJbFytZ,400134,4670.0
txbCZcGu9t7,603671,2250.0
H9DPSXuy1Cq,558542,3000.0
HwX8sJbFytZ,208436,2200.0
HwX8sJbFytZ,308694,800.0
tm4XzrA2ZJ4,400158,1320.0
tm4XzrA2ZJ4,100991,1310.0
Va9YJe9mcJC,304879,1630.0
Ew83LC7SZl0,306704,11700.0
xE9S4yAH6JM,609047,1250.0
Va9YJe9mcJC,603605,1740.0
txbCZcGu9t7,609033,1800.0
txbCZcGu9t7,309338,2310.0
Ew83LC7SZl0,207585,14200.0
kneuyiAUuhM,605835,700.0
HwX8sJbFytZ,404414,6135.0
