Data,Organisation unit,Value
edyPqwHl8xs,10002002,1935.0
mG4lyntANUW,HS_27430010000,1.0
DWF6hmJga6Q,HS_27421030000,12.0
KBWEDXf1bhU,HS_27421410000,3992.0
vat7tr4Mb5Z,10002233,29.0
bqOKG6cJ9HC,HS_27430070000,2235.0
dG01gFyUUpJ,10001001,1.0
nHz5prD5MmK,HS_27430190000,66.0
ZGi2mdScAOV,HS_27430030000,1076.0
WebekThVMuW,HS_27430120000,5204.0
HScaB3f35Z1,HS_27430200000,1730.0
WGBL50m9U8y,HS_27421910000,120.0
lAG3wQPDtBx,HS_27430020000,424.0
PpohESJv30p,HS_27421410000,156.0
bqOKG6cJ9HC,HS_27421440000,2555.0
cJFpYp57f3g,HS_27430080000,226.0
nHz5prD5MmK,HS_27421210000,87.0
aCaapVHHGTM,HS_27430010000,8.0
YQeVCHIodxu,10001001,1.0
edyPqwHl8xs,10000922,4337.0
Mdg4YwkZA3q,HS_27430080000,1514.0
dKGmDv4ECXm,HS_27430090000,43.0
DDmuj1o7sKy,10000647,82.0
mG4lyntANUW,HS_27430110000,10.0
dKGmDv4ECXm,10000427,0.0
aCaapVHHGTM,HS_27430110000,36.0
edyPqwHl8xs,10001648,949.0
mG4lyntANUW,HS_27430020000,51.0
uMgEsjd1HCN,10001254,1152.0
WebekThVMuW,HS_27421590000,9127.0
vZhW1lZlJbJ,HS_27422150000,124.0
gxnpwZzuGdT,10000536,2.0
poYsKiXiMsN,HS_27421550000,776.0
WGBL50m9U8y,10001648,3.0
Mdg4YwkZA3q,HS_27421530000,1013.0
KBWEDXf1bhU,10002025,762.0
m8HgPVCalQa,HS_27421530000,1086.0
vZhW1lZlJbJ,HS_27421160000,124.0
gxnpwZzuGdT,10001317,150.0
plQNV0jdrl2,HS_27430080000,4846.0
ux5hjOaieWd,10001001,417.0
hk3eorYt6l9,HS_27430200000,25.0
Rf6YaoD9pDU,HS_27421920000,68.0
UxIv7uHnTif,10000427,2.0
h0i5ShDuD8r,10001254,22.0
PxMpuBloSvM,10002233,15.0
bqOKG6cJ9HC,10001001,1174.0
fXqUKhyfJHA,HS_27422150000,320.0
YQeVCHIodxu,HS_27421440000,12.0
HrnxboYS2pX,HS_27421190000,1454.0
TUaZt44MekA,HS_27421030000,254.0
