Data,Organisation unit,Value
oLMIhDxyDdI,dNLjKwsVjod,7796.0
uTU4zCB25ti,dNLjKwsVjod,295815.0
lAG3wQPDtBx,dNLjKwsVjod,209253.0
HrnxboYS2pX,dNLjKwsVjod,160119.0
vZhW1lZlJbJ,dNLjKwsVjod,28298.0
ux5hjOaieWd,dNLjKwsVjod,103710.0
cDhyhRlvgjK,dNLjKwsVjod,841843.0
oBRiOKXWX0t,dNLjKwsVjod,56790.0
m8HgPVCalQa,dNLjKwsVjod,731603.0
ldL9DxovaGZ,dNLjKwsVjod,791808.0
PzjNbfRFWyP,dNLjKwsVjod,29226.0
mG4lyntANUW,dNLjKwsVjod,11435.0
edyPqwHl8xs,dNLjKwsVjod,470062.0
TBkdRxrRn6m,dNLjKwsVjod,806461.0
gxnpwZzuGdT,dNLjKwsVjod,5559.0
dG01gFyUUpJ,dNLjKwsVjod,4742.0
k4gDhfOM6U1,dNLjKwsVjod,8752.0
Rf6YaoD9pDU,dNLjKwsVjod,7002.0
YQeVCHIodxu,dNLjKwsVjod,3342.0
Mdg4YwkZA3q,dNLjKwsVjod,666519.0
Mj0dHA7IfiD,dNLjKwsVjod,52229.0
KBWEDXf1bhU,dNLjKwsVjod,563270.0
cJFpYp57f3g,dNLjKwsVjod,152362.0
WUiLXAWnm9n,dNLjKwsVjod,59540.0
Uh7k0aWkeAV,dNLjKwsVjod,94119.0
WGBL50m9U8y,dNLjKwsVjod,7808.0
h0i5ShDuD8r,dNLjKwsVjod,29051.0
Zxn1hY7kmiY,dNLjKwsVjod,10418.0
PpohESJv30p,dNLjKwsVjod,113636.0
HScaB3f35Z1,dNLjKwsVjod,68354.0
npKx146IC4n,dNLjKwsVjod,141314.0
DDmuj1o7sKy,dNLjKwsVjod,22195.0
reSF7Y9zouf,dNLjKwsVjod,103801.0
VxiFmwdJ2jf,dNLjKwsVjod,43333.0
pBUIU82QLXK,dNLjKwsVjod,679.0
PxMpuBloSvM,dNLjKwsVjod,26185.0
yl4jyQzjjY4,dNLjKwsVjod,1810.0
dKGmDv4ECXm,dNLjKwsVjod,14026.0
TUaZt44MekA,dNLjKwsVjod,327513.0
bqOKG6cJ9HC,dNLjKwsVjod,726405.0
aCaapVHHGTM,dNLjKwsVjod,6301.0
yTWRW7tqvCr,dNLjKwsVjod,45520.0
nHz5prD5MmK,dNLjKwsVjod,19352.0
hk3eorYt6l9,dNLjKwsVjod,12328.0
nbuIpWI5Q8d,dNLjKwsVjod,430340.0
Xca8sSvZIED,dNLjKwsVjod,3143.0
WpW4kIFC9C3,dNLjKwsVjod,47551.0
Pb1E9Ko3OwQ,dNLjKwsVjod,24512.0
UxIv7uHnTif,dNLjKwsVjod,69575.0
WLI1ZI7rmpW,dNLjKwsVjod,661749.0
vat7tr4Mb5Z,dNLjKwsVjod,31668.0
fXqUKhyfJHA,dNLjKwsVjod,52408.0
WebekThVMuW,dNLjKwsVjod,4686931.0
uMgEsjd1HCN,dNLjKwsVjod,578158.0
DWF6hmJga6Q,dNLjKwsVjod,5342.0
THeGZih2HUE,dNLjKwsVjod,2498.0
h61pZEsgvaD,dNLjKwsVjod,983.0
ZGi2mdScAOV,dNLjKwsVjod,1498640.0
poYsKiXiMsN,dNLjKwsVjod,85516.0
zEU0eGGX6tu,dNLjKwsVjod,35223.0
plQNV0jdrl2,dNLjKwsVjod,1289738.0
Epd0OyfDJSA,dNLjKwsVjod,125202.0
bDyr5KW2qCi,dNLjKwsVjod,869.0
