Data,Organisation unit,Value
ux5hjOaieWd,201376,133.0
poYsKiXiMsN,400156,1.0
reSF7Y9zouf,508153,0.0
plQNV0jdrl2,554979,2169.0
h0i5ShDuD8r,507088,5.0
mG4lyntANUW,508844,1.0
Rf6YaoD9pDU,609027,2.0
hk3eorYt6l9,305984,0.0
Epd0OyfDJSA,401807,53.0
k4gDhfOM6U1,308614,0.0
m8HgPVCalQa,304879,767.0
Mdg4YwkZA3q,201285,204.0
oLMIhDxyDdI,552747,10.0
uMgEsjd1HCN,404730,535.0
oBRiOKXWX0t,404740,10.0
WLI1ZI7rmpW,557315,1151.0
HrnxboYS2pX,603668,15.0
WUiLXAWnm9n,401807,196.0
plQNV0jdrl2,304859,462.0
WebekThVMuW,603602,1278.0
PpohESJv30p,203094,9.0
oLMIhDxyDdI,303915,3.0
DDmuj1o7sKy,201512,55.0
edyPqwHl8xs,100925,246.0
vat7tr4Mb5Z,303591,20.0
cJFpYp57f3g,404138,211.0
ux5hjOaieWd,203094,0.0
lAG3wQPDtBx,400114,87.0
dG01gFyUUpJ,204677,0.0
mG4lyntANUW,205165,1.0
ldL9DxovaGZ,507633,651.0
ZGi2mdScAOV,201508,958.0
hk3eorYt6l9,558576,1.0
ux5hjOaieWd,404161,198.0
HrnxboYS2pX,609138,361.0
Epd0OyfDJSA,554977,4.0
Epd0OyfDJSA,207585,5.0
edyPqwHl8xs,201561,5232.0
Mdg4YwkZA3q,400160,995.0
uTU4zCB25ti,506447,33.0
reSF7Y9zouf,609018,18.0
TBkdRxrRn6m,558558,2259.0
WUiLXAWnm9n,404190,10.0
m8HgPVCalQa,100485,206.0
PpohESJv30p,201376,16.0
vat7tr4Mb5Z,605835,0.0
oBRiOKXWX0t,552760,5.0
uTU4zCB25ti,307247,0.0
TBkdRxrRn6m,555239,629.0
poYsKiXiMsN,200391,0.0
VxiFmwdJ2jf,303958,3.0
Epd0OyfDJSA,100965,62.0
PxMpuBloSvM,100632,4.0
uTU4zCB25ti,306123,0.0
gxnpwZzuGdT,609050,0.0
KBWEDXf1bhU,304842,694.0
poYsKiXiMsN,609135,88.0
WLI1ZI7rmpW,308937,355.0
VxiFmwdJ2jf,406528,2.0
ldL9DxovaGZ,306116,327.0
fXqUKhyfJHA,555270,5.0
aCaapVHHGTM,508844,0.0
dKGmDv4ECXm,508811,0.0
Rf6YaoD9pDU,609047,13.0
uTU4zCB25ti,503874,36.0
h0i5ShDuD8r,557312,2.0
PpohESJv30p,404161,0.0
poYsKiXiMsN,506909,0.0
uMgEsjd1HCN,559408,48.0
YQeVCHIodxu,552730,36.0
fXqUKhyfJHA,208436,0.0
cJFpYp57f3g,507018,135.0
dKGmDv4ECXm,205173,5.0
gxnpwZzuGdT,404769,1.0
m8HgPVCalQa,305622,465.0
dKGmDv4ECXm,501094,0.0
Mdg4YwkZA3q,552769,421.0
