Data,Organisation unit,Value
No. of patients Referred In,Matlab (South) Upazila,133.0
No. of cases with non-specific Abortion (Complication7),Mollahat Upazila,1.0
no. of normal deliveries with Misoprostol,Mohanpur Upazila,0.0
No. of pregnant mother admitted for delivery or obstructed complication in facility,Roumari Upazila,2169.0
No. of cases with Antepartum Hemorrhage (Complication2),Shibganj NG Upazila,5.0
No. of cases of full term pregnancy with Hand or Cord Prolapse (Complication4),Kamarkhanda Upazila,1.0
Number of  3◦ /4◦ perineal tear repair surgery,Derai Upazila,2.0
No. of Forceps/ Vacuum/ Breech delivery,Sreenagar Upazila,0.0
Other obstetric complications (Complication 14),Alamdanga Upazila,53.0
No. of cases with Ectopic Pregnancy (Complication8),Bhedarganj Upazila,0.0
No. of newborn received PNC 1 services at facility,Pakundia Upazila,767.0
No. of newborn initiated breastfeeding within 1 hour after birth,Nabinagar Upazila,204.0
No. of cases with Hydatiform Mole (Complication12),Hakimpur Upazila,10.0
No of newborn received skin to skin care immediate after birth,Dumuria Upazila,535.0
No. of women given birth between 24-34 completed gestational,Dighalia Upazila,10.0
No. of  newborn received 7.1 Chlorhexidine in the umbilical cord,Domar Upazila,1151.0
No. of cases with Prolonged/ Obstructed Labor (Complication1),Lakhai Upazila,15.0
No. of newborn not breathe or cry spontaneously at birth,Alamdanga Upazila,196.0
No. of pregnant mother admitted for delivery or obstructed complication in facility,Mithamain Upazila,462.0
No.  of mother received  ANC 1,Ajmiriganj Upazila,1278.0
No. of cases with other Pregnancy/ Delivery related Complications,Sonagazi Upazila,9.0
No. of cases with Hydatiform Mole (Complication12),Dewanganj Upazila,3.0
No. of newborn delivered in the facility referred out,Boalkhali Upazila,55.0
No. of mother received PNC 2 services at facility,Char Fassion Upazila,246.0
No. of Still Births,Tungipara Upazila,20.0
No.  of mother received  ANC 3,Keshabpur Upazila,211.0
No. of patients Referred In,Sonagazi Upazila,0.0
No.  of mother received  ANC 2,Chitalmari Upazila,87.0
No. of cases with Ruptured Uterus (Complication5),Panchhari Upazila,0.0
No. of cases of full term pregnancy with Hand or Cord Prolapse (Complication4),Ramganj Upazila,1.0
No. of mother received PNC 1 services at facility,Faridpur Upazila,651.0
No. of Live Births (LB),Banshkhali Upazila,958.0
No. of Forceps/ Vacuum/ Breech delivery,Pirganj RP Upazila,1.0
No. of patients Referred In,Manirampur Upazila,198.0
No. of cases with Prolonged/ Obstructed Labor (Complication1),Golabganj Upazila,361.0
Other obstetric complications (Complication 14),Rajarhat Upazila,4.0
Other obstetric complications (Complication 14),Subarna Char Upazila,5.0
No. of mother received PNC 2 services at facility,Patiya Upazila,5232.0
No. of newborn initiated breastfeeding within 1 hour after birth,Morrelganj Upazila,995.0
No. of Safe Blood Transfusions,Manda Upazila,33.0
no. of normal deliveries with Misoprostol,Bishwambarpur Upazila,18.0
No. of Normal Deliveries,Mitha pukur Upazila,2259.0
No. of newborn not breathe or cry spontaneously at birth,Sharsa Upazila,10.0
No. of newborn received PNC 1 services at facility,Patharghata Upazila,206.0
