Data,Organisation unit,Value
oLMIhDxyDdI,dNLjKwsVjod,8464.0
uTU4zCB25ti,dNLjKwsVjod,354622.0
lAG3wQPDtBx,dNLjKwsVjod,214101.0
HrnxboYS2pX,dNLjKwsVjod,149134.0
vZhW1lZlJbJ,dNLjKwsVjod,30249.0
ux5hjOaieWd,dNLjKwsVjod,153141.0
cDhyhRlvgjK,dNLjKwsVjod,41745.0
oBRiOKXWX0t,dNLjKwsVjod,85994.0
m8HgPVCalQa,dNLjKwsVjod,1430313.0
ldL9DxovaGZ,dNLjKwsVjod,1528038.0
PzjNbfRFWyP,dNLjKwsVjod,1029.0
mG4lyntANUW,dNLjKwsVjod,12685.0
edyPqwHl8xs,dNLjKwsVjod,835519.0
TBkdRxrRn6m,dNLjKwsVjod,875702.0
gxnpwZzuGdT,dNLjKwsVjod,6545.0
dG01gFyUUpJ,dNLjKwsVjod,6740.0
k4gDhfOM6U1,dNLjKwsVjod,11571.0
Rf6YaoD9pDU,dNLjKwsVjod,8939.0
Mdg4YwkZA3q,dNLjKwsVjod,1229421.0
YQeVCHIodxu,dNLjKwsVjod,3836.0
Mj0dHA7IfiD,dNLjKwsVjod,52347.0
KBWEDXf1bhU,dNLjKwsVjod,718448.0
cJFpYp57f3g,dNLjKwsVjod,155566.0
WUiLXAWnm9n,dNLjKwsVjod,95783.0
Uh7k0aWkeAV,dNLjKwsVjod,162330.0
WGBL50m9U8y,dNLjKwsVjod,6046.0
h0i5ShDuD8r,dNLjKwsVjod,35201.0
Zxn1hY7kmiY,dNLjKwsVjod,13939.0
PpohESJv30p,dNLjKwsVjod,5509.0
HScaB3f35Z1,dNLjKwsVjod,4809.0
npKx146IC4n,dNLjKwsVjod,143666.0
DDmuj1o7sKy,dNLjKwsVjod,45314.0
reSF7Y9zouf,dNLjKwsVjod,9347.0
VxiFmwdJ2jf,dNLjKwsVjod,70998.0
pBUIU82QLXK,dNLjKwsVjod,532.0
PxMpuBloSvM,dNLjKwsVjod,26185.0
yl4jyQzjjY4,dNLjKwsVjod,1810.0
dKGmDv4ECXm,dNLjKwsVjod,14821.0
TUaZt44MekA,dNLjKwsVjod,581098.0
bqOKG6cJ9HC,dNLjKwsVjod,838647.0
aCaapVHHGTM,dNLjKwsVjod,261.0
yTWRW7tqvCr,dNLjKwsVjod,53587.0
nHz5prD5MmK,dNLjKwsVjod,38124.0
hk3eorYt6l9,dNLjKwsVjod,16038.0
nbuIpWI5Q8d,dNLjKwsVjod,770464.0
Xca8sSvZIED,dNLjKwsVjod,4752.0
WpW4kIFC9C3,dNLjKwsVjod,88202.0
Pb1E9Ko3OwQ,dNLjKwsVjod,29213.0
UxIv7uHnTif,dNLjKwsVjod,64693.0
WLI1ZI7rmpW,dNLjKwsVjod,1198253.0
vat7tr4Mb5Z,dNLjKwsVjod,33135.0
fXqUKhyfJHA,dNLjKwsVjod,3445.0
WebekThVMuW,dNLjKwsVjod,5226125.0
uMgEsjd1HCN,dNLjKwsVjod,1034548.0
DWF6hmJga6Q,dNLjKwsVjod,1792.0
THeGZih2HUE,dNLjKwsVjod,2409.0
h61pZEsgvaD,dNLjKwsVjod,392.0
ZGi2mdScAOV,dNLjKwsVjod,1691070.0
poYsKiXiMsN,dNLjKwsVjod,98778.0
zEU0eGGX6tu,dNLjKwsVjod,70694.0
plQNV0jdrl2,dNLjKwsVjod,2495919.0
Epd0OyfDJSA,dNLjKwsVjod,207578.0
bDyr5KW2qCi,dNLjKwsVjod,400.0
