Data,Organisation unit,Value
IMCI Stunting (0 - 5 years),Thakurgaon District,9.0
IMCI Stunting (0 - 5 years),Barguna District,1103.0
IMCI Anemia (0 - 5 years),Rajbari District,2181.0
IMCI Diarrhea,Jashore District,18635.0
IMCI Low Birth Weight,Tangail District,1627.0
IMCI Child Injury,Sherpur District,1174.0
IMCI Breast Feed within 1 hour of birth,Mymensingh District,8980.0
IMCI Anemia (0 - 5 years),Nilphamari District,3301.0
IMCI Severe Acute Malnutrition,Kishoreganj District,737.0
IMCI Male,Gopalganj District,70079.0
IMCI Complementary Feeding (6-23 months),Maulavi Bazar District,15746.0
IMCI Severe Acute Malnutrition,Sherpur District,407.0
IMCI Exclusive breast feeding,Bagerhat District,15155.0
IMCI Child Injury,Kishoreganj District,1911.0
IMCI Pus draining from Umbilicus,Gaibandha District,64.0
IMCI Underweight (0 - 5 years),Bogura District,1667.0
IMCI Other Disease,Chattogram District,53183.0
IMCI Fever-malaria,Lalmonirhat District,178.0
IMCI Anemia (0 - 5 years),Pabna District,14815.0
IMCI Facilitator Training Information,Narayanganj District,2.0
IMCI Low Birth Weight,Narail District,270.0
IMCI Fever-malaria,Jashore District,185.0
IMCI Ear problem,Tangail District,11434.0
IMCI Cough & Cold no Pneumonia,Chapai Nababganj District,23646.0
IMCI Anemia (0 - 5 years),Munshiganj District,1732.0
IMCI Breast Feed within 1 hour of birth,Kurigram District,5480.0
IMCI Measles,Noakhali District,58.0
IMCI Breast Feed within 1 hour of birth,Chuadanga District,5527.0
IMCI Male,Gaibandha District,40088.0
IMCI Fever-malaria Unlikely,Narayanganj District,259.0
IMCI Anemia (0 - 5 years),Rangpur District,7390.0
IMCI Child Injury,Narayanganj District,1090.0
IMCI Fever-malaria Unlikely,Bandarban District,148.0
IMCI Breast Feed within 1 hour of birth,Sylhet District,14087.0
IMCI Fever-no malaria,Habiganj District,25419.0
IMCI Other Disease,Bandarban District,3454.0
IMCI Breast Feed within 1 hour of birth,Narshingdi District,18915.0
IMCI Underweight (0 - 5 years),Bagerhat District,3988.0
IMCI Severe Acute Malnutrition,Chattogram District,435.0
IMCI Complementary Feeding (6-23 months),Gopalganj District,8050.0
IMCI Very Severe Disease,Habiganj District,1667.0
IMCI Complementary Feeding (6-23 months),Gaibandha District,3554.0
IMCI Fever-malaria Unlikely,Kishoreganj District,81.0
IMCI Pus draining from Umbilicus,Gopalganj District,1325.0
IMCI Breast Feed within 1 hour of birth,Tangail District,13294.0
IMCI counselling,Sylhet District,88096.0
IMCI Female,Habiganj District,60763.0
IMCI Fever-malaria,Barishal District,16.0
IMCI Wasting (0 - 5 years),Dhaka District,366.0
IMCI Measles,Lalmonirhat District,4.0
IMCI Female,Narayanganj District,61676.0
IMCI Anemia (0 - 5 years),Panchagarh District,980.0
IMCI counselling,Tangail District,79022.0
IMCI Very Severe Disease,Narayanganj District,5279.0
IMCI Facilitator Code,Tangail District,4.0
IMCI Pneumonia,Thakurgaon District,1224.0
IMCI Very Severe Disease,Rajshahi District,777.0
IMCI Facilitator Training Information,Sherpur District,2.0
IMCI Fever-malaria,Noakhali District,2.0
IMCI Female,Khulna District,59063.0
IMCI counselling,Narail District,40563.0
IMCI Underweight (0 - 5 years),Habiganj District,2086.0
IMCI Fever-malaria,Dinajpur District,713.0
IMCI Breast Feed within 1 hour of birth,Nilphamari District,8783.0
IMCI Drowning,Panchagarh District,314.0
IMCI Other Disease,Sherpur District,24500.0
IMCI Diarrhea,Bhola District,15366.0
IMCI Fever-no malaria,Rajshahi District,24942.0
IMCI Breast Feed within 1 hour of birth,Narail District,6103.0
IMCI Low Birth Weight,Chuadanga District,1423.0
IMCI counselling,Thakurgaon District,6618.0
IMCI Facilitator Training Information,Khulna District,9.0
IMCI Severe Acute Malnutrition,Faridpur District,112.0
IMCI Exclusive breast feeding,Habiganj District,20985.0
IMCI Female,Sherpur District,45158.0
IMCI Anemia (0 - 5 years),Narshingdi District,1355.0
IMCI Pus draining from Umbilicus,Netrokona District,261.0
IMCI Underweight (0 - 5 years),Rajshahi District,445.0
IMCI Severe Acute Malnutrition,Khulna District,621.0
IMCI Wasting (0 - 5 years),Bandarban District,61.0
IMCI Low Birth Weight,Sylhet District,1702.0
IMCI Fever-malaria Unlikely,Dhaka District,65.0
IMCI Fever-malaria Unlikely,Chattogram District,1721.0
IMCI Breast Feed within 1 hour of birth,Rajbari District,5177.0
IMCI Ear problem,Thakurgaon District,1158.0
IMCI Low Birth Weight,Mymensingh District,1386.0
IMCI Other Disease,Faridpur District,19503.0
IMCI Breast Feed within 1 hour of birth,Pabna District,11495.0
IMCI Anemia (0 - 5 years),Kurigram District,2726.0
IMCI Fever-malaria Unlikely,Coxs Bazar District,844.0
IMCI Facilitator Code,Mymensingh District,887471.0
IMCI Child Injury,Khulna District,536.0
IMCI Measles,Jashore District,13702.0
IMCI Child Injury,Faridpur District,333.0
IMCI Facilitator Training Information,Habiganj District,0.0
IMCI Pus draining from Umbilicus,Maulavi Bazar District,275.0
IMCI Ear problem,Narail District,1451.0
IMCI Facilitator Code,Sylhet District,5.7439245E7
IMCI Exclusive breast feeding,Madaripur District,1305.0
IMCI Female,Rajshahi District,57699.0
IMCI Facilitator Training Information,Chattogram District,2.0
IMCI Anemia (0 - 5 years),Sylhet District,4362.0
IMCI Pus draining from Umbilicus,Jamalpur District,194.0
IMCI Drowning,Rangpur District,222.0
IMCI Pus draining from Umbilicus,Joypurhat District,46.0
IMCI Protein & energy malnutrition (PEM),Panchagarh District,386.0
IMCI Other Disease,Coxs Bazar District,26940.0
IMCI Low Birth Weight,Nilphamari District,456.0
IMCI Stunting (0 - 5 years),Narail District,140.0
IMCI Pus draining from Umbilicus,Patuakhali District,564.0
IMCI Breast Feed within 1 hour of birth,Munshiganj District,6874.0
IMCI Child Injury,Brahmanbaria District,1311.0
IMCI Referral1,Chapai Nababganj District,698.0
IMCI Male,Pirojpur District,37039.0
IMCI Pneumonia,Dhaka District,11879.0
IMCI Fever-malaria,Natore District,402.0
IMCI Child Injury,Dhaka District,2561.0
IMCI Anemia (0 - 5 years),Narail District,495.0
IMCI Stunting (0 - 5 years),Mymensingh District,449.0
IMCI Diarrhea,Joypurhat District,6448.0
IMCI Fever-malaria,Sunamganj District,0.0
IMCI Very Severe Disease,Kishoreganj District,5570.0
IMCI Stunting (0 - 5 years),Sylhet District,552.0
IMCI Fever-no malaria,Bagerhat District,31443.0
IMCI Underweight (0 - 5 years),Brahmanbaria District,4339.0
IMCI Measles,Jamalpur District,3529.0
IMCI Pus draining from Umbilicus,Bhola District,274.0
IMCI Drowning,Chapai Nababganj District,1.0
IMCI Very Severe Disease,Sherpur District,1642.0
IMCI Fever-malaria,Meherpur District,0.0
IMCI Ear problem,Kurigram District,2466.0
IMCI Breast Feed within 1 hour of birth,Rangpur District,10798.0
IMCI Breast Feed within 1 hour of birth,Barguna District,4174.0
IMCI Exclusive breast feeding,Rajshahi District,5590.0
IMCI Anemia (0 - 5 years),Mymensingh District,13424.0
IMCI Ear problem,Narshingdi District,8586.0
IMCI Low Birth Weight,Barguna District,375.0
IMCI Female,Khagrachhari District,45941.0
IMCI Fever-no malaria,Narayanganj District,19865.0
IMCI Measles,Sunamganj District,120.0
IMCI Low Birth Weight,Thakurgaon District,104.0
IMCI counselling,Chuadanga District,30062.0
IMCI Breast Feed within 1 hour of birth,Panchagarh District,1700.0
IMCI Very Severe Disease,Feni District,884.0
IMCI Severe Acute Malnutrition,Brahmanbaria District,357.0
IMCI Pus draining from Umbilicus,Pirojpur District,93.0
IMCI Very Severe Disease,Bogura District,3470.0
IMCI Diarrhea,Sirajganj District,12930.0
IMCI Fever-no malaria,Khulna District,27988.0
IMCI Anemia (0 - 5 years),Tangail District,4193.0
IMCI counselling,Mymensingh District,81958.0
IMCI Severe Acute Malnutrition,Dhaka District,41.0
IMCI Stunting (0 - 5 years),Tangail District,6949.0
IMCI Female,Bandarban District,17662.0
IMCI Cough & Cold no Pneumonia,Gopalganj District,56250.0
IMCI Ear problem,Mymensingh District,7202.0
IMCI Other Disease,Kishoreganj District,51489.0
IMCI Diarrhea,Shariatpur District,4824.0
IMCI Measles,Cumilla District,1709.0
IMCI Male,Jamalpur District,49312.0
IMCI Low Birth Weight,Rajbari District,277.0
IMCI counselling,Kurigram District,33901.0
IMCI Underweight (0 - 5 years),Naogaon District,1058.0
IMCI Ear problem,Chuadanga District,771.0
IMCI Low Birth Weight,Pabna District,558.0
IMCI Complementary Feeding (6-23 months),Pirojpur District,11708.0
IMCI counselling,Narshingdi District,97625.0
IMCI Diarrhea,Barishal District,14845.0
IMCI Low Birth Weight,Rangpur District,3951.0
IMCI Diarrhea,Dinajpur District,15548.0
IMCI Underweight (0 - 5 years),Khagrachhari District,192.0
IMCI Protein & energy malnutrition (PEM),Patuakhali District,12.0
IMCI Wasting (0 - 5 years),Khulna District,422.0
IMCI Severe Acute Malnutrition,Rangamati District,28.0
IMCI Facilitator Training Information,Kishoreganj District,5.0
IMCI Female,Dhaka District,90297.0
IMCI Fever-no malaria,Khagrachhari District,14995.0
IMCI Female,Bagerhat District,61873.0
IMCI Female,Brahmanbaria District,44823.0
IMCI Diarrhea,Gazipur District,25780.0
IMCI Fever-no malaria,Rangamati District,8309.0
IMCI Fever-malaria Unlikely,Habiganj District,38.0
IMCI Diarrhea,Lalmonirhat District,6843.0
IMCI Moderate Acute Malnutrition,Munshiganj District,779.0
IMCI Ear problem,Sylhet District,7249.0
IMCI Pus draining from Umbilicus,Chapai Nababganj District,51.0
IMCI Stunting (0 - 5 years),Faridpur District,7720.0
IMCI Child Injury,Bandarban District,84.0
IMCI Fever-malaria,Manikganj District,7.0
IMCI Child Injury,Khagrachhari District,642.0
IMCI Anemia (0 - 5 years),Chuadanga District,4666.0
IMCI Female,Rangamati District,19414.0
IMCI Underweight (0 - 5 years),Rangamati District,239.0
IMCI Severe Acute Malnutrition,Bandarban District,48.0
IMCI Severe Acute Malnutrition,Narayanganj District,269.0
IMCI Fever-malaria Unlikely,Faridpur District,124.0
IMCI Other Disease,Thakurgaon District,5256.0
IMCI Stunting (0 - 5 years),Chuadanga District,1314.0
IMCI Diarrhea,Laksmipur District,15297.0
IMCI Pneumonia,Barguna District,2948.0
IMCI Very Severe Disease,Coxs Bazar District,3487.0
IMCI Low Birth Weight,Panchagarh District,607.0
IMCI Cough & Cold no Pneumonia,Patuakhali District,30615.0
IMCI Underweight (0 - 5 years),Jhalokati District,1968.0
IMCI Fever-no malaria,Dhaka District,41802.0
IMCI Complementary Feeding (6-23 months),Netrokona District,24647.0
IMCI Exclusive breast feeding,Coxs Bazar District,17023.0
IMCI Facilitator Code,Kurigram District,4806418.0
IMCI Fever-malaria Unlikely,Sherpur District,59.0
IMCI Male,Maulavi Bazar District,54488.0
IMCI Child Injury,Rangamati District,299.0
IMCI Exclusive breast feeding,Bogura District,19029.0
IMCI Moderate Acute Malnutrition,Panchagarh District,494.0
IMCI Measles,Meherpur District,0.0
IMCI Diarrhea,Kustia District,9694.0
IMCI Exclusive breast feeding,Jhenaidaha District,13369.0
IMCI Very Severe Disease,Chattogram District,11534.0
IMCI Facilitator Training Information,Bogura District,1.0
IMCI Male,Netrokona District,65248.0
IMCI Fever-no malaria,Brahmanbaria District,20662.0
IMCI Low Birth Weight,Munshiganj District,1273.0
IMCI Severe Acute Malnutrition,Khagrachhari District,64.0
IMCI Moderate Acute Malnutrition,Rangpur District,3307.0
IMCI Wasting (0 - 5 years),Barguna District,1012.0
IMCI counselling,Faridpur District,86879.0
IMCI Exclusive breast feeding,Feni District,13572.0
IMCI Drowning,Patuakhali District,93.0
IMCI Referral1,Narshingdi District,158710.0
IMCI Very Severe Disease,Jhenaidaha District,5776.0
IMCI Diarrhea,Gaibandha District,9570.0
IMCI Other Disease,Habiganj District,21763.0
IMCI Ear problem,Dhaka District,5745.0
IMCI Child Injury,Bogura District,808.0
IMCI Pus draining from Umbilicus,Jashore District,49.0
IMCI Wasting (0 - 5 years),Sylhet District,603.0
IMCI Facilitator Code,Rangpur District,8151883.0
IMCI Protein & energy malnutrition (PEM),Chuadanga District,54.0
IMCI Very Severe Disease,Madaripur District,965.0
IMCI Child Injury,Bagerhat District,1203.0
IMCI Fever-no malaria,Jhenaidaha District,19969.0
IMCI Anemia (0 - 5 years),Barguna District,2206.0
IMCI counselling,Dhaka District,135245.0
IMCI Other Disease,Rajshahi District,23192.0
IMCI Facilitator Code,Bandarban District,691505.0
IMCI Referral1,Gopalganj District,8006.0
IMCI Male,Lalmonirhat District,28513.0
IMCI Drowning,Maulavi Bazar District,270.0
IMCI Measles,Gaibandha District,1948.0
IMCI Anemia (0 - 5 years),Thakurgaon District,437.0
IMCI Other Disease,Rangamati District,8384.0
IMCI Stunting (0 - 5 years),Pabna District,8480.0
IMCI Fever-malaria,Gaibandha District,158.0
IMCI Moderate Acute Malnutrition,Narshingdi District,2634.0
IMCI Underweight (0 - 5 years),Satkhira District,1086.0
IMCI Female,Jhenaidaha District,46152.0
IMCI Other Disease,Khagrachhari District,29161.0
IMCI Fever-malaria,Gopalganj District,0.0
IMCI counselling,Chattogram District,183959.0
IMCI Cough & Cold no Pneumonia,Munshiganj District,58754.0
IMCI Fever-malaria Unlikely,Feni District,363.0
IMCI Exclusive breast feeding,Kishoreganj District,30216.0
IMCI Ear problem,Chattogram District,4695.0
IMCI Wasting (0 - 5 years),Mymensingh District,359.0
IMCI Fever-no malaria,Faridpur District,20013.0
IMCI Ear problem,Munshiganj District,3791.0
IMCI Low Birth Weight,Faridpur District,801.0
IMCI Protein & energy malnutrition (PEM),Nilphamari District,211.0
IMCI Referral1,Pabna District,50300.0
