Data,Organisation unit,Value
IMCI Other Disease,Bangladesh,1754648.0
IMCI Anemia (0 - 5 years),Bangladesh,238284.0
IMCI Fever-malaria,Bangladesh,12283.0
IMCI Diarrhea,Bangladesh,906655.0
IMCI Pneumonia,Bangladesh,568488.0
IMCI counselling,Bangladesh,3627148.0
IMCI Pus draining from Umbilicus,Bangladesh,14857.0
IMCI Child Injury,Bangladesh,78958.0
IMCI Wasting (0 - 5 years),Bangladesh,81565.0
IMCI Ear problem,Bangladesh,221285.0
IMCI Underweight (0 - 5 years),Bangladesh,219911.0
IMCI Fever-no malaria,Bangladesh,1648699.0
IMCI Severe Acute Malnutrition,Bangladesh,21455.0
IMCI Cough & Cold no Pneumonia,Bangladesh,2622555.0
IMCI Complementary Feeding (6-23 months),Bangladesh,1262713.0
IMCI Drowning,Bangladesh,6301.0
IMCI Moderate Acute Malnutrition,Bangladesh,134930.0
IMCI Referral1,Bangladesh,891489.0
IMCI Breast Feed within 1 hour of birth,Bangladesh,593817.0
IMCI Very Severe Disease,Bangladesh,226056.0
IMCI Stunting (0 - 5 years),Bangladesh,128933.0
IMCI Measles,Bangladesh,108453.0
IMCI Fever-malaria Unlikely,Bangladesh,59807.0
IMCI Facilitator Training Information,Bangladesh,876.0
IMCI Female,Bangladesh,3876878.0
IMCI Male,Bangladesh,3823207.0
IMCI Low Birth Weight,Bangladesh,68644.0
IMCI Protein & energy malnutrition (PEM),Bangladesh,18757.0
IMCI Exclusive breast feeding,Bangladesh,1019389.0
IMCI Facilitator Code,Bangladesh,2.09767961E8
