Data,Organisation unit,Value
IMCI Facilitator Code,"Gopalganj District Hospital, Gopalganj",1488564.0
IMCI Severe Acute Malnutrition,"Khulna District Hospital, Khulna",181.0
IMCI Pneumonia,"Naogaon District Hospital, Naogaon",8203.0
IMCI counselling,"Narail District Hospital, Narail",15997.0
IMCI Anemia (0 - 5 years),"Panchagarh District Hospital, Panchagarh",290.0
IMCI Anemia (0 - 5 years),"Meherpur District Hospital, Meherpur",1959.0
IMCI Very Severe Disease,"Manikganj District Hospital, Manikganj",2269.0
IMCI Cough & Cold no Pneumonia,"Joypurhat District Hospital, Joypurhat",786.0
IMCI counselling,"Gopalganj District Hospital, Gopalganj",3751.0
IMCI Underweight (0 - 5 years),"Dinajpur District Hospital, Dinajpur",23.0
IMCI Ear problem,"Narail District Hospital, Narail",271.0
IMCI Other Disease,"Mohammad Ali District Hospital , Bogra",16296.0
IMCI Referral1,"Shariatpur District Hospital, Shariatpur",0.0
IMCI Exclusive breast feeding,"Dinajpur District Hospital, Dinajpur",1221.0
IMCI Diarrhea,"Pirojpur District Hospital, Pirojpur",3257.0
IMCI Moderate Acute Malnutrition,"Bagerhat District Hospital, Bagerhat",1036.0
IMCI Measles,"Faridpur General Hospital, Faridpur",202.0
IMCI Fever-no malaria,"Manikganj District Hospital, Manikganj",8176.0
IMCI Wasting (0 - 5 years),"Natore District Hospital, Natore",3.0
IMCI Severe Acute Malnutrition,"Nababganj District Hospital, Nababganj",96.0
IMCI Cough & Cold no Pneumonia,Narayanganj General (Victoria) Hospital (100bed),11691.0
IMCI Moderate Acute Malnutrition,Narayanganj General (Victoria) Hospital (100bed),158.0
IMCI Pneumonia,"Natore District Hospital, Natore",4258.0
IMCI Stunting (0 - 5 years),"Narail District Hospital, Narail",77.0
IMCI Protein & energy malnutrition (PEM),"Jhenaidah District Hospital, Jhenaidah",31.0
IMCI Fever-malaria,"Pirojpur District Hospital, Pirojpur",0.0
IMCI Female,"Gaibandha District Hospital, Gaibandha",10669.0
IMCI Pus draining from Umbilicus,"Shaheed Ahsan Ullah Master General Hospital, Tongi, Gazipur",125.0
IMCI Very Severe Disease,"Barguna District Hospital, Barguna",398.0
IMCI Fever-malaria,"Hobiganj District Hospital, Hobiganj",2.0
IMCI Child Injury,"Gaibandha District Hospital, Gaibandha",88.0
IMCI Underweight (0 - 5 years),"Bandarban District Hospital, Bandarban",7.0
IMCI Ear problem,"Gopalganj District Hospital, Gopalganj",964.0
IMCI Referral1,"Bagerhat District Hospital, Bagerhat",5182.0
IMCI Female,"Barguna District Hospital, Barguna",3834.0
IMCI Exclusive breast feeding,"Sunamganj District Hospital, Sunamganj",5640.0
IMCI Measles,"Madaripur District Hospital, Madaripur",0.0
IMCI Protein & energy malnutrition (PEM),"Bagerhat District Hospital, Bagerhat",714.0
IMCI Pus draining from Umbilicus,"Nilphamari District Hospital, Nilphamari",89.0
IMCI Low Birth Weight,"Tangail District Hospital, Tangail",553.0
IMCI Fever-no malaria,"Barguna District Hospital, Barguna",2688.0
IMCI Low Birth Weight,"Narail District Hospital, Narail",115.0
IMCI Protein & energy malnutrition (PEM),Narayanganj General (Victoria) Hospital (100bed),122.0
IMCI Severe Acute Malnutrition,"Gaibandha District Hospital, Gaibandha",160.0
IMCI Underweight (0 - 5 years),"Thakurgaon District Hospital, Thakurgaon",17.0
IMCI Diarrhea,"Sherpur District Hospital, Sherpur",3446.0
IMCI Fever-malaria,"Faridpur General Hospital, Faridpur",0.0
IMCI Exclusive breast feeding,"Thakurgaon District Hospital, Thakurgaon",3924.0
IMCI Measles,"Coxs Bazar District Hospital, Coxs Bazar",1.0
IMCI Cough & Cold no Pneumonia,"Barisal District Hospital, Barisal",9058.0
IMCI Anemia (0 - 5 years),"Khagrachari District Hospital, Khagrachari",40.0
IMCI Fever-malaria,"M.Bazar District Hospital, M.Bazar",5.0
IMCI Measles,"Magura District Hospital, Magura",14.0
IMCI Pneumonia,"Narsingdi (100 bed) Zila Hospital, Narshingdi",942.0
IMCI Male,"Shahid Shamsuddin District Hospital, Sylhet",4682.0
IMCI Stunting (0 - 5 years),"Gopalganj District Hospital, Gopalganj",93.0
IMCI Protein & energy malnutrition (PEM),"Kustia District Hospital, Kustia",2310.0
IMCI Referral1,"Munshiganj District Hospital, Munshiganj",4539.0
IMCI Fever-malaria,"Madaripur District Hospital, Madaripur",0.0
IMCI Complementary Feeding (6-23 months),"Rajbari District Hospital, Rajbari",5213.0
IMCI Male,"Noakhali District Hospital, Noakhali",12093.0
IMCI Protein & energy malnutrition (PEM),"Joypurhat District Hospital, Joypurhat",133.0
IMCI Diarrhea,"Jamalpur District Hospital, Jamalpur",4154.0
IMCI Other Disease,"Natore District Hospital, Natore",7564.0
IMCI Cough & Cold no Pneumonia,"Rangamati District Hospital, Rangamati",4254.0
IMCI Complementary Feeding (6-23 months),"Noakhali District Hospital, Noakhali",7046.0
IMCI Male,"Rajbari District Hospital, Rajbari",13275.0
IMCI Female,"Khulna District Hospital, Khulna",5468.0
IMCI Wasting (0 - 5 years),"Mohammad Ali District Hospital , Bogra",1.0
IMCI Complementary Feeding (6-23 months),"Shahid Shamsuddin District Hospital, Sylhet",742.0
IMCI Cough & Cold no Pneumonia,"Kustia District Hospital, Kustia",11875.0
IMCI Fever-malaria,"Kurigram District Hospital, Kurigram",0.0
IMCI Pus draining from Umbilicus,"Chittagong General Hospital, Chittagong",48.0
IMCI Diarrhea,"Magura District Hospital, Magura",3890.0
IMCI Other Disease,"Khulna District Hospital, Khulna",5085.0
