Data,Organisation unit,Value
p4sMIzLlIqk,dNLjKwsVjod,2563302.0
GZWzBoEhi1S,dNLjKwsVjod,238288.0
NlEkfvUZ1TS,dNLjKwsVjod,21176.0
RTJbhrOb0LB,dNLjKwsVjod,1506752.0
AhQ1Net8U5z,dNLjKwsVjod,932762.0
RN4w5hxGHRk,dNLjKwsVjod,3627215.0
fBurIvCJP0D,dNLjKwsVjod,14860.0
SW4mM4SA65U,dNLjKwsVjod,78963.0
JBhv2WOYxSf,dNLjKwsVjod,81566.0
nyxjGxsZ3GY,dNLjKwsVjod,954590.0
GYGcXE0XEzA,dNLjKwsVjod,219911.0
wwE5TRfBuhI,dNLjKwsVjod,2547956.0
EfLoEHPMrUL,dNLjKwsVjod,21455.0
Vsj168YcM0W,dNLjKwsVjod,4199316.8
oPi0KdUUkmk,dNLjKwsVjod,1262713.0
f5G2bLJmbMP,dNLjKwsVjod,6301.0
PVLH8nNufJv,dNLjKwsVjod,134930.0
J4LMYIjzMDh,dNLjKwsVjod,891516.0
GyTha0DmXeY,dNLjKwsVjod,593817.0
PoAojyGYuBr,dNLjKwsVjod,362196.0
QCGhrXxmJDb,dNLjKwsVjod,128933.0
EAN5GjcGP6k,dNLjKwsVjod,116271.0
nnLPr1FqABz,dNLjKwsVjod,59807.0
flN1fjAmDCz,dNLjKwsVjod,15886.0
CRZkTTALRSb,dNLjKwsVjod,5991172.0
Fnsa8A43USl,dNLjKwsVjod,6069608.0
EC4hrF3y7p9,dNLjKwsVjod,68644.0
ji6q7h7TE3n,dNLjKwsVjod,207707.0
LSNFSyDR2Ec,dNLjKwsVjod,1019389.0
OHsyGAoZxnG,dNLjKwsVjod,2.800424733E9
