Data,Organisation unit,Value
IMCI counselling,Pangsha Upazila,6674.0
IMCI Underweight (0 - 5 years),Atrai Upazila,726.0
IMCI Pneumonia,Bholahat Upazila,258.0
IMCI Wasting (0 - 5 years),Mithamain Upazila,80.0
IMCI Breast Feed within 1 hour of birth,Nazirpur Upazila,917.0
IMCI Very Severe Disease,Fatikchhari Upazila,254.0
IMCI Breast Feed within 1 hour of birth,Raipur Upazila,3937.0
IMCI Facilitator Code,Hijla Upazila,99085.0
IMCI Cough & Cold no Pneumonia,Ajmiriganj Upazila,5215.0
IMCI Severe Acute Malnutrition,Khansama Upazila,101.0
IMCI Stunting (0 - 5 years),Bhola Sadar Upazila,76.0
IMCI Moderate Acute Malnutrition,Fulbaria Upazila,103.0
IMCI Exclusive breast feeding,Bauphal Upazila,1500.0
IMCI Breast Feed within 1 hour of birth,Bandar Upazila,71.0
IMCI Stunting (0 - 5 years),Hatiya Upazila,1.0
IMCI Fever-no malaria,Fatikchhari Upazila,3581.0
IMCI Male,Keraniganj Upazila,31315.0
IMCI Child Injury,Chandpur Sadar Upazila,15.0
IMCI counselling,Banaripara Upazila,12812.0
IMCI Complementary Feeding (6-23 months),Chunarughat Upazila,1653.0
IMCI Ear problem,Rani Nagar Upazila,903.0
IMCI Exclusive breast feeding,Komolnogor Upazila,1056.0
IMCI Other Disease,Pirojpur Sadar Upazila,4090.0
IMCI Breast Feed within 1 hour of birth,Modhukhali Upazila,760.0
IMCI Complementary Feeding (6-23 months),Durgapur Upazila,4253.0
IMCI Severe Acute Malnutrition,Dighalia Upazila,30.0
IMCI Drowning,Shibganj Bogra Upazila,27.0
IMCI Protein & energy malnutrition (PEM),Homna Upazila,87.0
IMCI counselling,Nangalkot Upazila,4263.0
IMCI Child Injury,Banshkhali Upazila,77.0
IMCI Fever-malaria,Barkal Upazila,0.0
IMCI Pneumonia,Jessore Sadar Upazila,35.0
IMCI Other Disease,Baraigram Upazila,8233.0
IMCI Diarrhea,Shib Char Upazila,2993.0
IMCI Measles,Mongla Upazila,0.0
IMCI Diarrhea,Patgram Upazila,2854.0
IMCI Facilitator Training Information,Chandpur Sadar Upazila,6.0
IMCI Male,Bandarban Sadar Upazila,920.0
IMCI Male,Nilphamari Sadar Upazila,1626.0
IMCI Other Disease,Haluaghat Upazila,2231.0
IMCI Very Severe Disease,Gaffargaon Upazila,480.0
IMCI Fever-no malaria,Gaffargaon Upazila,3025.0
IMCI Diarrhea,Kaptai Upazila,285.0
IMCI Measles,Kasba Upazila,7.0
IMCI Breast Feed within 1 hour of birth,Sonaimuri Upazila,328.0
IMCI Facilitator Training Information,Bahubal Upazila,0.0
IMCI Underweight (0 - 5 years),Char Bhadrasan Upazila,5.0
IMCI Fever-malaria,Madhupur Upazila,49.0
IMCI Wasting (0 - 5 years),Roumari Upazila,4.0
IMCI Complementary Feeding (6-23 months),Kalaroa Upazila,200.0
IMCI Pneumonia,Kachua BH Upazila,353.0
IMCI Fever-no malaria,Kaliakair Upazila,4677.0
IMCI Measles,Kulaura Upazila,554.0
IMCI Pus draining from Umbilicus,Baniachong Upazila,57.0
IMCI Very Severe Disease,Burichang Upazila,572.0
IMCI Fever-malaria,Sarankhola Upazila,0.0
IMCI Fever-no malaria,Burichang Upazila,570.0
IMCI Anemia (0 - 5 years),Dhanbari Upzila,316.0
IMCI Anemia (0 - 5 years),Dashmina Upazila,1.0
IMCI Male,Hajiganj Upazila,5702.0
IMCI Cough & Cold no Pneumonia,Fulbaria Upazila,7304.0
IMCI Fever-malaria,Tangail Sadar Upazila,0.0
IMCI Pneumonia,Patuakhali Sadar Upazila,301.0
IMCI Ear problem,Chandanaish Upazila,555970.0
IMCI Protein & energy malnutrition (PEM),Batiaghata Upazila,39.0
IMCI Low Birth Weight,Assasuni Upazila,487.0
IMCI Moderate Acute Malnutrition,Ajmiriganj Upazila,265.0
IMCI Referral1,Dupchanchia Upazila,1058.0
IMCI Other Disease,Ruma Upazila,196.0
IMCI Ear problem,Hakimpur Upazila,130.0
IMCI Facilitator Training Information,Banshkhali Upazila,6.0
IMCI Cough & Cold no Pneumonia,Coxs Bazar Sadar Upazila,1427.0
IMCI Severe Acute Malnutrition,Sulla Upazila,12.0
IMCI Other Disease,Mollahat Upazila,5778.0
IMCI Breast Feed within 1 hour of birth,Titas Upazila,1413.0
IMCI Female,Baliadangi Upazila,2035.0
IMCI Fever-no malaria,Belai Chhari Upazila,249.0
IMCI Fever-malaria Unlikely,Itna Upazila,15.0
IMCI counselling,Parbatipur Upazila,936.0
IMCI Measles,Maheshpur Upazila,4.0
IMCI Breast Feed within 1 hour of birth,Sherpur Upazila,1861.0
IMCI Underweight (0 - 5 years),Durgapur NK Upazila,3182.0
IMCI Cough & Cold no Pneumonia,Shalikha Upazila,4090.0
IMCI Other Disease,Fenchuganj Upazila,2823.0
IMCI Very Severe Disease,Kaliakair Upazila,163.0
IMCI Protein & energy malnutrition (PEM),Naogaon Sadar Upazila,788.0
IMCI Anemia (0 - 5 years),Madan Upazila,44.0
IMCI Severe Acute Malnutrition,Kamalganj Upazila,47.0
IMCI Female,Dumuria Upazila,25107.0
IMCI Measles,Bajitpur Upazila,13.0
IMCI Stunting (0 - 5 years),Bholahat Upazila,53.0
IMCI Severe Acute Malnutrition,Bagherpara Upazila,22.0
IMCI Ear problem,Gobindaganj Upazila,1266.0
IMCI Anemia (0 - 5 years),Gobindaganj Upazila,640.0
IMCI Complementary Feeding (6-23 months),Shalikha Upazila,815.0
IMCI Very Severe Disease,Jagannathpur Upazila,707.0
IMCI counselling,Dighinala Upazila,6207.0
IMCI Fever-malaria,Rajasthali Upazila,15.0
IMCI Ear problem,Kapasia Upazila,644.0
IMCI Stunting (0 - 5 years),Kachua BH Upazila,27.0
IMCI Complementary Feeding (6-23 months),Chitalmari Upazila,1401.0
IMCI Fever-no malaria,Jagannathpur Upazila,2753.0
IMCI Child Injury,Gomastapur Upazila,78.0
IMCI Pneumonia,Companiganj NK Upazila,2156.0
IMCI Facilitator Code,Bandar Upazila,1826.0
IMCI Fever-malaria Unlikely,Lama Upazila,53.0
IMCI counselling,Ramgarh Upazila,1134.0
IMCI Complementary Feeding (6-23 months),Ramganj Upazila,9158.0
IMCI Breast Feed within 1 hour of birth,Hijla Upazila,52.0
IMCI Severe Acute Malnutrition,Zakiganj Upazila,83.0
IMCI Stunting (0 - 5 years),Titas Upazila,139.0
IMCI Complementary Feeding (6-23 months),Kamarkhanda Upazila,796.0
IMCI counselling,Panchgarh Sadar Upazila,7.0
IMCI Male,Dumki Upazila,3972.0
IMCI Protein & energy malnutrition (PEM),Jiban Nagar Upazila,142.0
IMCI Fever-malaria,Satkania Upazila,57.0
IMCI Male,Amtali Upazila,14867.0
IMCI Other Disease,Monpura Upazila,2461.0
IMCI Very Severe Disease,Belai Chhari Upazila,0.0
IMCI Other Disease,Alamdanga Upazila,3904.0
IMCI Protein & energy malnutrition (PEM),Banchharampur Upazila,1.0
IMCI Anemia (0 - 5 years),Hakimpur Upazila,2.0
IMCI counselling,Baghai Chhari Upazila,3092.0
IMCI Pneumonia,Muktagachha Upazila,3160.0
IMCI Male,Kurigram Sadar Upazila,17.0
IMCI Fever-malaria,Bhurungamari Upazila,49.0
IMCI Underweight (0 - 5 years),Balaganj Upazila,303.0
IMCI Protein & energy malnutrition (PEM),Meherpur Sadar Upazila,3.0
IMCI Very Severe Disease,Itna Upazila,316.0
IMCI Measles,Kalkini Upazila,123.0
IMCI Underweight (0 - 5 years),Kaharole Upazila,55.0
IMCI counselling,Araihazar Upazila,12553.0
IMCI Diarrhea,Pirganj TG Upazila,2799.0
IMCI Drowning,Ramgoti Upazila,17.0
IMCI Breast Feed within 1 hour of birth,Tarash Upazila,869.0
IMCI Female,Jurai Chhari Upazila,1372.0
IMCI Pneumonia,Hatiya Upazila,688.0
IMCI Fever-malaria,Ranisankail Upazila,0.0
IMCI Moderate Acute Malnutrition,Khagrachhari Sadar Upazila,42.0
IMCI Very Severe Disease,Chilmari Upazila,113.0
IMCI Fever-malaria Unlikely,Sundarganj Upazila,12.0
IMCI Underweight (0 - 5 years),Gangachara Upazila,196.0
IMCI Low Birth Weight,Kanaighat Upazila,18.0
IMCI Ear problem,Dewanganj Upazila,927.0
IMCI Anemia (0 - 5 years),Dewanganj Upazila,157.0
IMCI Facilitator Code,Raipur Upazila,2.0655966E7
IMCI Anemia (0 - 5 years),Chandanaish Upazila,163.0
IMCI Cough & Cold no Pneumonia,Khagrachhari Sadar Upazila,2114.0
IMCI Measles,Nagarpur Upazila,244.0
IMCI Male,Kashiani Upazila,30965.0
IMCI counselling,Morrelganj Upazila,6156.0
IMCI Fever-no malaria,Bhaluka Upazila,9570.0
IMCI counselling,Patharghata Upazila,12343.0
IMCI Facilitator Training Information,Shibpur Upazila,30.0
IMCI Measles,Kalukhali Upazila,0.0
IMCI Pneumonia,Bhola Sadar Upazila,121.0
IMCI Fever-malaria,Daudkandi Upazila,9.0
IMCI Breast Feed within 1 hour of birth,Meherpur Sadar Upazila,220.0
IMCI Underweight (0 - 5 years),Gurudashpur Upazila,98.0
IMCI Exclusive breast feeding,Tetulia Upazila,285.0
IMCI Male,Atgharia Upazila,12069.0
IMCI Diarrhea,Bogra Sadar Upazila,314.0
IMCI Very Severe Disease,Nandail Upazila,446.0
IMCI Moderate Acute Malnutrition,Jamalganj Upazila,203.0
IMCI Exclusive breast feeding,Islampur Upazila,1313.0
IMCI counselling,Pakundia Upazila,7113.0
