Data,Organisation unit,Value
IMCI Exclusive breast feeding,Bhandaria Upazila Health Complex,402.0
IMCI Male,Rampal Upazila Health Complex,4463.0
IMCI Low Birth Weight,Titas Upazila Health Complex,71.0
IMCI Anemia (0 - 5 years),Charbhadrason Upazila Health Complex,1.0
IMCI Female,Dewanganj Upazila Health Complex,5118.0
IMCI Severe Acute Malnutrition,"Barlekha Upazila Health Complex,Moulvibazar",67.0
IMCI Wasting (0 - 5 years),Belabo Upazila Health Complex,18.0
IMCI Underweight (0 - 5 years),Mohanpur Upazila Health Complex,6.0
IMCI Severe Acute Malnutrition,Saturia Upazila Health Complex,42.0
IMCI Male,Dighinala Upazila Health Complex,4025.0
IMCI Facilitator Training Information,Mirzaganj Upazila Health Complex,11.0
IMCI Pus draining from Umbilicus,Fulbari KG Upazila Health Complex,10.0
IMCI Child Injury,Barura Upazila Health Complex,240.0
IMCI Facilitator Training Information,"Kumarkhali Upazila Health Complex, Kushtia",12.0
IMCI Measles,Mehendiganj Upazila Health Complex,0.0
IMCI Other Disease,Patgram Upazila Health Complex,1401.0
IMCI counselling,"Golabganj Upazila Health Complex,UHC",3871.0
IMCI Exclusive breast feeding,Sapahar Upazila Health Complex,35.0
IMCI counselling,Raipur Upazila Health Complex,4409.0
IMCI Anemia (0 - 5 years),Shibpur Upazila Health Complex,74.0
IMCI Measles,Sarsa Upazila Health Complex,7.0
IMCI Underweight (0 - 5 years),Saharasthi Upazila Health Complex,42.0
IMCI Facilitator Code,Raipur Upazila Health Complex,2287672.0
IMCI Anemia (0 - 5 years),"Biswanath Upazila Health Complex,Sylhet",428.0
IMCI Pneumonia,Bagatipara Upazila Health Complex,670.0
IMCI Low Birth Weight,Borhanuddin Upazila Health Complex,1.0
IMCI Diarrhea,Charfession Upazila Health Complex,3135.0
IMCI Female,Savar Upazila Health Complex,28309.0
IMCI Fever-no malaria,Aditmari Upazila Health Complex,1272.0
IMCI Diarrhea,Tungibari Upazila Health Complex,3058.0
IMCI Fever-malaria,Birampur Upazila Health Complex,0.0
IMCI Measles,Austagram Upazila Health Complex,0.0
IMCI Other Disease,Panchari Upazila Health Complex,946.0
IMCI Anemia (0 - 5 years),Lohagara Upazila Health Complex,79.0
IMCI Facilitator Training Information,Sarail Upazila Health Complex,10.0
IMCI Anemia (0 - 5 years),Ukhyia Upazila Health Complex,36.0
IMCI Ear problem,Baghaichari Upazila Health Complex,69.0
IMCI Ear problem,Mohanganj Upazila  Health  Complex,240.0
IMCI Fever-malaria,Terakhada Upazila Health Complex,0.0
IMCI Moderate Acute Malnutrition,Sitakunda Upazila Health Complex,184.0
IMCI counselling,Debhata Upazila Health Complex,1670.0
IMCI Child Injury,"Barlekha Upazila Health Complex,Moulvibazar",254.0
IMCI Male,Naria Upazila Health Complex,1342.0
IMCI Anemia (0 - 5 years),Louhajang Upazila Health Complex,119.0
IMCI Pneumonia,Alfadanga Upazila Health Complex,0.0
IMCI Female,Bamna Upazila Health Complex,2107.0
IMCI Protein & energy malnutrition (PEM),Kabirhat Upazila Health Complex,346.0
IMCI Referral1,Itna Upazila Health Complex,328.0
IMCI Referral1,Sitakunda Upazila Health Complex,287.0
IMCI Male,Amtali Upazila Health Complex,3597.0
IMCI counselling,Godagari Upazila Health Complex,1446.0
IMCI Female,Kishoreganj Upazila Health Complex,5007.0
IMCI Measles,"Biswambarpur Upazila Health Complex,Sunamganj",0.0
IMCI Protein & energy malnutrition (PEM),Sarishabari Upazila Health Complex,215.0
IMCI Other Disease,"Fenchuganj Upazila Health Complex,Sylhet",2228.0
IMCI counselling,Domar Upazila Health Complex,2122.0
IMCI Complementary Feeding (6-23 months),"Dowarabazar Upazila Health Complex,Sunamganj",2541.0
IMCI Breast Feed within 1 hour of birth,Akkelpur Upazila Health Complex,2876.0
IMCI Fever-malaria,Rajarhat Upazila Health Complex,32.0
IMCI counselling,Khetlal Upazila Health Complex,3118.0
IMCI Wasting (0 - 5 years),Kawkhali Upazila Health Complex,69.0
IMCI Child Injury,Saturia Upazila Health Complex,57.0
IMCI Referral1,Kashba Upazila Health Complex,72.0
IMCI Fever-no malaria,Shajahanpur Upazila Health Complex,1221.0
IMCI Fever-malaria,Bakshiganj Upazila Health Complex,0.0
IMCI Low Birth Weight,Bhaluka Upazila Health Complex,60.0
IMCI Other Disease,Dhamairhat Upazila Health Complex,143.0
IMCI Facilitator Code,Ranisankhail Upazila Health Complex,1009690.0
IMCI Female,Nalchithi Upazila Health Complex,3916.0
IMCI Very Severe Disease,Shajahanpur Upazila Health Complex,0.0
IMCI Diarrhea,Chirirbandar Upazila Health Complex,750.0
IMCI Exclusive breast feeding,Kalmakanda Upazila Health Complex,5577.0
IMCI Low Birth Weight,Kalapara Upazila Health Complex,58.0
IMCI Very Severe Disease,Juraichari Upazila Health Complex,14.0
IMCI Anemia (0 - 5 years),Sarankhola Upazila Health Complex,308.0
IMCI Exclusive breast feeding,Chandanaish Upazila Health Complex,271.0
IMCI Breast Feed within 1 hour of birth,"Rajnagar Upazila Health Complex,Moulvibazar",243.0
IMCI Fever-no malaria,Juraichari Upazila Health Complex,213.0
IMCI Very Severe Disease,Khaliajuri Upazila Health Complex,103.0
IMCI Stunting (0 - 5 years),Godagari Upazila Health Complex,10.0
IMCI Protein & energy malnutrition (PEM),"Dakhin Surma Upazila Health Complex,Sylhet",124.0
IMCI Ear problem,Haluaghat Upazila Health Complex,482.0
IMCI counselling,Bera Upazila Health Complex,5306.0
IMCI Pneumonia,Pirganj TG Upazila Health Complex,82.0
IMCI Very Severe Disease,Santhia Upazila Health Complex,446.0
IMCI Stunting (0 - 5 years),Mathbaria Upazila Health Complex,44.0
IMCI counselling,Hossainpur Upazila Health Complex,8942.0
IMCI Fever-no malaria,Khaliajuri Upazila Health Complex,1215.0
IMCI Underweight (0 - 5 years),Manikchari Upazila Health Complex,31.0
IMCI Anemia (0 - 5 years),Rajibpur Upazila Health Complex,8.0
IMCI Wasting (0 - 5 years),"Agailjhara Upazila Health Complex, Barisal",171.0
IMCI Other Disease,Boalkhali Upazila Health Complex,9896.0
IMCI Fever-malaria,Mongla Upazila Health Complex,0.0
IMCI Anemia (0 - 5 years),Bauphal Upazila Health Complex,57.0
IMCI Complementary Feeding (6-23 months),"Balaganj Upazila Health Complex,Sylhet",198.0
IMCI Protein & energy malnutrition (PEM),Comilla Sadar Daxin Upazila Health Complex,52.0
IMCI Complementary Feeding (6-23 months),Barkol Upazila Health Complex,21.0
IMCI Complementary Feeding (6-23 months),Bhurungamari Upazila Health Complex,800.0
IMCI Female,"Madhabpur Upazila Health Complex,Habiganj",5227.0
IMCI Referral1,Companiganj Upazila Health Complex,331.0
IMCI Pneumonia,Ranisankhail Upazila Health Complex,1820.0
IMCI Fever-no malaria,Santhia Upazila Health Complex,2643.0
IMCI Fever-malaria,"Zakiganj Upazila Health Complex,Sylhet",0.0
IMCI Protein & energy malnutrition (PEM),Tarail Upazila Health Complex,11.0
IMCI Referral1,Rupganj Upazila Health Complex,0.0
IMCI Breast Feed within 1 hour of birth,Dashmina Upazila Health Complex,609.0
IMCI Pus draining from Umbilicus,Amtali Upazila Health Complex,28.0
IMCI Pneumonia,Hossainpur Upazila Health Complex,1310.0
IMCI Male,Jhenaigati Upazila Health Complex,6169.0
IMCI Breast Feed within 1 hour of birth,Bera Upazila Health Complex,326.0
IMCI Stunting (0 - 5 years),Domar Upazila Health Complex,72.0
IMCI Facilitator Training Information,Muradnagar Upazila Health Complex,7.0
IMCI Ear problem,Birganj Upazila Health Complex,124.0
IMCI Severe Acute Malnutrition,Mirzapur Upazila Health Complex,2.0
IMCI Child Injury,"Kumarkhali Upazila Health Complex, Kushtia",587.0
IMCI Anemia (0 - 5 years),"Kaliganj SK Upazila Health Complex, Satkhira",232.0
IMCI Other Disease,Morrelganj Upazila Health Complex,2293.0
IMCI Cough & Cold no Pneumonia,Shibganj Bogra Upazila Health Complex,2628.0
IMCI Moderate Acute Malnutrition,Kashba Upazila Health Complex,177.0
IMCI Diarrhea,Araihazar Upazila Health Complex,2210.0
IMCI Complementary Feeding (6-23 months),Bancharampur Upazila Health Complex,1330.0
IMCI Exclusive breast feeding,Chilmari Upazila Health Complex,774.0
IMCI Female,Gouripur Upazila Health Complex,11488.0
IMCI Protein & energy malnutrition (PEM),Modhukhali Upazila Health Complex,851.0
IMCI Pneumonia,Debhata Upazila Health Complex,708.0
IMCI Wasting (0 - 5 years),"Dharmapasha Upazila Health Complex,Sunamganj",20.0
IMCI Child Injury,Muradnagar Upazila Health Complex,77.0
IMCI counselling,Hatiya Upazila Health Complex,1769.0
IMCI Very Severe Disease,Nikli Upazila Health Complex,332.0
IMCI Ear problem,"Dharmapasha Upazila Health Complex,Sunamganj",1343.0
IMCI Stunting (0 - 5 years),Hossainpur Upazila Health Complex,32.0
IMCI Drowning,"Dakhin Surma Upazila Health Complex,Sylhet",9.0
IMCI Fever-malaria,Dhamrai Upazila Health Complex,296.0
IMCI Diarrhea,Birol Upazila Health Complex,816.0
IMCI Male,Muladi Upazila Health Complex,2103.0
IMCI Referral1,Gazaria Upazila Health Complex,263.0
IMCI Exclusive breast feeding,Badarganj Upazila Health Complex,431.0
IMCI Exclusive breast feeding,Hathazari Upazila Health Complex,4990.0
IMCI counselling,Ranisankhail Upazila Health Complex,244.0
IMCI Diarrhea,Kalia Upazila Health Complex,1934.0
IMCI Underweight (0 - 5 years),Betagi Upazila Health Complex,419.0
IMCI Severe Acute Malnutrition,"Kumarkhali Upazila Health Complex, Kushtia",1.0
IMCI Facilitator Code,"Golabganj Upazila Health Complex,UHC",609960.0
IMCI Male,Rajoir Upazila Health Complex,4295.0
IMCI Male,Fulbari KG Upazila Health Complex,915.0
IMCI Fever-malaria,"Tahirpur Upazila Health Complex,Sunamganj",0.0
IMCI Fever-no malaria,Nazirpur Upazila Health Complex,698.0
IMCI Breast Feed within 1 hour of birth,Hatiya Upazila Health Complex,23.0
IMCI Facilitator Training Information,Chhagalnaya Upazila Health Complex,11.0
IMCI Ear problem,Chowhali Upazila Health Complex,290.0
IMCI Referral1,Saidpur Upazila Health Complex,10.0
IMCI Fever-malaria,Chitalmari Upazila Health Complex,0.0
IMCI Pneumonia,Mathbaria Upazila Health Complex,335.0
IMCI Fever-no malaria,Nikli Upazila Health Complex,3046.0
IMCI Very Severe Disease,Nazirpur Upazila Health Complex,19.0
IMCI Other Disease,Bagha Upazila Health Complex,625.0
IMCI Complementary Feeding (6-23 months),Palash Upazila Health Complex,695.0
IMCI Complementary Feeding (6-23 months),Shibganj Bogra Upazila Health Complex,1689.0
IMCI Diarrhea,Nesarabad Upazila Health Complex,1233.0
IMCI Measles,Manpura Upazila Health Complex,0.0
IMCI Stunting (0 - 5 years),Raipur Upazila Health Complex,226.0
IMCI Female,"Nabiganj Upazila Health Complex,Habiganj",5305.0
IMCI Pus draining from Umbilicus,Chowgacha Upazila Health Complex,7.0
IMCI Cough & Cold no Pneumonia,Itna Upazila Health Complex,7039.0
IMCI Child Injury,Chhagalnaya Upazila Health Complex,5.0
IMCI Measles,Kathalia Upazila Health Complex,0.0
IMCI Severe Acute Malnutrition,Raipura Upazila Health Complex,69.0
IMCI Underweight (0 - 5 years),Daudkandi Upazila Health Complex,36.0
IMCI Stunting (0 - 5 years),Goshairhat Upazila Health Complex,2.0
IMCI Protein & energy malnutrition (PEM),Kuliarchar Upazila Health Complex,40.0
IMCI Very Severe Disease,Dhupchachia Upazila Health Complex,301.0
IMCI Pus draining from Umbilicus,Kaliganj LH Upazila Health Complex,14.0
