Data,Organisation unit,Value
GZWzBoEhi1S,HS_27430120000,2104.0
f5G2bLJmbMP,HS_27421680000,1.0
EC4hrF3y7p9,10002051,661.0
JBhv2WOYxSf,10001648,890.0
RN4w5hxGHRk,HS_27421860000,19765.0
GZWzBoEhi1S,HS_27421690000,577.0
CRZkTTALRSb,10001648,9036.0
fBurIvCJP0D,HS_27430120000,124.0
p4sMIzLlIqk,HS_27421860000,10016.0
Vsj168YcM0W,HS_27421860000,7320.0
wwE5TRfBuhI,10002051,2856.0
PoAojyGYuBr,10002051,4535.0
nnLPr1FqABz,HS_27421690000,116.0
Vsj168YcM0W,HS_27422130000,6785.0
nyxjGxsZ3GY,HS_27421860000,454.0
EC4hrF3y7p9,HS_27430170000,4589.0
EfLoEHPMrUL,HS_27421690000,71.0
AhQ1Net8U5z,HS_27422150000,702.0
GyTha0DmXeY,HS_27422070000,2254.0
wwE5TRfBuhI,HS_27430170000,2664.0
QCGhrXxmJDb,HS_27430120000,4557.0
GyTha0DmXeY,HS_27422150000,2940.0
EAN5GjcGP6k,HS_27430120000,0.0
GZWzBoEhi1S,HS_27422130000,411.0
PVLH8nNufJv,HS_27430120000,2345.0
nyxjGxsZ3GY,HS_27430170000,768.0
RTJbhrOb0LB,HS_27421690000,2615.0
QCGhrXxmJDb,HS_27422130000,272.0
PoAojyGYuBr,HS_27430170000,1063.0
JBhv2WOYxSf,10002051,21.0
EAN5GjcGP6k,HS_27422130000,0.0
CRZkTTALRSb,10002051,18429.0
AhQ1Net8U5z,HS_27421680000,487.0
GyTha0DmXeY,HS_27421680000,8792.0
p4sMIzLlIqk,HS_27430170000,26037.0
NlEkfvUZ1TS,HS_27430120000,0.0
Fnsa8A43USl,HS_27422150000,12782.0
J4LMYIjzMDh,HS_27422150000,6891.0
QCGhrXxmJDb,HS_27421860000,78.0
RN4w5hxGHRk,HS_27430170000,19897.0
oPi0KdUUkmk,HS_27422150000,5360.0
PoAojyGYuBr,HS_27422070000,549.0
NlEkfvUZ1TS,HS_27421690000,0.0
p4sMIzLlIqk,HS_27422130000,31.0
GyTha0DmXeY,10001648,1181.0
EfLoEHPMrUL,HS_27422130000,121.0
CRZkTTALRSb,HS_27430170000,20077.0
nyxjGxsZ3GY,HS_27422130000,528.0
EC4hrF3y7p9,HS_27422070000,232.0
RN4w5hxGHRk,HS_27422130000,10937.0
CRZkTTALRSb,HS_27422150000,9996.0
fBurIvCJP0D,HS_27421860000,100.0
Fnsa8A43USl,HS_27430120000,18531.0
QCGhrXxmJDb,HS_27421690000,533.0
J4LMYIjzMDh,HS_27430120000,10460.0
CRZkTTALRSb,HS_27422070000,5095.0
LSNFSyDR2Ec,HS_27422130000,6305.0
J4LMYIjzMDh,HS_27421690000,418.0
RTJbhrOb0LB,HS_27430120000,4243.0
JBhv2WOYxSf,HS_27421680000,383.0
oPi0KdUUkmk,HS_27422070000,4170.0
RTJbhrOb0LB,HS_27421860000,1267.0
f5G2bLJmbMP,HS_27422150000,15.0
wwE5TRfBuhI,HS_27422070000,3016.0
Vsj168YcM0W,HS_27430170000,1278.0
EC4hrF3y7p9,HS_27421860000,138.0
nnLPr1FqABz,HS_27421860000,93.0
AhQ1Net8U5z,HS_27421690000,377.0
nyxjGxsZ3GY,HS_27430120000,793.0
EfLoEHPMrUL,HS_27421680000,12.0
GyTha0DmXeY,10002051,488.0
GYGcXE0XEzA,HS_27421680000,19.0
AhQ1Net8U5z,HS_27430120000,1209.0
LSNFSyDR2Ec,HS_27421680000,7179.0
J4LMYIjzMDh,HS_27422130000,27.0
NlEkfvUZ1TS,HS_27422130000,0.0
PoAojyGYuBr,HS_27421680000,1043.0
EC4hrF3y7p9,HS_27422150000,225.0
RTJbhrOb0LB,HS_27421680000,1531.0
RN4w5hxGHRk,10001648,13399.0
Fnsa8A43USl,HS_27422070000,5643.0
J4LMYIjzMDh,10001648,671.0
fBurIvCJP0D,HS_27422150000,113.0
JBhv2WOYxSf,HS_27421860000,84.0
Fnsa8A43USl,HS_27421690000,9297.0
PVLH8nNufJv,HS_27422130000,1395.0
NlEkfvUZ1TS,HS_27422150000,0.0
PVLH8nNufJv,HS_27421860000,301.0
oPi0KdUUkmk,HS_27421690000,938.0
SW4mM4SA65U,HS_27421680000,200.0
AhQ1Net8U5z,HS_27422070000,450.0
GYGcXE0XEzA,HS_27422150000,130.0
GZWzBoEhi1S,HS_27421860000,185.0
f5G2bLJmbMP,HS_27421690000,396.0
f5G2bLJmbMP,HS_27430170000,5.0
oPi0KdUUkmk,HS_27421680000,6124.0
EAN5GjcGP6k,HS_27421680000,0.0
LSNFSyDR2Ec,HS_27421690000,1278.0
SW4mM4SA65U,HS_27422150000,348.0
RN4w5hxGHRk,HS_27422070000,9913.0
RTJbhrOb0LB,HS_27430170000,5537.0
CRZkTTALRSb,HS_27421680000,6733.0
AhQ1Net8U5z,HS_27430170000,2277.0
wwE5TRfBuhI,HS_27421690000,2926.0
GZWzBoEhi1S,HS_27430170000,962.0
GyTha0DmXeY,HS_27430120000,5858.0
PVLH8nNufJv,10001648,548.0
Fnsa8A43USl,HS_27421680000,8313.0
nyxjGxsZ3GY,10002051,1561.0
JBhv2WOYxSf,HS_27430170000,252.0
NlEkfvUZ1TS,10001648,0.0
