Data,Organisation unit,Value
IMCI Anemia (0 - 5 years),"Bagerhat District Hospital, Bagerhat",2104.0
IMCI Drowning,"Thakurgaon District Hospital, Thakurgaon",1.0
IMCI Low Birth Weight,"Patuakhali District Hospital, Patuakhali",661.0
IMCI Wasting (0 - 5 years),Sirajganj General Hospital,890.0
IMCI counselling,"Narail District Hospital, Narail",19765.0
IMCI Anemia (0 - 5 years),"Panchagarh District Hospital, Panchagarh",577.0
IMCI Female,Sirajganj General Hospital,9036.0
IMCI Pus draining from Umbilicus,"Bagerhat District Hospital, Bagerhat",124.0
IMCI Other Disease,"Narail District Hospital, Narail",10016.0
IMCI Cough & Cold no Pneumonia,"Narail District Hospital, Narail",7320.0
IMCI Fever-no malaria,"Patuakhali District Hospital, Patuakhali",2856.0
IMCI Very Severe Disease,"Patuakhali District Hospital, Patuakhali",4535.0
IMCI Fever-malaria Unlikely,"Panchagarh District Hospital, Panchagarh",116.0
IMCI Cough & Cold no Pneumonia,"Sunamganj District Hospital, Sunamganj",6785.0
IMCI Ear problem,"Narail District Hospital, Narail",454.0
IMCI Low Birth Weight,"Jamalpur District Hospital, Jamalpur",4589.0
IMCI Severe Acute Malnutrition,"Panchagarh District Hospital, Panchagarh",71.0
IMCI Pneumonia,"M.Bazar District Hospital, M.Bazar",702.0
IMCI Breast Feed within 1 hour of birth,"Barguna District Hospital, Barguna",2254.0
IMCI Fever-no malaria,"Jamalpur District Hospital, Jamalpur",2664.0
IMCI Stunting (0 - 5 years),"Bagerhat District Hospital, Bagerhat",4557.0
IMCI Breast Feed within 1 hour of birth,"M.Bazar District Hospital, M.Bazar",2940.0
IMCI Measles,"Bagerhat District Hospital, Bagerhat",0.0
IMCI Anemia (0 - 5 years),"Sunamganj District Hospital, Sunamganj",411.0
IMCI Moderate Acute Malnutrition,"Bagerhat District Hospital, Bagerhat",2345.0
IMCI Ear problem,"Jamalpur District Hospital, Jamalpur",768.0
IMCI Diarrhea,"Panchagarh District Hospital, Panchagarh",2615.0
IMCI Stunting (0 - 5 years),"Sunamganj District Hospital, Sunamganj",272.0
IMCI Very Severe Disease,"Jamalpur District Hospital, Jamalpur",1063.0
IMCI Wasting (0 - 5 years),"Patuakhali District Hospital, Patuakhali",21.0
IMCI Measles,"Sunamganj District Hospital, Sunamganj",0.0
IMCI Female,"Patuakhali District Hospital, Patuakhali",18429.0
IMCI Pneumonia,"Thakurgaon District Hospital, Thakurgaon",487.0
IMCI Breast Feed within 1 hour of birth,"Thakurgaon District Hospital, Thakurgaon",8792.0
IMCI Other Disease,"Jamalpur District Hospital, Jamalpur",26037.0
IMCI Fever-malaria,"Bagerhat District Hospital, Bagerhat",0.0
IMCI Male,"M.Bazar District Hospital, M.Bazar",12782.0
IMCI Referral1,"M.Bazar District Hospital, M.Bazar",6891.0
IMCI Stunting (0 - 5 years),"Narail District Hospital, Narail",78.0
IMCI counselling,"Jamalpur District Hospital, Jamalpur",19897.0
IMCI Complementary Feeding (6-23 months),"M.Bazar District Hospital, M.Bazar",5360.0
IMCI Very Severe Disease,"Barguna District Hospital, Barguna",549.0
IMCI Fever-malaria,"Panchagarh District Hospital, Panchagarh",0.0
IMCI Other Disease,"Sunamganj District Hospital, Sunamganj",31.0
IMCI Breast Feed within 1 hour of birth,Sirajganj General Hospital,1181.0
IMCI Severe Acute Malnutrition,"Sunamganj District Hospital, Sunamganj",121.0
IMCI Female,"Jamalpur District Hospital, Jamalpur",20077.0
IMCI Ear problem,"Sunamganj District Hospital, Sunamganj",528.0
