Data,Organisation unit,Value
EfLoEHPMrUL,HS_27430030000,458.0
AhQ1Net8U5z,HS_27421530000,9841.0
RN4w5hxGHRk,HS_27421860000,30675.0
GZWzBoEhi1S,HS_27421690000,653.0
GZWzBoEhi1S,HS_27421920000,3668.0
fBurIvCJP0D,HS_27430180000,6.0
PoAojyGYuBr,HS_27421040000,209.0
Vsj168YcM0W,HS_27421590000,1123.0
RN4w5hxGHRk,10002233,7285.0
GYGcXE0XEzA,HS_27430040000,105.0
nyxjGxsZ3GY,HS_27421860000,436.0
p4sMIzLlIqk,HS_27430050000,19879.0
J4LMYIjzMDh,HS_27421120000,127.0
LSNFSyDR2Ec,HS_27430040000,1455.0
RTJbhrOb0LB,10002067,3582.0
PVLH8nNufJv,HS_27430120000,1867.0
EAN5GjcGP6k,10000105,164.0
wwE5TRfBuhI,HS_27421040000,4153.0
JBhv2WOYxSf,HS_27430080000,24.0
EfLoEHPMrUL,HS_27421550000,201.0
Vsj168YcM0W,10000427,15115.0
PVLH8nNufJv,10000427,364.0
AhQ1Net8U5z,HS_27430080000,7729.0
QCGhrXxmJDb,HS_27421860000,229.0
NlEkfvUZ1TS,10002067,0.0
CRZkTTALRSb,10001254,17784.0
fBurIvCJP0D,10000129,511.0
PoAojyGYuBr,HS_27422070000,592.0
NlEkfvUZ1TS,HS_27430190000,0.0
SW4mM4SA65U,10001254,88.0
GYGcXE0XEzA,HS_27421360000,125.0
nyxjGxsZ3GY,10002233,810.0
J4LMYIjzMDh,HS_27430120000,9088.0
CRZkTTALRSb,HS_27422070000,5655.0
LSNFSyDR2Ec,HS_27422130000,8725.0
EAN5GjcGP6k,HS_27421110000,130.0
fBurIvCJP0D,10001464,165.0
EC4hrF3y7p9,10000647,967.0
wwE5TRfBuhI,HS_27422070000,4486.0
EC4hrF3y7p9,HS_27421860000,275.0
EfLoEHPMrUL,10001254,241.0
GYGcXE0XEzA,HS_27421680000,328.0
RTJbhrOb0LB,HS_27421160000,4053.0
NlEkfvUZ1TS,10000105,0.0
LSNFSyDR2Ec,HS_27421680000,8978.0
EAN5GjcGP6k,10000922,0.0
Vsj168YcM0W,HS_27430150000,9683.0
GZWzBoEhi1S,HS_27421370000,93.0
NlEkfvUZ1TS,HS_27422150000,0.0
EAN5GjcGP6k,HS_27421880000,0.0
f5G2bLJmbMP,10000427,4.0
AhQ1Net8U5z,HS_27430220000,2069.0
nnLPr1FqABz,HS_27430050000,47.0
Fnsa8A43USl,HS_27430180000,9720.0
QCGhrXxmJDb,10002233,190.0
J4LMYIjzMDh,HS_27421030000,9336.0
NlEkfvUZ1TS,HS_27421110000,0.0
oPi0KdUUkmk,10000536,7020.0
Fnsa8A43USl,HS_27430020000,19500.0
RTJbhrOb0LB,HS_27430170000,6109.0
p4sMIzLlIqk,HS_27430080000,12125.0
Vsj168YcM0W,HS_27430210000,5679.0
oPi0KdUUkmk,HS_27430020000,10898.0
Fnsa8A43USl,10000536,11857.0
CRZkTTALRSb,HS_27430030000,10367.0
JBhv2WOYxSf,HS_27430050000,1.0
oPi0KdUUkmk,HS_27430180000,742.0
Vsj168YcM0W,HS_27430090000,13764.0
NlEkfvUZ1TS,10001317,0.0
fBurIvCJP0D,HS_27430010000,86.0
RTJbhrOb0LB,HS_27421880000,4587.0
p4sMIzLlIqk,HS_27430030000,9878.0
SW4mM4SA65U,HS_27421550000,4.0
JBhv2WOYxSf,HS_27430220000,5.0
fBurIvCJP0D,HS_27430110000,2.0
NlEkfvUZ1TS,HS_27421210000,0.0
p4sMIzLlIqk,HS_27421550000,1362.0
EfLoEHPMrUL,HS_27421040000,1.0
NlEkfvUZ1TS,10002002,0.0
f5G2bLJmbMP,HS_27421590000,34.0
EAN5GjcGP6k,10000425,0.0
Fnsa8A43USl,HS_27430010000,20935.0
CRZkTTALRSb,HS_27421550000,4292.0
JBhv2WOYxSf,HS_27421550000,1171.0
GYGcXE0XEzA,HS_27421040000,230.0
NlEkfvUZ1TS,HS_27430170000,0.0
oPi0KdUUkmk,HS_27430010000,5491.0
GyTha0DmXeY,HS_27421370000,1519.0
J4LMYIjzMDh,HS_27430150000,415.0
GyTha0DmXeY,HS_27421860000,2413.0
oPi0KdUUkmk,HS_27430150000,10174.0
Fnsa8A43USl,HS_27421380000,10211.0
LSNFSyDR2Ec,HS_27421190000,11477.0
EC4hrF3y7p9,HS_27421690000,658.0
fBurIvCJP0D,10001353,9.0
fBurIvCJP0D,10000452,165.0
EAN5GjcGP6k,10001648,2.0
PoAojyGYuBr,HS_27430030000,1034.0
Vsj168YcM0W,HS_27421120000,4149.0
oPi0KdUUkmk,HS_27430110000,6957.0
EAN5GjcGP6k,10001317,22.0
RTJbhrOb0LB,10001353,1461.0
GyTha0DmXeY,HS_27421920000,2130.0
EAN5GjcGP6k,HS_27422150000,199.0
CRZkTTALRSb,HS_27430050000,26479.0
J4LMYIjzMDh,10002051,22101.0
LSNFSyDR2Ec,HS_27421440000,8668.0
wwE5TRfBuhI,HS_27421360000,704.0
EAN5GjcGP6k,HS_27421160000,5.0
LSNFSyDR2Ec,HS_27430200000,5421.0
RTJbhrOb0LB,10000922,3304.0
GYGcXE0XEzA,HS_27430070000,2547.0
AhQ1Net8U5z,HS_27430050000,3273.0
EAN5GjcGP6k,HS_27430170000,35.0
EAN5GjcGP6k,HS_27421210000,0.0
fBurIvCJP0D,10002051,790.0
NlEkfvUZ1TS,10001464,12.0
fBurIvCJP0D,HS_27430150000,36.0
p4sMIzLlIqk,10001254,11776.0
AhQ1Net8U5z,HS_27421550000,3356.0
NlEkfvUZ1TS,10000922,1118.0
PVLH8nNufJv,HS_27430100000,3302.0
Fnsa8A43USl,HS_27430150000,11838.0
f5G2bLJmbMP,10002051,172.0
EC4hrF3y7p9,HS_27421370000,290.0
RTJbhrOb0LB,HS_27421110000,5395.0
wwE5TRfBuhI,HS_27430050000,4380.0
EAN5GjcGP6k,HS_27430010000,0.0
J4LMYIjzMDh,10000427,714.0
oPi0KdUUkmk,HS_27430120000,10874.0
Vsj168YcM0W,10002051,6008.0
EAN5GjcGP6k,10002002,29.0
LSNFSyDR2Ec,HS_27422070000,4381.0
p4sMIzLlIqk,HS_27430220000,46472.0
NlEkfvUZ1TS,HS_27430020000,247.0
Vsj168YcM0W,10000452,42256.0
QCGhrXxmJDb,10000647,6558.0
PoAojyGYuBr,10001254,1381.0
RTJbhrOb0LB,HS_27430190000,9502.0
p4sMIzLlIqk,HS_27422070000,3408.0
GZWzBoEhi1S,10000647,730.0
NlEkfvUZ1TS,HS_27421160000,508.0
oPi0KdUUkmk,HS_27421210000,5995.0
oPi0KdUUkmk,10001317,13862.0
PVLH8nNufJv,HS_27430210000,128.0
EAN5GjcGP6k,HS_27421410000,7.0
PVLH8nNufJv,HS_27421920000,286.0
CRZkTTALRSb,HS_27421040000,6518.0
RN4w5hxGHRk,10000647,18762.0
J4LMYIjzMDh,HS_27421590000,1846.0
GyTha0DmXeY,HS_27421690000,1049.0
Fnsa8A43USl,HS_27430110000,8009.0
PVLH8nNufJv,HS_27421690000,646.0
EC4hrF3y7p9,HS_27421920000,202.0
nyxjGxsZ3GY,10000647,750.0
PoAojyGYuBr,HS_27430040000,106.0
Fnsa8A43USl,HS_27421210000,24856.0
GZWzBoEhi1S,HS_27421030000,824.0
PoAojyGYuBr,HS_27430200000,1290.0
PVLH8nNufJv,HS_27430090000,716.0
oPi0KdUUkmk,HS_27421380000,8429.0
GYGcXE0XEzA,10001926,10.0
fBurIvCJP0D,HS_27421590000,182.0
f5G2bLJmbMP,10000452,5.0
NlEkfvUZ1TS,10000536,0.0
RTJbhrOb0LB,10000105,9360.0
PoAojyGYuBr,HS_27422130000,3904.0
Fnsa8A43USl,10001317,26093.0
RTJbhrOb0LB,HS_27430180000,1118.0
Vsj168YcM0W,10000536,8593.0
wwE5TRfBuhI,HS_27430220000,12703.0
EC4hrF3y7p9,HS_27430220000,99.0
EAN5GjcGP6k,10001001,33.0
QCGhrXxmJDb,HS_27421550000,963.0
PoAojyGYuBr,HS_27430220000,2196.0
RN4w5hxGHRk,HS_27430050000,44540.0
RN4w5hxGHRk,HS_27421370000,8631.0
fBurIvCJP0D,10000427,79.0
QCGhrXxmJDb,HS_27421920000,1165.0
Vsj168YcM0W,HS_27421370000,7053.0
SW4mM4SA65U,HS_27430040000,69.0
CRZkTTALRSb,HS_27430220000,44248.0
Fnsa8A43USl,HS_27422150000,13733.0
oPi0KdUUkmk,HS_27422150000,7931.0
GyTha0DmXeY,HS_27421120000,3372.0
NlEkfvUZ1TS,HS_27421410000,110.0
NlEkfvUZ1TS,HS_27430180000,0.0
EAN5GjcGP6k,HS_27430110000,17.0
CRZkTTALRSb,HS_27421360000,3221.0
EfLoEHPMrUL,HS_27430040000,18.0
Vsj168YcM0W,HS_27430110000,467.0
EAN5GjcGP6k,HS_27430070000,0.0
EC4hrF3y7p9,HS_27430080000,722.0
wwE5TRfBuhI,HS_27421190000,7480.0
nnLPr1FqABz,HS_27421360000,19.0
CRZkTTALRSb,HS_27421190000,34567.0
QCGhrXxmJDb,HS_27430030000,119.0
GyTha0DmXeY,HS_27430220000,8576.0
Fnsa8A43USl,10000425,25569.0
CRZkTTALRSb,HS_27421440000,4677.0
AhQ1Net8U5z,HS_27421920000,922.0
fBurIvCJP0D,HS_27421110000,125.0
PoAojyGYuBr,HS_27421680000,1291.0
PVLH8nNufJv,HS_27421370000,257.0
oPi0KdUUkmk,10000427,15472.0
nnLPr1FqABz,HS_27430200000,140.0
RTJbhrOb0LB,10000536,2833.0
JBhv2WOYxSf,10002233,376.0
RN4w5hxGHRk,HS_27430220000,1044.0
PVLH8nNufJv,HS_27430110000,51.0
Fnsa8A43USl,10000427,43075.0
wwE5TRfBuhI,10001001,5211.0
AhQ1Net8U5z,HS_27422070000,301.0
GZWzBoEhi1S,10002233,3081.0
J4LMYIjzMDh,10000452,177906.0
EC4hrF3y7p9,HS_27421530000,179.0
GZWzBoEhi1S,HS_27421860000,374.0
oPi0KdUUkmk,10000425,410.0
f5G2bLJmbMP,HS_27421690000,608.0
RTJbhrOb0LB,HS_27421910000,4820.0
NlEkfvUZ1TS,HS_27430070000,0.0
fBurIvCJP0D,10000105,289.0
EAN5GjcGP6k,HS_27430020000,42.0
PoAojyGYuBr,HS_27421440000,511.0
nyxjGxsZ3GY,HS_27430220000,1321.0
RTJbhrOb0LB,10001001,1584.0
GyTha0DmXeY,HS_27421530000,1789.0
RTJbhrOb0LB,HS_27421440000,1479.0
EAN5GjcGP6k,10001464,150.0
nyxjGxsZ3GY,HS_27430050000,529.0
nyxjGxsZ3GY,HS_27421370000,191.0
