Data,Organisation unit,Value
"# of Adolescents received treatment for RTI/STI","Bhola District Hospital, Bhola",2163.0
"# of Adolescents measured as an under-weight (Marital status)","Bhola District Hospital, Bhola",1379.0
"# of Adolescents received Counselling for the changes during puberty / Adolescents period","Khulna District Hospital, Khulna",1416.0
"# of Adolescents received Counselling for the changes during puberty / Adolescents period","Nilphamari District Hospital, Nilphamari",410.0
"# of Adolescent girls using sanitary napkin (Marital status)","Khulna District Hospital, Khulna",5238.0
"# of Adolescents who knows about legal age of marriage","Khulna District Hospital, Khulna",5302.0
"# of Adolescent girls using sanitary napkin (Marital status)","Nilphamari District Hospital, Nilphamari",153.0
"# of Adolescents received treatment for RTI/STI (Marital status)","Nilphamari District Hospital, Nilphamari",329.0
"# of Adolescent girls using sanitary napkin","Khulna District Hospital, Khulna",5203.0
"# of sexually active adolescents using contraceptive methods","Bhola District Hospital, Bhola",1989.0
"# of Adolescents measured as an under-weight (Marital status)","Nilphamari District Hospital, Nilphamari",122.0
"# of Adolescents received treatment for RTI/STI (Marital status)","Bhola District Hospital, Bhola",2191.0
"# of adolescents received services from facility (Marital status)","Bhola District Hospital, Bhola",4311.0
"# of Adolescent referred from Educational Institute","Bhola District Hospital, Bhola",174.0
"# of Adolescents received Iron & Folic acid (Marital status)","Khulna District Hospital, Khulna",5059.0
"# of adolescents received services from facility (Marital status)","Nilphamari District Hospital, Nilphamari",861.0
"# of Adolescents measured as an under-weight (Marital status)","Khulna District Hospital, Khulna",2777.0
"# of Adolescents received Counselling for RTI/STI (Marital status)","Khulna District Hospital, Khulna",2167.0
"# of adolescents received services from facility (Marital status)","Khulna District Hospital, Khulna",17008.0
"# of Adolescents received Counselling for RTI/STI","Khulna District Hospital, Khulna",1799.0
"# of Adolescents received treatment for RTI/STI","Nilphamari District Hospital, Nilphamari",292.0
"# of Adolescents received Counselling for RTI/STI","Nilphamari District Hospital, Nilphamari",624.0
"# of Adolescents measured as an under-weight","Bhola District Hospital, Bhola",1317.0
"# of Adolescents received Iron & Folic acid","Bhola District Hospital, Bhola",2909.0
"# of Adolescent referred from Adolescent clubs & others","Nilphamari District Hospital, Nilphamari",12.0
"# of adolescents received services from facility","Bhola District Hospital, Bhola",4287.0
"# of Adolescents who knows about legal age of marriage","Nilphamari District Hospital, Nilphamari",124.0
"# of adolescents received services from facility","Nilphamari District Hospital, Nilphamari",768.0
"# of Adolescents who knows about legal age of marriage","Bhola District Hospital, Bhola",3249.0
"# of Adolescent referred from Adolescent clubs & others","Bhola District Hospital, Bhola",493.0
"# of Adolescents received Counselling for RTI/STI","Bhola District Hospital, Bhola",429.0
"# of Adolescents received Counselling for RTI/STI (Marital status)","Bhola District Hospital, Bhola",434.0
"# of Adolescent referred from Educational Institute","Nilphamari District Hospital, Nilphamari",301.0
"# of Adolescents received Iron & Folic acid","Nilphamari District Hospital, Nilphamari",462.0
"# of Adolescents received Counselling for RTI/STI (Marital status)","Nilphamari District Hospital, Nilphamari",683.0
"# of Adolescents measured as an under-weight","Nilphamari District Hospital, Nilphamari",112.0
"# of adolescents received services from facility","Khulna District Hospital, Khulna",16026.0
"# of sexually active adolescents using contraceptive methods","Nilphamari District Hospital, Nilphamari",5.0
"# of Adolescents received Counselling for the changes during puberty / Adolescents period","Bhola District Hospital, Bhola",1318.0
"# of Adolescents received treatment for RTI/STI","Khulna District Hospital, Khulna",2091.0
"# of Adolescent girls using sanitary napkin (Marital status)","Bhola District Hospital, Bhola",945.0
"# of Adolescent girls using sanitary napkin","Nilphamari District Hospital, Nilphamari",153.0
"# of Adolescents received treatment for RTI/STI (Marital status)","Khulna District Hospital, Khulna",2591.0
"# of Adolescent girls using sanitary napkin","Bhola District Hospital, Bhola",948.0
"# of Adolescents received Iron & Folic acid (Marital status)","Nilphamari District Hospital, Nilphamari",453.0
"# of Adolescents measured as an under-weight","Khulna District Hospital, Khulna",2638.0
"# of Adolescents received Iron & Folic acid","Khulna District Hospital, Khulna",5044.0
"# of sexually active adolescents using contraceptive methods","Khulna District Hospital, Khulna",2610.0
"# of Adolescents received Iron & Folic acid (Marital status)","Bhola District Hospital, Bhola",2832.0
