Data,Organisation unit,Value
"# of adolescents received services from facility",Khulna District,87583.0
"# of Adolescent girls using sanitary napkin (Marital status)",Tangail District,280.0
"# of Adolescents received Counselling for the changes during puberty / Adolescents period",Tangail District,446.0
"# of Adolescent girls using sanitary napkin",Nilphamari District,3332.0
"# of Adolescents who knows about legal age of marriage",Nilphamari District,3299.0
"# of Adolescents received Counselling for RTI/STI (Marital status)",Jamalpur District,1631.0
"# of Adolescents measured as an under-weight (Marital status)",Tangail District,158.0
"# of Adolescents received treatment for RTI/STI",Tangail District,174.0
"# of Adolescents received Iron & Folic acid (Marital status)",Bhola District,4409.0
"# of Adolescent referred from Adolescent clubs & others",Bhola District,537.0
"# of Adolescents measured as an under-weight",Bhola District,2225.0
"# of adolescents received services from facility (Marital status)",Tangail District,1596.0
"# of sexually active adolescents using contraceptive methods",Tangail District,71.0
"# of Adolescents received Counselling for RTI/STI",Jamalpur District,1716.0
"# of Adolescents who knows about legal age of marriage",Jamalpur District,1316.0
"# of Adolescents received treatment for RTI/STI (Marital status)",Gazipur District,779.0
"# of Adolescent referred from Educational Institute",Khulna District,2902.0
"# of Adolescent girls using sanitary napkin",Tangail District,310.0
"# of Adolescents received Iron & Folic acid",Khulna District,42942.0
"# of Adolescent girls using sanitary napkin (Marital status)",Nilphamari District,2512.0
"# of Adolescents measured as an under-weight",Jamalpur District,242.0
"# of Adolescents received Counselling for the changes during puberty / Adolescents period",Nilphamari District,4860.0
"# of Adolescents received treatment for RTI/STI (Marital status)",Bhola District,2987.0
"# of Adolescents received treatment for RTI/STI (Marital status)",Jamalpur District,982.0
"# of Adolescent referred from Educational Institute",Nilphamari District,1050.0
"# of Adolescents received Counselling for the changes during puberty / Adolescents period",Jamalpur District,1192.0
"# of adolescents received services from facility (Marital status)",Nilphamari District,9558.0
"# of sexually active adolescents using contraceptive methods",Nilphamari District,284.0
"# of adolescents received services from facility (Marital status)",Khulna District,75805.0
"# of Adolescents received Iron & Folic acid",Nilphamari District,11987.0
"# of Adolescent referred from Adolescent clubs & others",Gazipur District,9.0
"# of Adolescents received treatment for RTI/STI",Nilphamari District,2396.0
"# of Adolescents received treatment for RTI/STI (Marital status)",Khulna District,18231.0
"# of Adolescents received Iron & Folic acid (Marital status)",Gazipur District,1700.0
"# of Adolescents measured as an under-weight",Nilphamari District,811.0
"# of Adolescents measured as an under-weight (Marital status)",Gazipur District,132.0
"# of Adolescents received Counselling for the changes during puberty / Adolescents period",Khulna District,35758.0
"# of adolescents received services from facility",Nilphamari District,13930.0
"# of Adolescents received Counselling for RTI/STI",Gazipur District,2062.0
"# of Adolescents received Counselling for RTI/STI (Marital status)",Nilphamari District,3997.0
"# of Adolescent girls using sanitary napkin",Jamalpur District,854.0
"# of adolescents received services from facility (Marital status)",Jamalpur District,4114.0
"# of Adolescents measured as an under-weight (Marital status)",Bhola District,1991.0
"# of Adolescent girls using sanitary napkin",Khulna District,47538.0
"# of Adolescents received Counselling for RTI/STI",Tangail District,403.0
"# of Adolescent referred from Adolescent clubs & others",Tangail District,9.0
"# of Adolescents received Counselling for RTI/STI",Bhola District,2102.0
"# of Adolescents received Counselling for RTI/STI (Marital status)",Khulna District,16409.0
"# of Adolescents who knows about legal age of marriage",Gazipur District,1564.0
"# of adolescents received services from facility",Jamalpur District,4242.0
"# of sexually active adolescents using contraceptive methods",Bhola District,2448.0
"# of Adolescents received Counselling for RTI/STI",Khulna District,26335.0
"# of adolescents received services from facility (Marital status)",Bhola District,9120.0
"# of Adolescent referred from Educational Institute",Bhola District,298.0
"# of Adolescents received treatment for RTI/STI (Marital status)",Tangail District,181.0
"# of Adolescents received Iron & Folic acid",Bhola District,4782.0
"# of Adolescent girls using sanitary napkin",Gazipur District,1273.0
"# of Adolescents received treatment for RTI/STI",Bhola District,3278.0
"# of Adolescents received treatment for RTI/STI (Marital status)",Nilphamari District,2103.0
"# of Adolescents received treatment for RTI/STI",Gazipur District,1249.0
"# of Adolescents received Iron & Folic acid (Marital status)",Nilphamari District,4311.0
"# of sexually active adolescents using contraceptive methods",Jamalpur District,114.0
"# of Adolescent referred from Educational Institute",Jamalpur District,444.0
"# of Adolescents measured as an under-weight",Khulna District,16550.0
"# of Adolescents received Iron & Folic acid (Marital status)",Tangail District,439.0
"# of sexually active adolescents using contraceptive methods",Gazipur District,163.0
"# of Adolescent girls using sanitary napkin (Marital status)",Gazipur District,769.0
"# of Adolescents received Counselling for the changes during puberty / Adolescents period",Gazipur District,1991.0
"# of Adolescents received Iron & Folic acid",Jamalpur District,2301.0
"# of Adolescents who knows about legal age of marriage",Khulna District,70656.0
"# of Adolescent girls using sanitary napkin (Marital status)",Bhola District,1514.0
"# of Adolescents received Counselling for the changes during puberty / Adolescents period",Bhola District,4332.0
"# of Adolescents received treatment for RTI/STI",Jamalpur District,1002.0
"# of Adolescents received Iron & Folic acid (Marital status)",Khulna District,39672.0
"# of Adolescent referred from Educational Institute",Gazipur District,71.0
"# of Adolescents measured as an under-weight (Marital status)",Khulna District,10894.0
"# of Adolescent referred from Adolescent clubs & others",Khulna District,901.0
"# of Adolescent girls using sanitary napkin",Bhola District,1494.0
"# of Adolescents received treatment for RTI/STI",Khulna District,18714.0
"# of Adolescents measured as an under-weight (Marital status)",Jamalpur District,258.0
"# of Adolescents received Iron & Folic acid (Marital status)",Jamalpur District,2121.0
"# of Adolescent referred from Adolescent clubs & others",Jamalpur District,78.0
"# of Adolescents received Iron & Folic acid",Gazipur District,2102.0
"# of Adolescents measured as an under-weight",Gazipur District,170.0
"# of Adolescents received Iron & Folic acid",Tangail District,503.0
"# of Adolescents received Counselling for RTI/STI (Marital status)",Tangail District,342.0
"# of Adolescent girls using sanitary napkin (Marital status)",Jamalpur District,734.0
"# of sexually active adolescents using contraceptive methods",Khulna District,6545.0
"# of Adolescents who knows about legal age of marriage",Bhola District,4777.0
"# of Adolescent referred from Educational Institute",Tangail District,17.0
"# of Adolescents measured as an under-weight",Tangail District,163.0
"# of Adolescent girls using sanitary napkin (Marital status)",Khulna District,34982.0
"# of Adolescents received Counselling for RTI/STI (Marital status)",Gazipur District,970.0
"# of adolescents received services from facility",Gazipur District,2848.0
"# of adolescents received services from facility",Bhola District,9697.0
"# of Adolescents measured as an under-weight (Marital status)",Nilphamari District,590.0
"# of Adolescent referred from Adolescent clubs & others",Nilphamari District,186.0
"# of Adolescents received Counselling for RTI/STI (Marital status)",Bhola District,1933.0
"# of adolescents received services from facility (Marital status)",Gazipur District,2789.0
"# of Adolescents who knows about legal age of marriage",Tangail District,380.0
"# of adolescents received services from facility",Tangail District,1555.0
"# of Adolescents received Counselling for RTI/STI",Nilphamari District,5181.0
