Data,Organisation unit,Value
i6QEYClHdq0,dNLjKwsVjod,20161.0
u9OhIVDEWsy,dNLjKwsVjod,102982.0
SfAMOtgRGMl,dNLjKwsVjod,37799.0
MHYV3eFwGZU,dNLjKwsVjod,26813.0
GrWwPolhzSH,dNLjKwsVjod,40791.0
EIYwrOwQp1b,dNLjKwsVjod,48579.0
MjZc6wdibMI,dNLjKwsVjod,9625.0
aCNUUnn9WRa,dNLjKwsVjod,64617.0
Nx1PwHixPdu,dNLjKwsVjod,119855.0
JAyhRsqgHlq,dNLjKwsVjod,25263.0
LJUDUzZRzM9,dNLjKwsVjod,4782.0
v772UnlCScj,dNLjKwsVjod,14023.0
gqhJ7uUEVvH,dNLjKwsVjod,25282.0
QBuqiBnunbj,dNLjKwsVjod,54801.0
WbJrqc7RiNR,dNLjKwsVjod,81992.0
vhYNM40e45e,dNLjKwsVjod,1720.0
tZJ5q911iIz,dNLjKwsVjod,52652.0
