Data,Organisation unit,Value
"# of Adolescents measured as an under-weight",Bangladesh,20161.0
"# of adolescents received services from facility (Marital status)",Bangladesh,102982.0
"# of Adolescents received Counselling for RTI/STI",Bangladesh,37799.0
"# of Adolescents received treatment for RTI/STI",Bangladesh,26813.0
"# of Adolescent girls using sanitary napkin (Marital status)",Bangladesh,40791.0
"# of Adolescents received Counselling for the changes during puberty / Adolescents period",Bangladesh,48579.0
"# of sexually active adolescents using contraceptive methods",Bangladesh,9625.0
"# of Adolescents received Iron & Folic acid",Bangladesh,64617.0
"# of adolescents received services from facility",Bangladesh,119855.0
"# of Adolescents received treatment for RTI/STI (Marital status)",Bangladesh,25263.0
"# of Adolescent referred from Educational Institute",Bangladesh,4782.0
"# of Adolescents measured as an under-weight (Marital status)",Bangladesh,14023.0
"# of Adolescents received Counselling for RTI/STI (Marital status)",Bangladesh,25282.0
"# of Adolescent girls using sanitary napkin",Bangladesh,54801.0
"# of Adolescents who knows about legal age of marriage",Bangladesh,81992.0
"# of Adolescent referred from Adolescent clubs & others",Bangladesh,1720.0
"# of Adolescents received Iron & Folic acid (Marital status)",Bangladesh,52652.0
