Data,Organisation unit,Value
W1PLGTdbLgB,dNLjKwsVjod,45.0
JVxL7kfHERM,dNLjKwsVjod,276.0
LxkL3DDPkWQ,dNLjKwsVjod,74.0
oQ6mhgi3zUA,dNLjKwsVjod,5386.0
XSILZrhb4Ha,dNLjKwsVjod,6066.0
fUMh5eXVP4M,dNLjKwsVjod,1460.0
ZOvd4lIV2YS,dNLjKwsVjod,269.0
jL0psEd7e4y,dNLjKwsVjod,1010.0
DsKLoeFOo5s,dNLjKwsVjod,219.0
eemtMsC2eIM,dNLjKwsVjod,33931.0
SZOl5tatteh,dNLjKwsVjod,8292.0
PQJuVOlDIgP,dNLjKwsVjod,2543.0
MFiuOXgcblM,dNLjKwsVjod,34426.0
GW6NR7b0Jn5,dNLjKwsVjod,352.0
TcLYWe9quMK,dNLjKwsVjod,6828.0
HRsGzjZ50Sy,dNLjKwsVjod,548.0
R14scGNyutk,dNLjKwsVjod,145.0
lVwvLd0GAP3,dNLjKwsVjod,6082.0
zpWJXw2iwMr,dNLjKwsVjod,78.0
HmhcJzqjjAy,dNLjKwsVjod,96.0
SRhGzNOw4HM,dNLjKwsVjod,4.0
fkLjLa1i5pa,dNLjKwsVjod,1822.0
xiBm1dF4cMz,dNLjKwsVjod,201.0
DDfQMknwALS,dNLjKwsVjod,47.0
MhJ01rtQdCr,dNLjKwsVjod,43.0
xkdyzgQ2Z0d,dNLjKwsVjod,406.0
reiXmfEmly3,dNLjKwsVjod,91.0
sJ74iV0Q4AA,dNLjKwsVjod,161.0
mXMEeRyNVvu,dNLjKwsVjod,664.0
PQiTIVSaMG3,dNLjKwsVjod,6469.0
que9GdwI0zB,dNLjKwsVjod,490.0
CMdnu5HPkNB,dNLjKwsVjod,562.0
J9jN4eRuv8d,dNLjKwsVjod,1976.0
zS6CEpgg3al,dNLjKwsVjod,45.0
DacIgCB0RAq,dNLjKwsVjod,166.0
NZlZ49U6SjN,dNLjKwsVjod,5212.0
fHemCItaWHF,dNLjKwsVjod,3948.0
ScXHMiqi29p,dNLjKwsVjod,164.0
WSSK1CdD3SW,dNLjKwsVjod,63.0
hZ6jBmRWMMG,dNLjKwsVjod,167.0
yjuOWGwYmqc,dNLjKwsVjod,6228.0
qrxQLBXC9Ry,dNLjKwsVjod,6466.0
W9514hLTG6D,dNLjKwsVjod,6611.0
fETzFyk0L4v,dNLjKwsVjod,466.0
wSSzPT37iM4,dNLjKwsVjod,6112.0
DluAR5bBgRS,dNLjKwsVjod,823.0
zfH93frNrj6,dNLjKwsVjod,166.0
aCSagugDtr8,dNLjKwsVjod,6222.0
kwH34qQEGNe,dNLjKwsVjod,132.0
cIgnSCyTsD4,dNLjKwsVjod,157.0
olXUCkZ7oUM,dNLjKwsVjod,1506.0
rRaxpV4NkJw,dNLjKwsVjod,5636.0
mCxbDcAGOgu,dNLjKwsVjod,7645.0
OhSA5dQh6mc,dNLjKwsVjod,109.0
mmVezK4CFhA,dNLjKwsVjod,7111.0
dqWONERQ49X,dNLjKwsVjod,20378.0
zK4EvnpVDUR,dNLjKwsVjod,2269.0
Z7Auvk7R12c,dNLjKwsVjod,1338.0
kpb5RtES4WQ,dNLjKwsVjod,1467.0
ef0DNqKwhSC,dNLjKwsVjod,1973.0
YwdIxr7PYd3,dNLjKwsVjod,4472.0
k3nn0MjnBYN,dNLjKwsVjod,21812.0
ysCpqG6s2Xt,dNLjKwsVjod,23.0
ew7rcDGbAJG,dNLjKwsVjod,1529.0
BFTYWO479aO,dNLjKwsVjod,12251.0
