Data,Organisation unit,Value
PQiTIVSaMG3,10001333,1758.0
fETzFyk0L4v,10001322,9.0
aCSagugDtr8,10001333,1747.0
TcLYWe9quMK,10001338,1069.0
fkLjLa1i5pa,10001338,731.0
WSSK1CdD3SW,10001333,12.0
xkdyzgQ2Z0d,10001333,32.0
LxkL3DDPkWQ,10001338,8.0
fHemCItaWHF,10001322,2.0
sJ74iV0Q4AA,10001333,45.0
eemtMsC2eIM,10001338,14182.0
NZlZ49U6SjN,10001322,55.0
mXMEeRyNVvu,10001333,61.0
k3nn0MjnBYN,10002235,748.0
aCSagugDtr8,10001338,1123.0
lVwvLd0GAP3,10001322,475.0
MFiuOXgcblM,10001322,7717.0
fkLjLa1i5pa,10001333,630.0
rRaxpV4NkJw,10001338,2810.0
oQ6mhgi3zUA,10001322,5.0
zK4EvnpVDUR,10001338,370.0
Z7Auvk7R12c,10001338,532.0
DsKLoeFOo5s,10002235,1.0
LxkL3DDPkWQ,10001333,19.0
DacIgCB0RAq,10001333,45.0
reiXmfEmly3,10001338,1.0
HmhcJzqjjAy,10001333,18.0
W1PLGTdbLgB,10002235,2.0
R14scGNyutk,10001333,3.0
OhSA5dQh6mc,10001333,20.0
MFiuOXgcblM,10001333,3893.0
XSILZrhb4Ha,10001322,469.0
lVwvLd0GAP3,10001333,1762.0
mmVezK4CFhA,10001322,515.0
Z7Auvk7R12c,10001333,462.0
ew7rcDGbAJG,10001333,477.0
kpb5RtES4WQ,10002235,5.0
oQ6mhgi3zUA,10001333,96.0
fETzFyk0L4v,10001338,62.0
reiXmfEmly3,10001333,17.0
ef0DNqKwhSC,10001322,209.0
W9514hLTG6D,10001322,578.0
HmhcJzqjjAy,10001338,23.0
sJ74iV0Q4AA,10001338,6.0
TcLYWe9quMK,10001333,1753.0
YwdIxr7PYd3,10002235,1407.0
MFiuOXgcblM,10001338,12480.0
DluAR5bBgRS,10001322,226.0
jL0psEd7e4y,10002235,3.0
lVwvLd0GAP3,10001338,1078.0
ZOvd4lIV2YS,10001322,1.0
R14scGNyutk,10001338,1.0
rRaxpV4NkJw,10001322,57.0
PQJuVOlDIgP,10001333,541.0
WSSK1CdD3SW,10001338,24.0
