Data,Organisation unit,Value
MBFFI|Number of newborns dried immediately after birth,"Kurigram District Hospital, Kurigram",1145.0
MBFFI|# pregnant women who are poor and received financial support/free services,"Kurigram District Hospital, Kurigram",30.0
MBFFI|# pregnant women received 10 units of oxytocin within 1 min of all deliveries,"Kurigram District Hospital, Kurigram",1351.0
MBFFI|Number of neonatal deaths (inborns),"Kurigram District Hospital, Kurigram",30.0
MBFFI|# postpartum mothers received 1st PNC,"Kurigram District Hospital, Kurigram",1725.0
"MBFFI|# of pregnant women had minimal investigations (blood group and rh typing, urine sugar/ urine albumin, Hb, USG) during ANC","Kurigram District Hospital, Kurigram",3590.0
MBFFI|Number of LBW given KMC,"Kurigram District Hospital, Kurigram",25.0
MBFFI|# postpartum mothers received counseling including BF  afetr delivery/before discharge,"Kurigram District Hospital, Kurigram",1594.0
MBFFI|# postpartum newborns received 1st PNC,"Kurigram District Hospital, Kurigram",1350.0
MBFFI|Total inborn newborn sepsis cases in facility (inborn and outborn),"Kurigram District Hospital, Kurigram",728.0
MBFFI|# pregnant women received TT during ANC,"Kurigram District Hospital, Kurigram",3425.0
MBFFI|# pregnant women with  puerperal sepsis with triple  antibiotics,"Kurigram District Hospital, Kurigram",75.0
MBFFI|Number of  full term  babies born in facility,"Kurigram District Hospital, Kurigram",1187.0
MBFFI|Number of pregnant women with delivery or obstructed complication refered out,"Kurigram District Hospital, Kurigram",58.0
MBFFI|# delivered newborns for which weight was measured,"Kurigram District Hospital, Kurigram",1232.0
MBFFI|# pregnant women counseled for newborn care including   breastfeeding,"Kurigram District Hospital, Kurigram",2506.0
MBFFI|# postpartum newborns  received 2nd PNC,"Kurigram District Hospital, Kurigram",574.0
MBFFI|# pregnant women with prolongd labour managed as per guideline,"Kurigram District Hospital, Kurigram",71.0
MBFFI|Number of  pre term  babies born in facility,"Kurigram District Hospital, Kurigram",93.0
MBFFI|Number of sick newborns (inborn and outborn)managed in NSU/SCANU,"Kurigram District Hospital, Kurigram",2977.0
