Data,Organisation unit,Value
EPI026,5070,69710.0
EPI009,2046,30088.0
WMO4fDbBBsN,6091,96374.0
foSKZmdiKvO,3072,926.0
EPI013,3029,39678.0
EPI030,5594,55794.0
EPI005,3093,13194.0
EPI007,3072,46481.0
EPI051,1079,36278.0
EPI015,2013,24579.0
EPI028,5070,2508.0
EPI015,4087,16546.0
EPI046,3054,0.0
EPI025,5088,137837.0
EPI045,5527,0.0
EPI048,2012,1.0
EPI001,5070,15095.0
EPI030,1004,39016.0
EPI016,3048,4.0
EPI029,2012,168578.0
EPI009,2084,23547.0
EPI031,1079,45116.0
EPI007,6058,40573.0
EPI008,5577,22861.0
WMO4fDbBBsN,4065,15345.0
EPI051,5069,44791.0
EPI002,3093,10510.0
GoIHz80UERt,5069,37078.0
EPI046,4055,0.0
EPI045,2075,0.0
EPI029,5081,132755.0
EPI004,5577,2972.0
OS8FHo7DST0,1079,47455.0
EPI025,3033,210236.0
EPI042,5069,0.0
EPI031,5069,58041.0
EPI025,3056,52796.0
WMO4fDbBBsN,3061,137107.0
foSKZmdiKvO,6058,1.0
EPI018,5532,112335.0
aO26dRReDw1,1004,105.0
EPI045,2019,4299.0
EPI014,1042,12945.0
EPI029,2084,26959.0
EPI016,3067,40.0
izqdLEayxtk,5552,31456.0
EPI014,4055,20094.0
aO26dRReDw1,5594,93.0
EPI045,3086,0.0
EPI009,5081,68430.0
OS8FHo7DST0,5038,31635.0
EPI046,1042,2045.0
EPI042,1079,126.0
y18L7Mx36gU,3068,1566.0
EPI048,6036,1.0
EPI007,1078,35691.0
WMO4fDbBBsN,3093,78405.0
EPI013,2015,126171.0
EPI005,6091,9086.0
EPI003,4041,21268.0
RYtOwMY20z9,2013,67414.0
EPI048,2084,172.0
EPI029,2046,29938.0
EPI029,6036,111964.0
HDzRDBWv2O5,3067,73731.0
EPI048,2046,0.0
CVWtvuChnN4,4065,15050.0
EPI031,3039,87072.0
HCGy8hSQrrn,5577,24776.0
EPI013,3026,97043.0
EPI051,3039,74133.0
EPI025,2019,332665.0
GoIHz80UERt,5532,58769.0
EPI008,3059,36298.0
EPI016,2015,407.0
aO26dRReDw1,3093,585.0
EPI042,3039,0.0
EPI016,2003,2791.0
EPI007,5532,59955.0
izqdLEayxtk,1006,64716.0
WMO4fDbBBsN,5549,62035.0
GoIHz80UERt,3039,57436.0
EPI014,4044,31218.0
EPI005,3061,44982.0
EPI002,1004,9235.0
HDzRDBWv2O5,2012,88645.0
EPI028,1078,11498.0
EPI042,5532,0.0
EPI047,2084,170.0
RYtOwMY20z9,3056,34764.0
EPI003,1009,16916.0
EPI009,2012,104077.0
HDzRDBWv2O5,3048,96491.0
EPI018,3035,32627.0
EPI011,5577,22156.0
EPI018,3072,102954.0
GoIHz80UERt,1079,25464.0
EPI004,3059,3412.0
EPI047,2030,0.0
EPI006,3026,106720.0
EPI045,4057,0.0
EPI008,5585,80097.0
EPI015,1042,3590.0
EPI015,2051,15125.0
qMZseedjTs2,4047,1.0
HDzRDBWv2O5,2084,16091.0
Pyz7rlAmMZ4,1004,21241.0
EPI011,3059,27794.0
sheiuFeL5re,6058,3.0
izqdLEayxtk,4041,59084.0
EPI009,6036,55464.0
EPI016,3026,3082.0
EPI045,4050,21.0
EPI016,2022,2464.0
RYtOwMY20z9,4055,21792.0
EPI015,3033,7782.0
HDzRDBWv2O5,2022,70912.0
