Data,Organisation unit,Value
EPI042,306864,0.0
EPI025,309347,20592.0
EPI013,201909,10399.0
EPI042,100409,0.0
EPI002,201981,10909.0
HCGy8hSQrrn,553224,8577.0
EPI015,308967,1414.0
EPI011,400108,6198.0
EPI015,405760,1015.0
CVWtvuChnN4,100428,5023.0
izqdLEayxtk,506963,7368.0
CVWtvuChnN4,100632,4206.0
EPI004,309325,411.0
CVWtvuChnN4,201981,20441.0
Pyz7rlAmMZ4,506485,3857.0
EPI030,605835,7338.0
EPI004,201974,1879.0
EPI045,605865,0.0
EPI002,100428,1548.0
Pyz7rlAmMZ4,304845,9145.0
EPI002,100632,665.0
EPI014,302910,7489.0
EPI042,302918,0.0
EPI004,107852,1202.0
EPI042,554961,0.0
HDzRDBWv2O5,609092,7126.0
EPI031,503858,5554.0
EPI030,303591,6726.0
EPI008,309325,5832.0
EPI031,554906,10686.0
EPI008,201974,10030.0
EPI047,404717,0.0
izqdLEayxtk,208475,1105.0
EPI014,305454,8280.0
EPI001,107855,820.0
EPI009,303929,12166.0
EPI047,306876,0.0
EPI005,201518,2848.0
nNTNsd237Zf,507018,1984.0
EPI026,201574,10057.0
HDzRDBWv2O5,201345,9171.0
HDzRDBWv2O5,207587,15807.0
EPI051,302918,10729.0
EPI007,308636,3766.0
EPI051,554961,8092.0
EPI047,305682,0.0
nNTNsd237Zf,107895,4682.0
qMZseedjTs2,201322,1.0
EPI029,303929,17863.0
EPI002,506991,2000.0
EPI008,303961,8765.0
EPI018,400114,5920.0
EPI015,553221,748.0
EPI031,207510,16298.0
EPI009,207547,4164.0
EPI010,609023,13198.0
EPI011,201553,15548.0
EPI028,201574,649.0
EPI004,508878,2733.0
GoIHz80UERt,405747,6523.0
EPI026,400173,5563.0
EPI002,507683,2528.0
EPI043,201233,0.0
EPI047,552743,0.0
cqtZ9bBPXyp,557734,499.0
EPI048,609120,249.0
EPI006,207507,14578.0
EPI026,205143,37696.0
EPI051,306864,27122.0
EPI051,100409,13487.0
EPI005,303915,3039.0
EPI010,308669,4553.0
EPI048,100607,0.0
HCGy8hSQrrn,609023,13806.0
EPI008,201358,11776.0
EPI031,559486,10783.0
EPI018,508131,5895.0
EPI029,305984,12950.0
HDzRDBWv2O5,558527,6229.0
WMO4fDbBBsN,557385,3283.0
EPI048,308990,0.0
EPI048,408790,0.0
aO26dRReDw1,554908,0.0
EPI008,305974,7577.0
EPI042,507605,0.0
EPI042,304827,0.0
EPI014,305480,6872.0
GoIHz80UERt,309376,7274.0
EPI028,306768,9809.0
EPI004,303961,763.0
EPI007,404764,273.0
EPI026,306768,23206.0
EPI029,207547,11023.0
EPI048,302662,0.0
GoIHz80UERt,202245,3880.0
WMO4fDbBBsN,557336,8629.0
EPI018,401823,8779.0
EPI031,400177,5051.0
EPI025,404161,14755.0
HDzRDBWv2O5,609108,8312.0
HCGy8hSQrrn,308669,4870.0
EPI009,305984,7269.0
WMO4fDbBBsN,555202,5425.0
izqdLEayxtk,557734,5969.0
EPI048,201294,898.0
EPI045,305440,0.0
EPI010,303543,46888.0
EPI008,307256,5224.0
EPI004,305974,613.0
CVWtvuChnN4,303334,6688.0
EPI043,507672,43.0
WMO4fDbBBsN,308229,2781.0
aO26dRReDw1,201512,10.0
CVWtvuChnN4,506991,8222.0
EPI010,553224,9425.0
EPI029,558576,16569.0
EPI008,107852,4579.0
EPI008,508878,15679.0
EPI001,303936,1112.0
EPI006,201909,9104.0
EPI007,204661,1886.0
EPI018,603626,15090.0
EPI051,308665,43578.0
OS8FHo7DST0,201547,17405.0
EPI051,307283,16055.0
EPI028,501033,1246.0
EPI028,400173,0.0
EPI043,305610,0.0
OS8FHo7DST0,100602,6144.0
izqdLEayxtk,304876,4484.0
EPI001,303543,1625.0
EPI011,405566,10611.0
WMO4fDbBBsN,201570,10747.0
HCGy8hSQrrn,506428,3511.0
EPI006,200351,4088.0
EPI002,609032,2190.0
EPI007,501067,3468.0
nNTNsd237Zf,400138,1873.0
EPI013,207507,10374.0
EPI025,506475,10066.0
EPI016,304833,0.0
EPI042,308665,0.0
EPI029,557790,7013.0
HDzRDBWv2O5,506941,5306.0
EPI004,201358,2606.0
EPI047,107866,0.0
EPI018,204649,3328.0
EPI051,304827,5627.0
cqtZ9bBPXyp,104273,449.0
EPI042,307283,0.0
HCGy8hSQrrn,201931,15120.0
EPI010,303936,14151.0
EPI001,557364,1123.0
EPI005,304845,1477.0
EPI030,308229,5717.0
EPI031,554952,9227.0
GoIHz80UERt,603611,12815.0
EPI013,304833,5184.0
EPI025,201936,25773.0
EPI008,100447,5160.0
HCGy8hSQrrn,104243,2713.0
CVWtvuChnN4,305994,4553.0
EPI012,306807,4704.0
izqdLEayxtk,104273,4559.0
Pyz7rlAmMZ4,553230,10565.0
GoIHz80UERt,508172,7221.0
EPI028,406552,85.0
EPI029,205133,14119.0
EPI046,107838,0.0
EPI006,303591,2434.0
CVWtvuChnN4,100965,3198.0
EPI043,204667,0.0
EPI029,404109,8342.0
EPI012,553221,4353.0
EPI026,406552,9976.0
EPI001,200314,244.0
EPI016,207507,2294.0
EPI002,554977,806.0
EPI048,609127,0.0
EPI009,557790,2541.0
EPI014,302921,2027.0
EPI003,306864,1867.0
aO26dRReDw1,557315,0.0
EPI007,204665,1809.0
cqtZ9bBPXyp,507066,655.0
EPI013,201918,5540.0
OS8FHo7DST0,555270,11880.0
EPI031,208421,2302.0
EPI042,200314,0.0
EPI025,552730,12970.0
EPI009,558576,11822.0
nNTNsd237Zf,100921,2413.0
Pyz7rlAmMZ4,508827,6155.0
EPI051,200314,2527.0
EPI030,557336,16229.0
aO26dRReDw1,552738,35.0
EPI011,100651,6634.0
EPI001,609023,4066.0
EPI002,207585,5511.0
EPI026,306852,16279.0
EPI051,507605,8184.0
EPI016,201909,1886.0
EPI026,553267,11513.0
EPI004,553230,1512.0
EPI045,506479,0.0
EPI016,201533,0.0
EPI001,306863,1007.0
EPI045,404471,440.0
EPI010,555239,11295.0
EPI031,309395,15553.0
EPI006,308229,2457.0
EPI025,208478,1351.0
EPI043,558592,0.0
EPI031,404433,9182.0
EPI047,201322,1.0
EPI030,201909,25979.0
y18L7Mx36gU,605874,545.0
EPI046,503861,0.0
EPI029,609086,7832.0
HDzRDBWv2O5,306165,10237.0
EPI030,202216,28335.0
OS8FHo7DST0,506486,7116.0
EPI005,508827,744.0
EPI002,508134,1174.0
EPI025,309328,16603.0
EPI001,558558,4395.0
EPI012,603671,6913.0
EPI031,508125,35499.0
EPI014,506403,4430.0
EPI045,201263,0.0
EPI008,305628,3581.0
EPI043,408725,0.0
EPI025,201582,19555.0
EPI006,408782,6561.0
EPI007,201347,3487.0
HDzRDBWv2O5,552756,4180.0
EPI004,552747,137.0
aO26dRReDw1,201537,25.0
nNTNsd237Zf,404147,10421.0
EPI005,552747,222.0
EPI012,104240,3120.0
EPI012,405760,2596.0
EPI028,30-26-72,12011.0
EPI026,501033,6976.0
EPI011,204667,3708.0
EPI048,603677,0.0
EPI046,207547,229.0
EPI047,507037,0.0
OS8FHo7DST0,204665,3007.0
EPI045,304806,0.0
HDzRDBWv2O5,207521,10226.0
EPI016,306122,0.0
Pyz7rlAmMZ4,201518,7674.0
EPI016,609033,0.0
EPI001,555239,2260.0
EPI015,202266,480.0
EPI006,201918,10139.0
EPI007,501094,7435.0
izqdLEayxtk,507066,10623.0
EPI026,304811,11258.0
Pyz7rlAmMZ4,303336,8400.0
HDzRDBWv2O5,508112,6617.0
EPI048,306152,0.0
EPI015,306807,759.0
EPI001,308669,179.0
EPI013,200351,3530.0
Pyz7rlAmMZ4,552747,2279.0
EPI042,107855,10.0
GoIHz80UERt,507672,10534.0
OS8FHo7DST0,208436,3117.0
HCGy8hSQrrn,303936,14588.0
EPI045,307240,0.0
EPI003,304827,749.0
RYtOwMY20z9,202256,6145.0
EPI029,552760,8810.0
EPI028,205143,5599.0
OS8FHo7DST0,559482,12288.0
EPI011,100669,5984.0
EPI003,308665,338.0
aO26dRReDw1,305670,23.0
EPI004,201518,1751.0
CVWtvuChnN4,609032,6954.0
cqtZ9bBPXyp,501006,571.0
EPI005,553230,1710.0
Pyz7rlAmMZ4,508878,14354.0
EPI003,307283,1176.0
EPI013,553291,9119.0
GoIHz80UERt,308247,3934.0
EPI045,609117,0.0
WMO4fDbBBsN,202216,14471.0
EPI009,405094,8239.0
WMO4fDbBBsN,605835,7066.0
CVWtvuChnN4,401807,6069.0
EPI045,501085,0.0
EPI003,302918,1141.0
EPI005,303336,1801.0
EPI009,508850,12250.0
Pyz7rlAmMZ4,304859,4150.0
EPI005,304859,842.0
EPI011,558592,4017.0
EPI025,309357,9928.0
EPI046,303929,0.0
EPI018,553288,16168.0
GoIHz80UERt,400158,3384.0
EPI007,404794,747.0
EPI009,107838,15122.0
EPI028,201927,99.0
EPI005,508878,4639.0
EPI016,307209,0.0
nNTNsd237Zf,205158,6499.0
nNTNsd237Zf,609092,4758.0
EPI051,107855,3516.0
EPI013,202216,10526.0
EPI001,302918,1389.0
WMO4fDbBBsN,609141,14188.0
EPI010,557315,7808.0
HCGy8hSQrrn,555239,6647.0
EPI025,309395,15251.0
Pyz7rlAmMZ4,107852,3701.0
EPI009,404480,11581.0
WMO4fDbBBsN,207507,18606.0
EPI013,306122,9469.0
EPI043,405566,0.0
EPI046,305440,0.0
RYtOwMY20z9,107866,6986.0
EPI015,104240,1160.0
cqtZ9bBPXyp,304811,773.0
EPI016,554909,89.0
EPI012,201933,3803.0
EPI048,401831,0.0
EPI029,201940,33529.0
Pyz7rlAmMZ4,201974,8142.0
aO26dRReDw1,508867,38.0
EPI008,203029,7138.0
EPI048,552712,0.0
EPI013,557385,2880.0
EPI010,107876,5002.0
EPI008,507616,7099.0
EPI029,107857,18771.0
aO26dRReDw1,201290,124.0
EPI004,201379,731.0
CVWtvuChnN4,107980,3446.0
HDzRDBWv2O5,302921,2080.0
EPI013,609033,5184.0
EPI048,501040,0.0
EPI014,30-72-18,6167.0
izqdLEayxtk,501006,4193.0
HCGy8hSQrrn,201537,15040.0
EPI004,304845,925.0
EPI030,605874,11816.0
EPI001,554961,3514.0
EPI013,303591,1896.0
EPI001,553224,2147.0
HDzRDBWv2O5,404138,5926.0
EPI006,201570,11640.0
EPI008,304849,9474.0
EPI029,503861,4539.0
EPI028,304811,361.0
EPI001,201349,1830.0
EPI018,100991,8137.0
EPI006,303551,4215.0
EPI005,554979,2804.0
cqtZ9bBPXyp,507619,898.0
EPI030,555202,10567.0
EPI003,557364,973.0
EPI005,309325,575.0
EPI016,306172,0.0
OS8FHo7DST0,204661,1847.0
EPI007,408786,6111.0
EPI015,400134,1977.0
CVWtvuChnN4,506915,5733.0
cqtZ9bBPXyp,506944,2629.0
EPI012,557725,5144.0
EPI030,609047,11562.0
EPI007,100602,3341.0
