Data,Organisation unit,Value
Penta 2 given (0-11m),Chapai Nababganj District,83754.0
TT4 dose (15-49y women),Khagrachhari District,44282.0
Fully Immunized Child,Sylhet District,192279.0
PCV2 given 12-23m,Netrokona District,926.0
EPI Session Held,Faridpur District,49859.0
OPV 2 given (0-11m),Thakurgaon District,63129.0
TT5 dose pregnant women,Tangail District,15737.0
PCV1 given 12-23m,Nilphamari District,231.0
TT2 dose (15-49y women),Netrokona District,62516.0
EPI Birth Registration done,Pirojpur District,43243.0
EPI FWA,Chandpur District,28175.0
OPV 0 given (0-11m),Chapai Nababganj District,2156.0
EPI FWA,Satkhira District,18862.0
Penta 3 given 12-23m,Kishoreganj District,204.0
OPV 2 given (12-23m),Madaripur District,0.0
Penta 1 given (0-11m),Sirajganj District,167477.0
OPV 1 given (12-23m),Dinajpur District,0.0
OPV 4 given (12-23m),Brahmanbaria District,9.0
TT1 dose pregnant women,Chapai Nababganj District,5832.0
OPV 2 given (0-11m),Barguna District,42824.0
EPI Gavi_Vol,Kishoreganj District,1133.0
OPV 1 given (0-11),Brahmanbaria District,184273.0
TT4 dose (15-49y women),Rangamati District,27972.0
OPV 3 given (0-11m),Pirojpur District,51055.0
TT2 dose (15-49y women),Maulavi Bazar District,45190.0
TT3 dose (15-49y women),Panchagarh District,28729.0
Fully Immunized Child,Narail District,30160.0
EPI Birth Registration done,Natore District,61457.0
TT2 dose pregnant women,Tangail District,12907.0
MR given 0-11m,Natore District,73595.0
OPV 2 given (12-23m),Magura District,0.0
OPV 1 given (12-23m),Noakhali District,9.0
OPV 1 given (0-11),Rajshahi District,107961.0
TT4 dose pregnant women,Panchagarh District,3427.0
EPI Infant Monthly Target,Pirojpur District,50843.0
Penta 1 given (0-11m),Gazipur District,202537.0
Penta 1 given (12-23m),Natore District,0.0
OPV 3 given (0-11m),Natore District,71702.0
Penta 1 given (0-11m),Manikganj District,69950.0
Fully Immunized Child,Mymensingh District,272445.0
PCV2 given 12-23m,Maulavi Bazar District,1.0
BCG given (0-11m),Gaibandha District,119425.0
EPI U1 Death,Barguna District,105.0
OPV 1 given (12-23m),Cumilla District,0.0
EPI HA,Jhalokati District,22302.0
IPV given 0-11m,Jashore District,414.0
OPV 1 given (0-11),Rangamati District,28851.0
EPI Gavi_Vol,Narayanganj District,120.0
PCV1 given 0-11m,Lalmonirhat District,62512.0
EPI HA,Magura District,21489.0
EPI U1 Death,Thakurgaon District,93.0
OPV 1 given (12-23m),Shariatpur District,0.0
TT4 dose (15-49y women),Rajshahi District,88022.0
EPI Infant Monthly Target,Joypurhat District,34289.0
OPV 2 given (12-23m),Jhalokati District,0.0
Penta 1 given (12-23m),Pirojpur District,126.0
PCV1 given 12-23m,Narshingdi District,1566.0
OPV 4 given (12-23m),Habiganj District,0.0
TT2 dose (15-49y women),Patuakhali District,21089.0
Fully Immunized Child,Tangail District,153790.0
EPI Session Held,Chattogram District,164311.0
TT5 dose pregnant women,Sylhet District,12095.0
TT3 dose pregnant women,Jashore District,26402.0
IPV given 0-11m,Dinajpur District,1316.0
PCV2 given 0-11m,Chandpur District,135015.0
PCV1 given 12-23m,Kurigram District,928.0
OPV 4 given (12-23m),Rangamati District,172.0
OPV 1 given (0-11),Khagrachhari District,36441.0
OPV 1 given (0-11),Habiganj District,121279.0
fIPV1 given (0-11m),Narayanganj District,93926.0
OPV 4 given (12-23m),Khagrachhari District,0.0
MR given 15-18m,Narail District,23545.0
OPV 3 given (0-11m),Jamalpur District,112699.0
IPV given 12-23m,Gazipur District,528.0
PCV3 given 0-11m,Panchagarh District,50365.0
EPI Session Held,Dhaka District,166944.0
EPI Birth Registration done,Jamalpur District,100360.0
Penta 1 given (0-11m),Cumilla District,364739.0
MR given 0-11m,Gaibandha District,116921.0
IPV given 0-11m,Shariatpur District,417.0
TT3 dose (15-49y women),Munshiganj District,39319.0
EPI Gavi_Vol,Chattogram District,518.0
EPI U1 Death,Tangail District,585.0
Penta 1 given (12-23m),Jamalpur District,3.0
EPI Gavi_Vol,Bandarban District,4719.0
TT2 dose (15-49y women),Gaibandha District,65622.0
PCV1 given 0-11m,Barishal District,128423.0
Fully Immunized Child,Kurigram District,119702.0
MR given 0-11m,Jamalpur District,114385.0
EPI HA,Jhenaidaha District,35446.0
TT5 dose pregnant women,Mymensingh District,36175.0
TT2 dose pregnant women,Barguna District,9393.0
fIPV1 given (0-11m),Brahmanbaria District,117438.0
IPV given 0-11m,Sunamganj District,21085.0
OPV 0 given (0-11m),Patuakhali District,7247.0
Penta 1 given (12-23m),Gaibandha District,0.0
OPV 3 given (12-23m),Rangamati District,170.0
PCV2 given 0-11m,Manikganj District,72385.0
TT3 dose pregnant women,Bhola District,16933.0
TT4 dose (15-49y women),Brahmanbaria District,113907.0
fIPV1 given (0-11m),Kishoreganj District,115542.0
BCG given (0-11m),Gopalganj District,58928.0
EPI Women Given Vitamin A Dose,Panchagarh District,18728.0
BCG given (0-11m),Netrokona District,127970.0
