Data,Organisation unit,Value
ViTJ0SouxHk,4047,0.0
KrtijNiVXQd,5064,87847.0
upazilla_epi_Safety Box_d,4044,0.0
lzDaUMzu2sB,3072,27.0
uv5CVs53ise,3089,21981.0
tJmmzGcJpAJ,5081,1585.0
mkS9tKtFJwg,2013,843045.0
hveFMwiLEd6,3033,16.0
Ya0KM6n2lnV,3093,118701.0
SxNM9MR02Fq,5076,581.0
ildWGF3ceBO,3054,14927.0
zpF9PXuVzFb,1009,28.0
lGxUawh9Rgq,3086,31300.0
CCYijZzjjn0,6091,476.0
kpkNrzQTYkG,3061,0.0
eb3ByhaTJPc,5573,19433.0
HH3mbuLQ3Fy,5088,199.0
CzNDOBhTozp,5069,87168.0
He5rkYQTRXc,3089,142.0
CcyZexM0LpH,4087,493.0
aiQep6Y8DiC,1004,573609.0
Gf6lEllg2nM,5585,0.0
VExs9bwa6Mb,1042,181.0
SxNM9MR02Fq,3068,264.0
tfs4ubhi7aS,3033,450.0
ildWGF3ceBO,4055,11610.0
QUvmRKu2SHI,5594,0.0
lnJZ8U8fAps,1078,33441.0
SxNM9MR02Fq,3082,175.0
TW5OuZHpb6D,3086,30179.0
GsVpkzuOvvr,4055,19600.0
eb3ByhaTJPc,4018,20581.0
Gl0BEtUdHIo,5010,405650.0
KrtijNiVXQd,4044,66117.0
SxNM9MR02Fq,3059,210.0
XNiO6llG6XA,3056,400.0
zpF9PXuVzFb,5552,0.0
FHj891Dd9IO,5577,120.0
f6Klhc8cltP,2022,984.0
uv5CVs53ise,3048,56306.0
Ya0KM6n2lnV,3061,609435.0
L3D8zpb45fV,6090,234149.0
Pmkei3034T3,1009,40219.0
cLca60N5Sz5,5594,17080.0
CzNDOBhTozp,1079,97252.0
f6Klhc8cltP,3089,42.0
GMuJ1q2PFFJ,3082,218.0
gCFmCwtKtG9,3039,5714.0
ViTJ0SouxHk,3048,470.0
gCFmCwtKtG9,1006,6562.0
f6Klhc8cltP,4047,2074.0
upazilla_epi_Safety Box_d,5064,572.0
hDbw2Z8FinI,4087,2.0
FHj891Dd9IO,5585,575.0
GMuJ1q2PFFJ,5076,1816.0
He5rkYQTRXc,3048,676.0
JTzAgZJknnZ,4050,613.0
mSRPxSz7mpC,5532,0.0
xej1sxYYCYM,5585,343.0
j9BXR3fcgBU,5527,201765.0
bWQSZuLmC4h,3067,0.0
tfs4ubhi7aS,4087,231.0
CdbqCEN6J1I,3086,0.0
VExs9bwa6Mb,5064,516.0
CzNDOBhTozp,1009,130523.0
JTzAgZJknnZ,4041,274.0
gxlRbfWMpVx,5573,0.0
eNTRf5caxYa,3093,1533.0
tfs4ubhi7aS,4057,0.0
S7WmD2KXggR,5088,659.0
qRf4BEqDWEO,6091,99532.0
WsDcPVFfFdD,3072,400-1
faixFpbou4s,4047,58000.0
jeJ3ZSbbg2z,4065,2439.0
lGxUawh9Rgq,3056,18016.0
mSRPxSz7mpC,5069,0.0
F7SY1nlzxsh,3054,0.0
wl7rSTXZnYH,3026,1239395.0
CCYijZzjjn0,5549,276.0
lzDaUMzu2sB,5532,2.0
KrtijNiVXQd,1042,21861.0
HgCvJyeV8s1,3086,3109.0
F7SY1nlzxsh,4055,450.0
CcyZexM0LpH,1042,340.0
CSmnrn14bzc,3086,646.0
He5rkYQTRXc,4047,498.0
lnJZ8U8fAps,3072,49522.0
gANxnvWKSYw,5088,0.0
kpkNrzQTYkG,3068,0.0
ildWGF3ceBO,2013,28931.0
CcyZexM0LpH,4044,528.0
CMuwZf2vDD3,4057,8565.0
qRf4BEqDWEO,4018,76510.0
CCYijZzjjn0,5594,209.0
ViTJ0SouxHk,3089,0.0
Gl0BEtUdHIo,2030,223275.0
VExs9bwa6Mb,4087,615.0
oHx6fAhrdRw,3039,94949.0
KUD3k3ABNzE,5081,3181.0
iWNq47wSHeH,2084,167.0
jSXbWOsbeVM,4001,54769.0
sthqDXmS4Nm,2003,49.5
WsDcPVFfFdD,1079,406
GMuJ1q2PFFJ,3059,64.0
JTzAgZJknnZ,2075,340.0
hDbw2Z8FinI,1042,3.0
F7SY1nlzxsh,3056,3318.0
xej1sxYYCYM,4065,143.0
GMuJ1q2PFFJ,3068,10.0
