Data,Organisation unit,Value
upazilla_epi_Syringe (5 ml)_damaged,Khulna District,0.0
upazilla_epi_Syringe (0.1 ml)_used,Naogaon District,87847.0
upazilla_epi_Safety Box_damaged,Jhenaidaha District,0.0
upazilla_epi_Women register_damaged,Netrokona District,27.0
upazilla_epi_BCG Diluent_receive,Sherpur District,21981.0
upazilla_epi_Child register previous stock,Rajshahi District,1585.0
upazilla_epi_Syringe (5 ml) previous stock,Chandpur District,843045.0
upazilla_epi_Tally Book (child)_damaged,Gazipur District,16.0
upazilla_epi_TT Card previous stock,Tangail District,118701.0
upazilla_epi_Women Report Book_used,Pabna District,581.0
upazilla_epi_BCG vial previous stock,Madaripur District,14927.0
upazilla_epi_Moni Flag_damaged,Bhola District,28.0
upazilla_epi_Syringe (3 ml)_used,Shariatpur District,31300.0
upazilla_epi_Women Report Book_receive,Sylhet District,476.0
upazilla_epi_Measles vial_damaged,Mymensingh District,0.0
upazilla_epi_TT vial previous stock,Nilphamari District,19433.0
upazilla_epi_Women Report Book previous stock,Sirajganj District,199.0
upazilla_epi_Pentavalent vial previous stock,Natore District,87168.0
upazilla_epi_Tally Book (Women)_used,Sherpur District,142.0
upazilla_epi_Women register_used,Satkhira District,493.0
upazilla_epi_Syringe (0.5 ml)_receive,Barguna District,573609.0
upazilla_epi_TT Card_damaged,Rangpur District,0.0
upazilla_epi_Tally Book (child)_receive,Jhalokati District,181.0
upazilla_epi_Women Report Book_used,Narshingdi District,264.0
upazilla_epi_MR Diluent_damaged,Gazipur District,450.0
upazilla_epi_BCG vial previous stock,Magura District,11610.0
upazilla_epi_Child Report Book_damaged,Thakurgaon District,0.0
upazilla_epi_OPV vial_used,Patuakhali District,33441.0
upazilla_epi_Women Report Book_used,Rajbari District,175.0
upazilla_epi_TT vial_used,Shariatpur District,30179.0
upazilla_epi_TT Card_received,Magura District,19600.0
upazilla_epi_TT vial previous stock,Chuadanga District,20581.0
upazilla_epi_Pentavalent vial_receive,Bogura District,405650.0
upazilla_epi_Syringe (0.1 ml)_used,Jhenaidaha District,66117.0
upazilla_epi_Women Report Book_used,Munshiganj District,210.0
upazilla_epi_Child Report Book_receive,Manikganj District,400.0
upazilla_epi_Moni Flag_damaged,Lalmonirhat District,0.0
upazilla_epi_Child register_receive,Panchagarh District,120.0
upazilla_epi_Tally Book (child) previous stock,Coxs Bazar District,984.0
upazilla_epi_BCG Diluent_receive,Kishoreganj District,56306.0
upazilla_epi_TT Card previous stock,Mymensingh District,609435.0
upazilla_epi_PCV need,Sunamganj District,234149.0
upazilla_epi_MR vial_used,Bhola District,40219.0
upazilla_epi_BCG Diluent previous stock,Thakurgaon District,17080.0
upazilla_epi_Pentavalent vial previous stock,Pirojpur District,97252.0
upazilla_epi_Tally Book (child) previous stock,Sherpur District,42.0
upazilla_epi_TT vial_damaged,Rajbari District,218.0
upazilla_epi_IPV vial_receive,Jamalpur District,5714.0
upazilla_epi_Syringe (5 ml)_damaged,Kishoreganj District,470.0
upazilla_epi_IPV vial_receive,Barishal District,6562.0
upazilla_epi_Tally Book (child) previous stock,Khulna District,2074.0
upazilla_epi_Safety Box_damaged,Naogaon District,572.0
upazilla_epi_Tally Book (Women)_damaged,Satkhira District,2.0
upazilla_epi_Child register_receive,Rangpur District,575.0
upazilla_epi_TT vial_damaged,Pabna District,1816.0
upazilla_epi_Tally Book (Women)_used,Kishoreganj District,676.0
upazilla_epi_Moni Flag_receive,Kustia District,613.0
upazilla_epi_Measles vial_used,Gaibandha District,0.0
upazilla_epi_Child register_used,Rangpur District,343.0
upazilla_epi_PCV vial_receive,Dinajpur District,201765.0
upazilla_epi_BCG vial_damaged,Narayanganj District,0.0
upazilla_epi_MR Diluent_damaged,Satkhira District,231.0
upazilla_epi_Child Card_damaged,Shariatpur District,0.0
upazilla_epi_Tally Book (child)_receive,Naogaon District,516.0
upazilla_epi_Pentavalent vial previous stock,Bhola District,130523.0
upazilla_epi_Moni Flag_receive,Jashore District,274.0
