Data,Organisation unit,Value
x0niIhTQ6Zp,4047,762600.0
BODVbIiW0pv,3067,0.0
HLf06LKb2uY,1078,0.0
mZEciaYEO2F,6058,466.0
x0niIhTQ6Zp,2022,320840.0
t7R1nPnijIS,5577,0.0
uMYdRCYbQIx,3026,618.0
mZEciaYEO2F,3035,0.0
Z4qk8nfmByw,1009,39670.0
sKDaMKl5l8B,4057,18700.0
fYwQk0kZSGz,2075,589056.0
rI2KhvPB8bc,6036,45900.0
zfUWfjfKICJ,2012,0.0
B3cD6xw0bdd,4055,55840.0
HJv3z3HMfwe,3035,0.0
DxD75aAjPZX,2012,167615.0
rAHEGe7ojkW,2051,58000.0
eFh3qRWUZ6J,6090,139400.0
UCGOdxDpp7f,5577,1770.0
tU5blh4Sf1g,3054,0.0
Pwr85khlpyH,3048,28.0
rI2KhvPB8bc,2046,18900.0
LJqc2PzQXUQ,3093,60401.0
wdwq9OjQM9X,1079,255.0
Hg50j7QSZkj,3061,18304.0
VouoJHkBGM2,3035,1068.0
Kwub6SuKrE7,5552,72.0
GKIvTeIzm8a,1042,579600.0
gEWalgNl9nv,5594,57375.0
Pwr85khlpyH,3089,0.0
dduEFRLdBkG,1004,40100.0
JP5gc0KndnS,5577,0.0
z4H3Cf1TBdv,5081,5326.0
KdtFfYYba1N,4087,900.0
wdwq9OjQM9X,5069,429.0
xCfb2c0O3W7,3086,0.0
ypha3z6EAQb,3029,76300.0
PKADDt7JqKA,3054,0.0
spnTnEPMoV2,3056,0.0
Kwub6SuKrE7,1009,77.0
lsZxT6F4VB7,3082,81.0
Ol1mHdriFTl,5594,192300.0
lsZxT6F4VB7,5076,567.0
ntSHXBaWBgd,2019,45.0
agtTSoHQ1lC,2012,78900.0
B3cD6xw0bdd,3054,63600.0
w5pQTE562o8,2022,630.0
dPmAWC4B6tk,5010,1121.0
dPmAWC4B6tk,2030,20.0
HLf06LKb2uY,3072,0.0
Z4qk8nfmByw,5552,26600.0
KbclS7eKPnj,6036,36.0
t7R1nPnijIS,5585,100.0
x0niIhTQ6Zp,3089,256700.0
pRDJS9SHkcf,3029,0.0
w5pQTE562o8,4047,715.0
xDlpgVnDwJI,3029,80100.0
tU5blh4Sf1g,4055,31250.0
hX7tWBJGkHx,5577,4200.0
N3uRZCdBUmD,3061,10748.0
KOPQYkNFLCb,4041,46800.0
XncbWOxNjAv,3035,0.0
PRQ9vEkHewZ,2012,2127200.0
OA4roSFWRqP,3072,0.0
y6s47PZmAGR,5010,1774.0
t0XOoSnjuh0,4087,22000.0
J3c2bNGLgsP,3082,67.0
Np6aLfUKsiY,3029,0.0
y6s47PZmAGR,2030,0.0
vDJieZ8l3to,2015,2250.0
ntSHXBaWBgd,5088,126.0
iJNCzfcJQDP,5573,3610.0
hw1CwIO7O8f,5577,30.0
fr1bKIp8I7i,3029,77.0
xdFxvVan8cF,5076,0.0
rAHEGe7ojkW,6090,54800.0
rvJkdTgcL0d,2003,0.0
J3c2bNGLgsP,5076,0.0
Mb4JAEiVGMB,3086,490.0
w5pQTE562o8,3089,503.0
sKDaMKl5l8B,3033,90300.0
WZZYFo010BE,5064,0.0
NNOVbKmgtM9,4065,0.0
wdwq9OjQM9X,1009,436.0
B3cD6xw0bdd,2013,43750.0
cmOsp0Z3VzY,2084,10700.0
P7k5AQ3aiJt,5527,0.0
N3uRZCdBUmD,3093,11612.0
T6PJcVzNlsY,3054,405.0
lsZxT6F4VB7,3061,1958.0
N3uRZCdBUmD,5076,22.0
P7k5AQ3aiJt,5552,300.0
e7cvZaj2l9t,2022,0.0
OA4roSFWRqP,1078,0.0
w5pQTE562o8,3048,880.0
GKIvTeIzm8a,4087,7568100.0
cc3m9THocqU,3048,0.0
Pbb7Lp0qJax,5038,0.0
Z4qk8nfmByw,5069,32000.0
Pwr85khlpyH,3026,0.0
hX7tWBJGkHx,5585,8000.0
fYwQk0kZSGz,2019,1060400.0
sFOBAM5f4Uv,5585,4035.0
gEWalgNl9nv,6091,130900.0
hHCzmfaeXIl,2030,34975.0
Rg4HIIY11SE,3029,25.0
N3uRZCdBUmD,3082,806.0
N3uRZCdBUmD,3068,3695.0
ppc3Td7TJkO,4065,0.0
RI8gr2keRVF,3061,0.0
APwgxGQ8nfN,4001,0.0
hHCzmfaeXIl,5010,67270.0
dPmAWC4B6tk,5081,1116.0
aQeq8aSOdVv,5585,0.0
Hg50j7QSZkj,3068,2796.0
TyueOFc3XNr,2051,290.0
PgqcWC1fMtv,3026,236900.0
cc3m9THocqU,3089,1200.0
MExbfLYYJiD,3093,0.0
Pwr85khlpyH,2022,7.0
ntSHXBaWBgd,2075,18.0
PgqcWC1fMtv,3048,176000.0
FMsHhz4dif1,1079,37.0
FMsHhz4dif1,5532,45.0
sFOBAM5f4Uv,5577,0.0
PRQ9vEkHewZ,3067,1484700.0
vS8vKwOrvZb,3067,11225.0
t0XOoSnjuh0,3033,95000.0
wdwq9OjQM9X,5532,443.0
PgqcWC1fMtv,2022,114000.0
ntSHXBaWBgd,4050,0.0
QO4D614g3Wi,5577,24305.0
MlNK8OmM5eZ,5081,0.0
ZN37IwOVKKE,4018,23694.0
RI8gr2keRVF,3093,0.0
W772FeICk0O,3059,0.0
ZAF3vaG4A8a,5594,24560.0
UCGOdxDpp7f,5585,5600.0
e7cvZaj2l9t,2084,0.0
HJv3z3HMfwe,6058,0.0
fYwQk0kZSGz,4041,336800.0
xdFxvVan8cF,3068,0.0
aQeq8aSOdVv,5577,0.0
gnjS23yYmsI,5577,402.0
TyueOFc3XNr,6090,41.0
t0XOoSnjuh0,1042,26400.0
xdFxvVan8cF,3059,0.0
sKDaMKl5l8B,5527,256700.0
PKADDt7JqKA,4055,0.0
xCP0qWMgkX8,3089,73.0
Mb4JAEiVGMB,3056,434.0
J3c2bNGLgsP,3061,2486.0
tU5blh4Sf1g,2013,116100.0
CFiPOHbyquo,1004,3550.0
ti2HwGvhfK0,3093,0.0
t0XOoSnjuh0,4057,6000.0
x0niIhTQ6Zp,3048,425000.0
HLf06LKb2uY,5070,180005.0
LJqc2PzQXUQ,3061,87300.0
spnTnEPMoV2,2013,0.0
xKvytAGoej4,3056,0.0
KOPQYkNFLCb,5038,22100.0
GKIvTeIzm8a,4044,4387600.0
hgLvmPIrqKY,3093,635.0
NNOVbKmgtM9,5577,740.0
y6s47PZmAGR,5081,11000.0
FMsHhz4dif1,1009,68.0
ZAF3vaG4A8a,6091,56850.0
z4H3Cf1TBdv,2030,6572.0
oIC517k2BLE,4065,0.0
MExbfLYYJiD,3061,0.0
PKADDt7JqKA,5010,0.0
iX6FkUt0WaO,6090,78.0
xKvytAGoej4,4055,0.0
DxD75aAjPZX,4001,81980.0
KdtFfYYba1N,4044,0.0
JQQqrkSSyzu,1004,749600.0
z4H3Cf1TBdv,5010,10780.0
zfUWfjfKICJ,3067,0.0
Hg50j7QSZkj,3082,5330.0
HLf06LKb2uY,5532,330000.0
FMsHhz4dif1,1078,4.0
B3cD6xw0bdd,2030,34975.0
wdwq9OjQM9X,5552,392.0
qQqE82XaiOr,3029,0.0
Hg50j7QSZkj,5076,3581.0
oRWiPL5MCHl,2051,0.0
IBS2IqaR1tU,2015,1890.0
g8S260lkBzl,2003,1374.0
w5pQTE562o8,2084,420.0
xCP0qWMgkX8,4047,0.0
KdtFfYYba1N,4057,0.0
F7hw1kZJEKH,3035,506.0
IBS2IqaR1tU,5594,6735.0
OA4roSFWRqP,5069,0.0
y6s47PZmAGR,4055,2516.0
PKADDt7JqKA,2030,0.0
NNOVbKmgtM9,5585,0.0
iJNCzfcJQDP,5549,4480.0
BODVbIiW0pv,2015,0.0
hHCzmfaeXIl,2013,43750.0
w5pQTE562o8,3026,1162.0
P7k5AQ3aiJt,1079,0.0
tU5blh4Sf1g,2030,55000.0
KOPQYkNFLCb,5088,70900.0
Xrz32A7vx1D,3093,0.0
LJqc2PzQXUQ,3082,17915.0
GKIvTeIzm8a,5064,5415200.0
W772FeICk0O,3068,0.0
spnTnEPMoV2,3054,0.0
KOPQYkNFLCb,4050,45600.0
sKDaMKl5l8B,5552,109000.0
CjREX74awT2,2015,0.0
g8S260lkBzl,1004,829.0
vS8vKwOrvZb,2012,8910.0
Mb4JAEiVGMB,1006,560.0
cc3m9THocqU,4047,0.0
N3uRZCdBUmD,3059,4830.0
TeI6FXouSXV,5577,45000.0
TeI6FXouSXV,5585,89210.0
Rl95TqYGxUE,3093,98376.0
agtTSoHQ1lC,3067,45700.0
LynCFTtD5ow,3048,27775.0
RI8gr2keRVF,3068,0.0
B3cD6xw0bdd,5010,67270.0
HwQXIC5FelW,3029,90.0
J6sUepWcdon,5088,0.0
gtEebAlxRtH,3072,81070.0
eFh3qRWUZ6J,2051,108200.0
LJqc2PzQXUQ,5076,50550.0
HJv3z3HMfwe,3039,0.0
Kwub6SuKrE7,4057,4.0
Kwub6SuKrE7,5532,15.0
e4DqyRBgstB,1004,24.0
KJJiogzjFXk,3029,0.0
ZN37IwOVKKE,5573,44220.0
hgLvmPIrqKY,3061,152.0
t0XOoSnjuh0,5064,57400.0
MlNK8OmM5eZ,2030,0.0
Pwr85khlpyH,4047,0.0
wdwq9OjQM9X,1078,510.0
LynCFTtD5ow,2022,34750.0
rD04ZzcaN5p,6090,0.0
KbclS7eKPnj,2046,6.0
cmOsp0Z3VzY,5064,32000.0
UCGOdxDpp7f,4065,1100.0
gwttELKqxMI,3093,913892.0
Mb4JAEiVGMB,2013,380.0
tU5blh4Sf1g,3056,54300.0
Kwub6SuKrE7,1079,4.0
tU5blh4Sf1g,5010,146100.0
Azd0uGUjGhE,6090,342.0
AqYTRr5SRQC,4001,0.0
b9vXmKRxlN4,3026,57.0
