Data,Organisation unit,Value
cawYjrf6sYw,3068,25.0
IxiN3NhjdSa,5081,860.0
ytJ1DrYsGft,5532,4000.0
dVNaICpmK7L,1004,0.0
W9eYgcZFN0Z,3082,100.0
zse8L8L9gu8,2013,40.0
VCtn0paIdje,6090,400.0
R5uzLTp7TYP,1078,14950.0
xh8erK4DBX1,3059,20840.0
dd7XsVYDhQ3,4057,0.0
OCvKJnO5CgH,5552,282.0
JXCDQqqE2BX,5594,91190.0
Oqdt7G1RKJy,3029,271400.0
LVKnkXh1H4N,5585,1628.0
hT7I1JzNEdx,4001,32004.0
TvIQHOYIAVn,2051,42.0
Uu5b38eCJrX,5594,0.0
KyVLENlU5xd,5594,30000.0
W9eYgcZFN0Z,5076,74.0
XeXsNiYQ9fg,4001,36.0
vX7z2PIhvmD,1078,6.0
LZMWHDdztqK,3082,12993.0
dHDMsMhv4Gk,5552,10809.0
OrK9U6pY0En,3035,940.0
TTGUUrNqcuK,2084,0.0
SGMC4fLW6rB,2013,22800.0
L0c50o7cx0Q,5070,200.0
UCEzCnZ2uMU,3056,12500.0
ebWeXsDZGNt,3061,10.0
yWdsjCqwvsB,6091,1.0
jqFSRclpuuz,3035,0.0
SLz2FHgFuv2,2012,1800000.0
fqfXL8xarlm,3068,18400.0
etn5C721jHP,2013,1400.0
sQyQGmO5LGp,5010,150.0
dHDMsMhv4Gk,1009,20570.0
InVy9zcySym,5577,1.0
ZpGpOV2plqa,5577,17.0
DlMAbzEwg0Y,3026,12650.0
H5jwGjCe1hW,5527,787.0
l5J3pzKfrKr,3033,48300.0
z6tXIV3eu5V,4041,760.0
cGIrAM2YR0L,2012,10000.0
OCvKJnO5CgH,1009,119.0
sMOrNoPEI2v,5532,0.0
FYUtZTy7i5D,6090,5910.0
SL3jTdl5ZHQ,3067,600.0
cAulAobXL8G,3093,0.0
InVy9zcySym,5585,6.0
TfuUqx1NZvg,5585,14.0
CraDFlSfOL8,5532,1200.0
TfuUqx1NZvg,5577,7.0
qMh3hamcxvG,3054,0.0
LZMWHDdztqK,3059,14050.0
a5NrrGbVvVX,3093,37.0
cAulAobXL8G,3061,0.0
U1i8Z7AhyVG,3086,1200.0
TvIQHOYIAVn,6090,59.0
dd7XsVYDhQ3,5527,21.0
Q3s3MHk9baj,3033,11700.0
tRUI2X0Kra3,3029,100000.0
i6Jt5OcJOXt,3067,130.0
s55BI6AF0PO,4065,600.0
Lt0W8DunYXn,4065,3920.0
VsbnV2HwyPb,5573,40.0
kaV4MxbmGqB,5532,29.0
l5J3pzKfrKr,4057,17200.0
VCtn0paIdje,2051,1100.0
vX7z2PIhvmD,5070,6.0
GJwygSbmZXJ,4050,85.0
nMJZ5CdOBUG,3026,221100.0
FlhsSrNRfu7,6091,0.0
dbMnrpsK2ja,1004,0.0
R5uzLTp7TYP,5070,15270.0
lKcO8hnI7yD,5594,317.0
TGej6yNQyS8,5573,25200.0
gmQChP4ybbJ,4044,17490.0
mVpOGtEj75m,5532,600.0
J102SfhJvhg,6091,0.0
cawYjrf6sYw,3061,92.0
niaONsteGuU,3059,20728.0
pGgbnrYuaTI,5069,7.0
GJy5G7nsdFC,6058,34.0
ebWeXsDZGNt,3068,0.0
fqfXL8xarlm,3059,79150.0
FlhsSrNRfu7,4018,0.0
UqjHo8iSYjH,3093,49.0
ZpGpOV2plqa,5585,80.0
FlhsSrNRfu7,5549,0.0
VsbnV2HwyPb,5549,0.0
GJwygSbmZXJ,5088,0.0
dcCeHUo2MAB,5038,20.0
H5jwGjCe1hW,5552,371.0
zse8L8L9gu8,4055,110.0
LZMWHDdztqK,3068,23349.0
fqfXL8xarlm,3082,55100.0
lKcO8hnI7yD,6091,420.0
lh0qUyqvy4G,4018,0.0
SGMC4fLW6rB,4055,6600.0
mVpOGtEj75m,1078,400.0
d8HUoghMVgY,5577,12.0
fqfXL8xarlm,5076,42000.0
HlgLFnlwo8K,1078,0.0
FYUtZTy7i5D,2051,6200.0
g4US4gQYOsT,2046,308.0
UCEzCnZ2uMU,3086,10300.0
iWenmJFGsQb,2084,600.0
OCvKJnO5CgH,1079,0.0
z6tXIV3eu5V,5038,40.0
aJCqO4zweff,4065,4700.0
pGgbnrYuaTI,1079,0.0
FlhsSrNRfu7,5573,0.0
lh0qUyqvy4G,6091,0.0
d8HUoghMVgY,5585,9.0
YNSxcxU3qZ9,2019,693.0
sMOrNoPEI2v,1078,0.0
gmQChP4ybbJ,5064,25440.0
bihFJUbh3sY,5552,0.0
CEJT47dHxo5,3067,25.0
Z51wc3vBOjh,2003,3010.0
yWdsjCqwvsB,5549,0.0
sQyQGmO5LGp,3054,0.0
yWdsjCqwvsB,5594,1.0
z2BZ5yn2S4M,2046,1950.0
EN4AcNB9A9P,5081,1000.0
jqFSRclpuuz,6058,0.0
kaLNDPAQwkh,3026,0.0
cawYjrf6sYw,5076,99.0
LZMWHDdztqK,5076,22050.0
sQyQGmO5LGp,4055,141.0
pGgbnrYuaTI,5532,9.0
GJy5G7nsdFC,3035,0.0
