Data,Organisation unit,Value
jexpvG0UpEP,4050,19823.0
Ew83LC7SZl0,2084,23400.0
H9DPSXuy1Cq,4087,34900.0
MdeVOqoipzV,3054,12800.0
jexpvG0UpEP,3086,965.0
kneuyiAUuhM,3039,21525.0
xE9S4yAH6JM,1009,18300.0
Ew83LC7SZl0,2075,147200.0
HwX8sJbFytZ,4055,35850.0
iHhFjeFaUE2,5594,2230.0
QcPVLGbkXPE,3039,29500.0
HwX8sJbFytZ,1042,23900.0
MdeVOqoipzV,4044,95894.0
QcPVLGbkXPE,5038,14700.0
jexpvG0UpEP,2019,27884.0
jexpvG0UpEP,3093,32241.0
xE9S4yAH6JM,5064,21449.0
Va9YJe9mcJC,1079,9110.0
Ew83LC7SZl0,5081,16765.0
txbCZcGu9t7,3039,19550.0
H9DPSXuy1Cq,5076,39500.0
MdeVOqoipzV,1079,76458.0
Va9YJe9mcJC,5577,9820.0
AhRkuUoR2Gh,3059,13900.0
iHhFjeFaUE2,4041,6245.0
xE9S4yAH6JM,1006,7100.0
QcPVLGbkXPE,1009,19700.0
Va9YJe9mcJC,3029,3665.0
AhRkuUoR2Gh,3082,5000.0
xE9S4yAH6JM,3039,21400.0
Ew83LC7SZl0,6036,104000.0
jexpvG0UpEP,5070,4990.0
AhRkuUoR2Gh,5076,2700.0
HwX8sJbFytZ,3029,13300.0
H9DPSXuy1Cq,3082,27700.0
Ew83LC7SZl0,5527,74800.0
kneuyiAUuhM,5064,18295.0
kneuyiAUuhM,5038,7450.0
Va9YJe9mcJC,4044,12615.0
tm4XzrA2ZJ4,5064,21449.0
txbCZcGu9t7,1009,16460.0
iHhFjeFaUE2,1004,962.0
Va9YJe9mcJC,3054,1360.0
tm4XzrA2ZJ4,5038,9425.0
kneuyiAUuhM,3054,1350.0
txbCZcGu9t7,4044,12715.0
kneuyiAUuhM,1006,6150.0
jexpvG0UpEP,4057,120.0
HwX8sJbFytZ,1079,40100.0
tm4XzrA2ZJ4,4044,13915.0
QcPVLGbkXPE,1006,6000.0
jexpvG0UpEP,6091,13392.0
MdeVOqoipzV,3029,26600.0
jexpvG0UpEP,5527,26486.0
xE9S4yAH6JM,4044,13915.0
AhRkuUoR2Gh,5573,10200.0
tm4XzrA2ZJ4,1006,7100.0
Ew83LC7SZl0,2012,105800.0
H9DPSXuy1Cq,3068,32300.0
HwX8sJbFytZ,3054,7100.0
txbCZcGu9t7,1006,6000.0
tm4XzrA2ZJ4,3054,1250.0
MdeVOqoipzV,1042,39740.0
txbCZcGu9t7,3054,1360.0
MdeVOqoipzV,4055,66450.0
Va9YJe9mcJC,5038,6500.0
jexpvG0UpEP,5081,13556.0
MdeVOqoipzV,3039,169460.0
xE9S4yAH6JM,5038,9425.0
AhRkuUoR2Gh,5532,11700.0
AhRkuUoR2Gh,4087,6500.0
tm4XzrA2ZJ4,1079,10720.0
H9DPSXuy1Cq,5573,35200.0
Ew83LC7SZl0,5070,11200.0
xE9S4yAH6JM,5552,11700.0
kBxPfPkmkUZ,4041,440400.0
H9DPSXuy1Cq,5532,53100.0
tm4XzrA2ZJ4,3039,21400.0
tm4XzrA2ZJ4,5552,12050.0
kneuyiAUuhM,4044,14230.0
QcPVLGbkXPE,4044,47800.0
kneuyiAUuhM,1079,9310.0
H9DPSXuy1Cq,3048,61401.0
jexpvG0UpEP,2012,30985.0
AhRkuUoR2Gh,3048,18000.0
jexpvG0UpEP,1078,6510.0
QcPVLGbkXPE,3029,600.0
HwX8sJbFytZ,4087,58800.0
QcPVLGbkXPE,4055,8300.0
AhRkuUoR2Gh,4018,5400.0
tm4XzrA2ZJ4,3029,3900.0
tm4XzrA2ZJ4,5010,0.0
H9DPSXuy1Cq,1042,8400.0
Ew83LC7SZl0,6090,50400.0
Va9YJe9mcJC,5064,19386.0
txbCZcGu9t7,5577,9770.0
kBxPfPkmkUZ,2075,1063200.0
kneuyiAUuhM,1042,5525.0
Va9YJe9mcJC,3059,9900.0
QcPVLGbkXPE,5010,0.0
iHhFjeFaUE2,5081,2157.0
jexpvG0UpEP,3061,47896.0
Ew83LC7SZl0,6091,14100.0
Va9YJe9mcJC,1009,16460.0
xE9S4yAH6JM,4001,15829.0
iHhFjeFaUE2,6036,2535.0
xE9S4yAH6JM,5010,0.0
kBxPfPkmkUZ,5527,597500.0
kneuyiAUuhM,5552,10325.0
iHhFjeFaUE2,4001,3092.0
HwX8sJbFytZ,5076,69400.0
QcPVLGbkXPE,5577,18400.0
MdeVOqoipzV,1006,47950.0
H9DPSXuy1Cq,4018,26400.0
iHhFjeFaUE2,2075,7425.0
HwX8sJbFytZ,4044,52605.0
Va9YJe9mcJC,1006,6000.0
AhRkuUoR2Gh,6058,1500.0
Ew83LC7SZl0,1078,36000.0
kBxPfPkmkUZ,6036,580800.0
Ew83LC7SZl0,3093,116800.0
Ew83LC7SZl0,4065,19800.0
HwX8sJbFytZ,3082,41600.0
H9DPSXuy1Cq,6058,3600.0
tm4XzrA2ZJ4,4055,10630.0
Ew83LC7SZl0,3086,900.0
MdeVOqoipzV,5552,85530.0
iHhFjeFaUE2,2019,4585.0
Va9YJe9mcJC,3039,19631.0
iHhFjeFaUE2,5552,2260.0
QcPVLGbkXPE,5585,22200.0
kneuyiAUuhM,4001,13132.0
kBxPfPkmkUZ,1006,93600.0
