Data,Organisation unit,Value
No. of mother received PNC 2 services at facility,Shariatpur District,1743.0
No. of cases with Puerperal Sepsis (Complication9),Natore District,13.0
No. of mother received PNC 2 services at facility,Kustia District,2112.0
No. of Maternal Deaths(MD),Netrokona District,32.0
No. of mother received PNC 1 services at facility,Sherpur District,8108.0
No. of mother received PNC 2 services at facility,Cumilla District,9091.0
No. of cases with non-specific Abortion (Complication7),Kishoreganj District,2384.0
No. of genital fistula repair Surgeries (OT),Manikganj District,12.0
No. of newborn resuscitated with bag-mask ventilation (after stimulation) after drying,Dhaka District,135.0
No. of postpartum mother/ pregnant women referred out,Panchagarh District,262.0
No. of mother received PNC 1 services at facility,Kishoreganj District,25279.0
No. of cases with other Pregnancy/ Delivery related Complications,Gazipur District,819.0
Total No. of low birth weight babies ( less than 2500 ),Madaripur District,53.0
No. of cases with Prolonged/ Obstructed Labor (Complication1),Naogaon District,1188.0
No. of normal deliveries with AMTSL at facility level,Gazipur District,4174.0
No. of babies born with less than 2000 gm of weight,Barishal District,1213.0
Number of  3◦ /4◦ perineal tear repair surgery,Rajbari District,5.0
No. of cases with non-specific Abortion (Complication7),Sherpur District,434.0
No. of postpartum mother/ pregnant women referred out,Rangpur District,657.0
No. of cases with Septic Abortion (Complication6),Sylhet District,165.0
No. of women given birth between 24-34 completed gestational,Bandarban District,1.0
No. of  newborn received 7.1 Chlorhexidine in the umbilical cord,Narshingdi District,12922.0
Number of  3◦ /4◦ perineal tear repair surgery,Rangpur District,30.0
No. of mother received PNC 1 services at facility,Coxs Bazar District,11184.0
No. of  newborn received 7.1 Chlorhexidine in the umbilical cord,Mymensingh District,9520.0
No. of Destructive Operation,Feni District,68.0
No. of Maternal Deaths(MD),Patuakhali District,29.0
No. of patients Referred In,Satkhira District,731.0
No. of newborn delivered in the facility referred out,Narail District,19.0
No. of cases with Prolonged/ Obstructed Labor (Complication1),Jhenaidaha District,1648.0
No. of Destructive Operation,Bagerhat District,1.0
No. of newborn received delayed bath (after 3 days),Naogaon District,33.0
No.  of  postpartum  FP  method  was  used,Tangail District,239.0
No. of cases with Post-Partum Hemorrhage (Complication11),Lalmonirhat District,236.0
Number of  3◦ /4◦ perineal tear repair surgery,Munshiganj District,13.0
No. of women given birth between 24-34 completed gestational,Chattogram District,35.0
No. of cases with Pre-Eclampsia/ Eclampsia (Complication3),Kishoreganj District,1964.0
No. of patients Referred Out,Lalmonirhat District,511.0
No. of women received Post Natal Care (PNC),Narayanganj District,27785.0
No. of cases with non-specific Abortion (Complication7),Khulna District,613.0
No. of cases with other Pregnancy/ Delivery related Complications,Laksmipur District,650.0
No. of normal deliveries with AMTSL at facility level,Laksmipur District,2960.0
No. of Forceps/ Vacuum/ Breech delivery,Brahmanbaria District,48.0
No. of newborn received delayed bath (after 3 days),Jhenaidaha District,439.0
No. of cases with Ectopic Pregnancy (Complication8),Faridpur District,419.0
No. of cases with Antepartum Hemorrhage (Complication2),Sherpur District,57.0
No. of normal deliveries with AMTSL at facility level,Meherpur District,4976.0
No. of babies born with less than 2000 gm of weight,Jashore District,275.0
No. of Cesarean Section,Jhenaidaha District,14141.0
No. of  neonatal  death reviewed,Gopalganj District,89.0
No. of cases with Ruptured Uterus (Complication5),Jhalokati District,5.0
No. of  neonatal  death reviewed,Maulavi Bazar District,32.0
No. of Vaginal Deliveries with Breech or Face Presentation,Jamalpur District,165.0
No. of cases with Pre-Eclampsia/ Eclampsia (Complication3),Khulna District,507.0
Number of  3◦ /4◦ perineal tear  (with fecal incontinence) who were discharged closed and dry,Jhenaidaha District,1.0
No. of Still Births,Tangail District,623.0
No. of Normal Deliveries,Gopalganj District,5094.0
No. of Live Births (LB),Bandarban District,2063.0
No. of genital fistula patients discharged with fistula not closed (Indoor),Jamalpur District,3.0
No. of Normal Deliveries,Maulavi Bazar District,12930.0
No. of women received Post Natal Care (PNC),Chattogram District,37998.0
No of newborn received skin to skin care immediate after birth,Sherpur District,2168.0
No. of women given birth between 24-34 completed gestational,Narayanganj District,2016.0
No. of babies born with less than 2000 gm of weight,Joypurhat District,738.0
Total No. of low birth weight babies ( less than 2500 ),Magura District,39.0
No. of babies born with less than 2000 gm of weight,Jamalpur District,1839.0
