Data,Organisation unit,Value
QCGhrXxmJDb,5594,9.0
QCGhrXxmJDb,1004,1103.0
GZWzBoEhi1S,3082,2181.0
RTJbhrOb0LB,4041,23058.0
EC4hrF3y7p9,3093,1588.0
SW4mM4SA65U,3089,1174.0
GyTha0DmXeY,3061,8980.0
GZWzBoEhi1S,5573,3301.0
EfLoEHPMrUL,3048,737.0
Fnsa8A43USl,3035,115714.0
oPi0KdUUkmk,6058,15746.0
EfLoEHPMrUL,3089,407.0
LSNFSyDR2Ec,4001,15155.0
SW4mM4SA65U,3048,1911.0
fBurIvCJP0D,5532,64.0
GYGcXE0XEzA,5010,1667.0
p4sMIzLlIqk,2015,102947.0
NlEkfvUZ1TS,5552,274.0
flN1fjAmDCz,2022,382.0
GZWzBoEhi1S,5076,14815.0
flN1fjAmDCz,3067,51.0
EC4hrF3y7p9,4065,270.0
OHsyGAoZxnG,5594,3.8986416E7
NlEkfvUZ1TS,4041,167.0
nyxjGxsZ3GY,3093,18328.0
Vsj168YcM0W,5070,54583.0
GZWzBoEhi1S,3059,1732.0
GyTha0DmXeY,5549,5480.0
EAN5GjcGP6k,2075,305.0
OHsyGAoZxnG,1004,1.96972732E8
GyTha0DmXeY,4018,5527.0
Fnsa8A43USl,5532,67840.0
nnLPr1FqABz,3067,259.0
GZWzBoEhi1S,5585,7390.0
SW4mM4SA65U,3067,1090.0
nnLPr1FqABz,2003,148.0
GyTha0DmXeY,6091,14087.0
wwE5TRfBuhI,6036,36912.0
p4sMIzLlIqk,2003,7199.0
GyTha0DmXeY,3068,18915.0
GYGcXE0XEzA,4001,3988.0
EfLoEHPMrUL,2015,435.0
oPi0KdUUkmk,3035,8050.0
PoAojyGYuBr,6036,2463.0
oPi0KdUUkmk,5532,3554.0
nnLPr1FqABz,3048,81.0
fBurIvCJP0D,3035,1325.0
GyTha0DmXeY,3093,13162.0
RN4w5hxGHRk,6091,88096.0
CRZkTTALRSb,6036,92301.0
NlEkfvUZ1TS,1006,674.0
JBhv2WOYxSf,3026,366.0
EAN5GjcGP6k,5552,1039.0
CRZkTTALRSb,3067,92227.0
GZWzBoEhi1S,5577,980.0
RN4w5hxGHRk,3093,78678.0
PoAojyGYuBr,3067,8803.0
OHsyGAoZxnG,3093,2.4481217E7
AhQ1Net8U5z,5594,4431.0
PoAojyGYuBr,5081,3182.0
flN1fjAmDCz,3089,506.0
NlEkfvUZ1TS,2075,193.0
CRZkTTALRSb,4047,91892.0
RN4w5hxGHRk,4065,40563.0
GYGcXE0XEzA,6036,2086.0
NlEkfvUZ1TS,5527,891.0
GyTha0DmXeY,5573,8783.0
f5G2bLJmbMP,5577,314.0
p4sMIzLlIqk,3089,36722.0
RTJbhrOb0LB,1009,22111.0
wwE5TRfBuhI,5081,57521.0
GyTha0DmXeY,4065,6103.0
EC4hrF3y7p9,4018,1423.0
RN4w5hxGHRk,5594,6618.0
flN1fjAmDCz,4047,391.0
EfLoEHPMrUL,3029,112.0
LSNFSyDR2Ec,6036,20985.0
CRZkTTALRSb,3089,79300.0
GZWzBoEhi1S,3068,1355.0
fBurIvCJP0D,3072,261.0
GYGcXE0XEzA,5081,445.0
EfLoEHPMrUL,4047,621.0
JBhv2WOYxSf,2003,62.0
EC4hrF3y7p9,6091,1702.0
nnLPr1FqABz,3026,65.0
nnLPr1FqABz,2015,1721.0
GyTha0DmXeY,3082,5177.0
nyxjGxsZ3GY,5594,3867.0
EC4hrF3y7p9,3061,1386.0
p4sMIzLlIqk,3029,26387.0
GyTha0DmXeY,5076,11495.0
GZWzBoEhi1S,5549,2726.0
nnLPr1FqABz,2022,844.0
OHsyGAoZxnG,3061,3.4921542E7
SW4mM4SA65U,4047,536.0
EAN5GjcGP6k,4041,5267.0
SW4mM4SA65U,3029,333.0
flN1fjAmDCz,6036,315.0
fBurIvCJP0D,6058,275.0
nyxjGxsZ3GY,4065,2289.0
OHsyGAoZxnG,6091,9.0958755E7
LSNFSyDR2Ec,3054,1305.0
CRZkTTALRSb,5081,130003.0
flN1fjAmDCz,2015,630.0
GZWzBoEhi1S,6091,4362.0
fBurIvCJP0D,3039,194.0
f5G2bLJmbMP,5585,222.0
fBurIvCJP0D,5038,46.0
ji6q7h7TE3n,5577,675.0
p4sMIzLlIqk,2022,40286.0
EC4hrF3y7p9,5573,456.0
QCGhrXxmJDb,4065,140.0
fBurIvCJP0D,1078,564.0
GyTha0DmXeY,3059,6874.0
SW4mM4SA65U,2012,1316.0
J4LMYIjzMDh,5070,698.0
Fnsa8A43USl,1079,51872.0
AhQ1Net8U5z,3026,21669.0
NlEkfvUZ1TS,5069,408.0
SW4mM4SA65U,3026,2561.0
GZWzBoEhi1S,4065,495.0
QCGhrXxmJDb,3061,449.0
RTJbhrOb0LB,5038,11856.0
NlEkfvUZ1TS,6090,107.0
PoAojyGYuBr,3048,8964.0
QCGhrXxmJDb,6091,552.0
wwE5TRfBuhI,4001,50180.0
GYGcXE0XEzA,2012,4339.0
EAN5GjcGP6k,3039,1256.0
fBurIvCJP0D,1009,274.0
ji6q7h7TE3n,5070,2049.0
f5G2bLJmbMP,5070,1.0
PoAojyGYuBr,3089,3154.0
NlEkfvUZ1TS,4057,45.0
nyxjGxsZ3GY,5549,4930.0
GyTha0DmXeY,5585,10798.0
GyTha0DmXeY,1004,4174.0
LSNFSyDR2Ec,5081,5588.0
GZWzBoEhi1S,3061,13420.0
nyxjGxsZ3GY,3068,11266.0
EC4hrF3y7p9,1004,375.0
CRZkTTALRSb,2046,49996.0
wwE5TRfBuhI,3067,30074.0
EAN5GjcGP6k,6090,5701.0
EC4hrF3y7p9,5594,104.0
RN4w5hxGHRk,4018,30062.0
GyTha0DmXeY,5577,1700.0
PoAojyGYuBr,2030,2201.0
EfLoEHPMrUL,2012,357.0
fBurIvCJP0D,1079,93.0
flN1fjAmDCz,5081,351.0
PoAojyGYuBr,5010,5283.0
RTJbhrOb0LB,5088,22394.0
wwE5TRfBuhI,4047,45281.0
GZWzBoEhi1S,3093,4167.0
RN4w5hxGHRk,3061,81958.0
EfLoEHPMrUL,3026,41.0
QCGhrXxmJDb,3093,6593.0
CRZkTTALRSb,2003,30557.0
Vsj168YcM0W,3035,84033.0
nyxjGxsZ3GY,3061,11001.0
p4sMIzLlIqk,3048,75388.0
RTJbhrOb0LB,3086,8258.0
EAN5GjcGP6k,2019,1371.0
Fnsa8A43USl,3039,80187.0
EC4hrF3y7p9,3082,277.0
RN4w5hxGHRk,5549,33901.0
GYGcXE0XEzA,5064,1058.0
nyxjGxsZ3GY,4018,1405.0
EC4hrF3y7p9,5076,558.0
oPi0KdUUkmk,1079,11708.0
RN4w5hxGHRk,3068,97625.0
RTJbhrOb0LB,1006,28243.0
EC4hrF3y7p9,5585,3951.0
RTJbhrOb0LB,5527,30972.0
GYGcXE0XEzA,2046,192.0
ji6q7h7TE3n,1078,4800.0
JBhv2WOYxSf,4047,422.0
EfLoEHPMrUL,2084,28.0
flN1fjAmDCz,3048,724.0
CRZkTTALRSb,3026,133032.0
wwE5TRfBuhI,2046,14894.0
CRZkTTALRSb,4001,90807.0
CRZkTTALRSb,2012,63273.0
RTJbhrOb0LB,3033,30710.0
wwE5TRfBuhI,2084,11567.0
nnLPr1FqABz,6036,38.0
RTJbhrOb0LB,5552,13716.0
PVLH8nNufJv,3059,779.0
