Data,Organisation unit,Value
IMCI Stunting (0 - 5 years),Thakurgaon District,9.0
IMCI Stunting (0 - 5 years),Barguna District,1103.0
IMCI Anemia (0 - 5 years),Rajbari District,2181.0
IMCI Diarrhea,Jashore District,23058.0
IMCI Low Birth Weight,Tangail District,1588.0
IMCI Child Injury,Sherpur District,1174.0
IMCI Breast Feed within 1 hour of birth,Mymensingh District,8980.0
IMCI Anemia (0 - 5 years),Nilphamari District,3301.0
IMCI Severe Acute Malnutrition,Kishoreganj District,737.0
IMCI Male,Gopalganj District,115714.0
IMCI Complementary Feeding (6-23 months),Maulavi Bazar District,15746.0
IMCI Severe Acute Malnutrition,Sherpur District,407.0
IMCI Exclusive breast feeding,Bagerhat District,15155.0
IMCI Child Injury,Kishoreganj District,1911.0
IMCI Pus draining from Umbilicus,Gaibandha District,64.0
IMCI Underweight (0 - 5 years),Bogura District,1667.0
IMCI Other Disease,Chattogram District,102947.0
IMCI Fever-malaria,Lalmonirhat District,274.0
IMCI Facilitator Training Information,Coxs Bazar District,382.0
IMCI Anemia (0 - 5 years),Pabna District,14815.0
IMCI Facilitator Training Information,Narayanganj District,51.0
IMCI Low Birth Weight,Narail District,270.0
IMCI Facilitator Code,Thakurgaon District,3.8986416E7
IMCI Fever-malaria,Jashore District,167.0
IMCI Ear problem,Tangail District,18328.0
IMCI Cough & Cold no Pneumonia,Chapai Nababganj District,54583.0
IMCI Anemia (0 - 5 years),Munshiganj District,1732.0
IMCI Breast Feed within 1 hour of birth,Kurigram District,5480.0
IMCI Measles,Noakhali District,305.0
IMCI Facilitator Code,Barguna District,1.96972732E8
IMCI Breast Feed within 1 hour of birth,Chuadanga District,5527.0
IMCI Male,Gaibandha District,67840.0
IMCI Fever-malaria Unlikely,Narayanganj District,259.0
IMCI Anemia (0 - 5 years),Rangpur District,7390.0
IMCI Child Injury,Narayanganj District,1090.0
IMCI Fever-malaria Unlikely,Bandarban District,148.0
IMCI Breast Feed within 1 hour of birth,Sylhet District,14087.0
IMCI Fever-no malaria,Habiganj District,36912.0
IMCI Other Disease,Bandarban District,7199.0
IMCI Breast Feed within 1 hour of birth,Narshingdi District,18915.0
IMCI Underweight (0 - 5 years),Bagerhat District,3988.0
IMCI Severe Acute Malnutrition,Chattogram District,435.0
IMCI Complementary Feeding (6-23 months),Gopalganj District,8050.0
IMCI Very Severe Disease,Habiganj District,2463.0
IMCI Complementary Feeding (6-23 months),Gaibandha District,3554.0
IMCI Fever-malaria Unlikely,Kishoreganj District,81.0
IMCI Pus draining from Umbilicus,Gopalganj District,1325.0
IMCI Breast Feed within 1 hour of birth,Tangail District,13162.0
IMCI counselling,Sylhet District,88096.0
IMCI Female,Habiganj District,92301.0
IMCI Fever-malaria,Barishal District,674.0
IMCI Wasting (0 - 5 years),Dhaka District,366.0
IMCI Measles,Lalmonirhat District,1039.0
IMCI Female,Narayanganj District,92227.0
IMCI Anemia (0 - 5 years),Panchagarh District,980.0
IMCI counselling,Tangail District,78678.0
IMCI Very Severe Disease,Narayanganj District,8803.0
IMCI Facilitator Code,Tangail District,2.4481217E7
IMCI Pneumonia,Thakurgaon District,4431.0
IMCI Very Severe Disease,Rajshahi District,3182.0
IMCI Facilitator Training Information,Sherpur District,506.0
IMCI Fever-malaria,Noakhali District,193.0
IMCI Female,Khulna District,91892.0
IMCI counselling,Narail District,40563.0
IMCI Underweight (0 - 5 years),Habiganj District,2086.0
IMCI Fever-malaria,Dinajpur District,891.0
IMCI Breast Feed within 1 hour of birth,Nilphamari District,8783.0
IMCI Drowning,Panchagarh District,314.0
IMCI Other Disease,Sherpur District,36722.0
IMCI Diarrhea,Bhola District,22111.0
IMCI Fever-no malaria,Rajshahi District,57521.0
IMCI Breast Feed within 1 hour of birth,Narail District,6103.0
IMCI Low Birth Weight,Chuadanga District,1423.0
IMCI counselling,Thakurgaon District,6618.0
IMCI Facilitator Training Information,Khulna District,391.0
IMCI Severe Acute Malnutrition,Faridpur District,112.0
IMCI Exclusive breast feeding,Habiganj District,20985.0
IMCI Female,Sherpur District,79300.0
IMCI Anemia (0 - 5 years),Narshingdi District,1355.0
IMCI Pus draining from Umbilicus,Netrokona District,261.0
IMCI Underweight (0 - 5 years),Rajshahi District,445.0
IMCI Severe Acute Malnutrition,Khulna District,621.0
IMCI Wasting (0 - 5 years),Bandarban District,62.0
IMCI Low Birth Weight,Sylhet District,1702.0
IMCI Fever-malaria Unlikely,Dhaka District,65.0
IMCI Fever-malaria Unlikely,Chattogram District,1721.0
IMCI Breast Feed within 1 hour of birth,Rajbari District,5177.0
IMCI Ear problem,Thakurgaon District,3867.0
IMCI Low Birth Weight,Mymensingh District,1386.0
IMCI Other Disease,Faridpur District,26387.0
IMCI Breast Feed within 1 hour of birth,Pabna District,11495.0
IMCI Anemia (0 - 5 years),Kurigram District,2726.0
IMCI Fever-malaria Unlikely,Coxs Bazar District,844.0
IMCI Facilitator Code,Mymensingh District,3.4921542E7
IMCI Child Injury,Khulna District,536.0
IMCI Measles,Jashore District,5267.0
IMCI Child Injury,Faridpur District,333.0
IMCI Facilitator Training Information,Habiganj District,315.0
IMCI Pus draining from Umbilicus,Maulavi Bazar District,275.0
IMCI Ear problem,Narail District,2289.0
IMCI Facilitator Code,Sylhet District,9.0958755E7
IMCI Exclusive breast feeding,Madaripur District,1305.0
IMCI Female,Rajshahi District,130003.0
IMCI Facilitator Training Information,Chattogram District,630.0
IMCI Anemia (0 - 5 years),Sylhet District,4362.0
IMCI Pus draining from Umbilicus,Jamalpur District,194.0
IMCI Drowning,Rangpur District,222.0
IMCI Pus draining from Umbilicus,Joypurhat District,46.0
IMCI Protein & energy malnutrition (PEM),Panchagarh District,675.0
IMCI Other Disease,Coxs Bazar District,40286.0
IMCI Low Birth Weight,Nilphamari District,456.0
IMCI Stunting (0 - 5 years),Narail District,140.0
IMCI Pus draining from Umbilicus,Patuakhali District,564.0
IMCI Breast Feed within 1 hour of birth,Munshiganj District,6874.0
IMCI Child Injury,Brahmanbaria District,1316.0
IMCI Referral1,Chapai Nababganj District,698.0
IMCI Male,Pirojpur District,51872.0
IMCI Pneumonia,Dhaka District,21669.0
IMCI Fever-malaria,Natore District,408.0
IMCI Child Injury,Dhaka District,2561.0
IMCI Anemia (0 - 5 years),Narail District,495.0
IMCI Stunting (0 - 5 years),Mymensingh District,449.0
IMCI Diarrhea,Joypurhat District,11856.0
IMCI Fever-malaria,Sunamganj District,107.0
IMCI Very Severe Disease,Kishoreganj District,8964.0
IMCI Stunting (0 - 5 years),Sylhet District,552.0
IMCI Fever-no malaria,Bagerhat District,50180.0
IMCI Underweight (0 - 5 years),Brahmanbaria District,4339.0
IMCI Measles,Jamalpur District,1256.0
IMCI Pus draining from Umbilicus,Bhola District,274.0
IMCI Protein & energy malnutrition (PEM),Chapai Nababganj District,2049.0
IMCI Drowning,Chapai Nababganj District,1.0
IMCI Very Severe Disease,Sherpur District,3154.0
IMCI Fever-malaria,Meherpur District,45.0
IMCI Ear problem,Kurigram District,4930.0
IMCI Breast Feed within 1 hour of birth,Rangpur District,10798.0
IMCI Breast Feed within 1 hour of birth,Barguna District,4174.0
IMCI Exclusive breast feeding,Rajshahi District,5588.0
IMCI Anemia (0 - 5 years),Mymensingh District,13420.0
IMCI Ear problem,Narshingdi District,11266.0
IMCI Low Birth Weight,Barguna District,375.0
IMCI Female,Khagrachhari District,49996.0
IMCI Fever-no malaria,Narayanganj District,30074.0
IMCI Measles,Sunamganj District,5701.0
IMCI Low Birth Weight,Thakurgaon District,104.0
IMCI counselling,Chuadanga District,30062.0
IMCI Breast Feed within 1 hour of birth,Panchagarh District,1700.0
IMCI Very Severe Disease,Feni District,2201.0
IMCI Severe Acute Malnutrition,Brahmanbaria District,357.0
IMCI Pus draining from Umbilicus,Pirojpur District,93.0
IMCI Facilitator Training Information,Rajshahi District,351.0
IMCI Very Severe Disease,Bogura District,5283.0
IMCI Diarrhea,Sirajganj District,22394.0
IMCI Fever-no malaria,Khulna District,45281.0
IMCI Anemia (0 - 5 years),Tangail District,4167.0
IMCI counselling,Mymensingh District,81958.0
IMCI Severe Acute Malnutrition,Dhaka District,41.0
IMCI Stunting (0 - 5 years),Tangail District,6593.0
IMCI Female,Bandarban District,30557.0
IMCI Cough & Cold no Pneumonia,Gopalganj District,84033.0
IMCI Ear problem,Mymensingh District,11001.0
IMCI Other Disease,Kishoreganj District,75388.0
IMCI Diarrhea,Shariatpur District,8258.0
IMCI Measles,Cumilla District,1371.0
IMCI Male,Jamalpur District,80187.0
IMCI Low Birth Weight,Rajbari District,277.0
IMCI counselling,Kurigram District,33901.0
IMCI Underweight (0 - 5 years),Naogaon District,1058.0
IMCI Ear problem,Chuadanga District,1405.0
IMCI Low Birth Weight,Pabna District,558.0
IMCI Complementary Feeding (6-23 months),Pirojpur District,11708.0
IMCI counselling,Narshingdi District,97625.0
IMCI Diarrhea,Barishal District,28243.0
IMCI Low Birth Weight,Rangpur District,3951.0
IMCI Diarrhea,Dinajpur District,30972.0
IMCI Underweight (0 - 5 years),Khagrachhari District,192.0
IMCI Protein & energy malnutrition (PEM),Patuakhali District,4800.0
IMCI Wasting (0 - 5 years),Khulna District,422.0
IMCI Severe Acute Malnutrition,Rangamati District,28.0
IMCI Facilitator Training Information,Kishoreganj District,724.0
IMCI Female,Dhaka District,133032.0
IMCI Fever-no malaria,Khagrachhari District,14894.0
IMCI Female,Bagerhat District,90807.0
IMCI Female,Brahmanbaria District,63273.0
IMCI Diarrhea,Gazipur District,30710.0
IMCI Fever-no malaria,Rangamati District,11567.0
IMCI Fever-malaria Unlikely,Habiganj District,38.0
IMCI Diarrhea,Lalmonirhat District,13716.0
IMCI Moderate Acute Malnutrition,Munshiganj District,779.0
IMCI Ear problem,Sylhet District,11795.0
IMCI Pus draining from Umbilicus,Chapai Nababganj District,51.0
IMCI Stunting (0 - 5 years),Faridpur District,7720.0
IMCI Child Injury,Bandarban District,84.0
IMCI Fever-malaria,Manikganj District,52.0
IMCI Child Injury,Khagrachhari District,642.0
IMCI Anemia (0 - 5 years),Chuadanga District,4666.0
IMCI Female,Rangamati District,28091.0
IMCI Underweight (0 - 5 years),Rangamati District,239.0
IMCI Severe Acute Malnutrition,Bandarban District,48.0
IMCI Severe Acute Malnutrition,Narayanganj District,269.0
IMCI Fever-malaria Unlikely,Faridpur District,124.0
IMCI Other Disease,Thakurgaon District,11383.0
IMCI Stunting (0 - 5 years),Chuadanga District,1314.0
IMCI Diarrhea,Laksmipur District,32554.0
IMCI Pneumonia,Barguna District,5271.0
IMCI Very Severe Disease,Coxs Bazar District,7533.0
IMCI Low Birth Weight,Panchagarh District,607.0
IMCI Cough & Cold no Pneumonia,Patuakhali District,56137.0
IMCI Underweight (0 - 5 years),Jhalokati District,1968.0
IMCI Fever-no malaria,Dhaka District,57846.0
IMCI Complementary Feeding (6-23 months),Netrokona District,24647.0
IMCI Exclusive breast feeding,Coxs Bazar District,17023.0
IMCI Facilitator Code,Kurigram District,3.8429506E7
IMCI Fever-malaria Unlikely,Sherpur District,59.0
IMCI Male,Maulavi Bazar District,99762.0
IMCI Child Injury,Rangamati District,299.0
IMCI Exclusive breast feeding,Bogura District,19029.0
IMCI Moderate Acute Malnutrition,Panchagarh District,494.0
IMCI Measles,Meherpur District,507.0
IMCI Diarrhea,Kustia District,20283.0
IMCI Exclusive breast feeding,Jhenaidaha District,13369.0
IMCI Facilitator Code,Narshingdi District,2320602.0
IMCI Very Severe Disease,Chattogram District,19411.0
IMCI Facilitator Training Information,Bogura District,629.0
IMCI Facilitator Training Information,Feni District,170.0
IMCI Male,Netrokona District,104949.0
IMCI Fever-no malaria,Brahmanbaria District,30060.0
IMCI Low Birth Weight,Munshiganj District,1273.0
IMCI Severe Acute Malnutrition,Khagrachhari District,64.0
IMCI Moderate Acute Malnutrition,Rangpur District,3307.0
IMCI Wasting (0 - 5 years),Barguna District,1012.0
IMCI counselling,Faridpur District,86879.0
IMCI Exclusive breast feeding,Feni District,13572.0
IMCI Drowning,Patuakhali District,93.0
IMCI Referral1,Narshingdi District,158710.0
IMCI Very Severe Disease,Jhenaidaha District,6327.0
IMCI Diarrhea,Gaibandha District,20176.0
IMCI Other Disease,Habiganj District,33144.0
IMCI Ear problem,Dhaka District,8068.0
IMCI Child Injury,Bogura District,806.0
IMCI Pus draining from Umbilicus,Jashore District,49.0
IMCI Wasting (0 - 5 years),Sylhet District,603.0
IMCI Facilitator Code,Rangpur District,2.1298738E7
IMCI Protein & energy malnutrition (PEM),Chuadanga District,222.0
IMCI Very Severe Disease,Madaripur District,1214.0
IMCI Child Injury,Bagerhat District,1203.0
IMCI Fever-no malaria,Jhenaidaha District,22627.0
IMCI Anemia (0 - 5 years),Barguna District,2206.0
IMCI counselling,Dhaka District,135245.0
IMCI Other Disease,Rajshahi District,51900.0
IMCI Facilitator Code,Bandarban District,3.4422571E7
IMCI Referral1,Gopalganj District,8006.0
IMCI Male,Lalmonirhat District,51163.0
IMCI Drowning,Maulavi Bazar District,270.0
IMCI Measles,Gaibandha District,2750.0
IMCI Anemia (0 - 5 years),Thakurgaon District,437.0
IMCI Other Disease,Rangamati District,14509.0
IMCI Stunting (0 - 5 years),Pabna District,8480.0
IMCI Fever-malaria,Gaibandha District,233.0
IMCI Moderate Acute Malnutrition,Narshingdi District,2634.0
IMCI Underweight (0 - 5 years),Satkhira District,1086.0
IMCI Female,Jhenaidaha District,51320.0
IMCI Other Disease,Khagrachhari District,29917.0
IMCI Fever-malaria,Gopalganj District,529.0
IMCI counselling,Chattogram District,183936.0
IMCI Cough & Cold no Pneumonia,Munshiganj District,92202.0
