Data,Organisation unit,Value
RN4w5hxGHRk,308273,6674.0
GYGcXE0XEzA,506403,726.0
AhQ1Net8U5z,507018,203.0
JBhv2WOYxSf,304859,80.0
GyTha0DmXeY,107976,917.0
PoAojyGYuBr,201533,456.0
GyTha0DmXeY,205158,3937.0
OHsyGAoZxnG,100636,54022.0
Vsj168YcM0W,603602,4026.0
EfLoEHPMrUL,552760,101.0
QCGhrXxmJDb,100918,76.0
PVLH8nNufJv,306120,103.0
LSNFSyDR2Ec,107838,1500.0
GyTha0DmXeY,306706,71.0
QCGhrXxmJDb,207536,1.0
wwE5TRfBuhI,201533,4341.0
Fnsa8A43USl,302638,40152.0
SW4mM4SA65U,201322,15.0
RN4w5hxGHRk,100610,12812.0
oPi0KdUUkmk,603626,1653.0
nyxjGxsZ3GY,506485,1080.0
LSNFSyDR2Ec,205133,1056.0
p4sMIzLlIqk,107980,4819.0
GyTha0DmXeY,302956,760.0
oPi0KdUUkmk,508131,4253.0
EfLoEHPMrUL,404740,30.0
f5G2bLJmbMP,501094,27.0
ji6q7h7TE3n,201954,57.0
RN4w5hxGHRk,201987,4263.0
SW4mM4SA65U,201508,81.0
NlEkfvUZ1TS,208421,0.0
AhQ1Net8U5z,404147,16.0
p4sMIzLlIqk,506915,8737.0
RTJbhrOb0LB,305487,3277.0
EAN5GjcGP6k,400158,0.0
RTJbhrOb0LB,555270,2733.0
flN1fjAmDCz,201322,12.0
Fnsa8A43USl,200314,920.0
Fnsa8A43USl,557364,1667.0
p4sMIzLlIqk,306124,2413.0
PoAojyGYuBr,306122,601.0
wwE5TRfBuhI,306122,1864.0
RTJbhrOb0LB,208436,431.0
EAN5GjcGP6k,201263,0.0
GyTha0DmXeY,207583,328.0
flN1fjAmDCz,603605,3.0
GYGcXE0XEzA,302921,5.0
NlEkfvUZ1TS,309357,15.0
JBhv2WOYxSf,554979,4.0
oPi0KdUUkmk,408743,203.0
AhQ1Net8U5z,400138,334.0
wwE5TRfBuhI,303332,4605.0
EAN5GjcGP6k,605865,8.0
fBurIvCJP0D,603611,57.0
PoAojyGYuBr,201918,855.0
NlEkfvUZ1TS,400177,0.0
wwE5TRfBuhI,201918,695.0
GZWzBoEhi1S,309325,316.0
GZWzBoEhi1S,107852,1.0
Fnsa8A43USl,201349,5964.0
Vsj168YcM0W,306120,8600.0
NlEkfvUZ1TS,309395,0.0
AhQ1Net8U5z,107895,201.0
nyxjGxsZ3GY,201518,344.0
ji6q7h7TE3n,404712,13.0
EC4hrF3y7p9,408704,487.0
PVLH8nNufJv,603602,292.0
J4LMYIjzMDh,501033,1058.0
p4sMIzLlIqk,200391,58.0
nyxjGxsZ3GY,552747,112.0
flN1fjAmDCz,201508,52.0
Vsj168YcM0W,202224,962.0
EfLoEHPMrUL,609086,13.0
p4sMIzLlIqk,400156,6172.0
GyTha0DmXeY,201994,1413.0
CRZkTTALRSb,559408,1816.0
wwE5TRfBuhI,208429,161.0
nnLPr1FqABz,304833,15.0
RN4w5hxGHRk,552777,936.0
flN1fjAmDCz,507037,263.0
EAN5GjcGP6k,404471,15.0
GyTha0DmXeY,501088,1861.0
GYGcXE0XEzA,30-72-18,3182.0
Vsj168YcM0W,405585,5468.0
p4sMIzLlIqk,609135,2866.0
PoAojyGYuBr,303332,142.0
ji6q7h7TE3n,506460,751.0
GZWzBoEhi1S,307256,44.0
EfLoEHPMrUL,605856,47.0
CRZkTTALRSb,404730,24180.0
EAN5GjcGP6k,304806,19.0
QCGhrXxmJDb,507018,53.0
EfLoEHPMrUL,404109,22.0
nyxjGxsZ3GY,553230,811.0
GZWzBoEhi1S,553230,640.0
oPi0KdUUkmk,405585,815.0
PoAojyGYuBr,609033,811.0
RN4w5hxGHRk,204643,6207.0
NlEkfvUZ1TS,208478,7.0
f5G2bLJmbMP,200304,5.0
nyxjGxsZ3GY,303336,685.0
QCGhrXxmJDb,400138,27.0
oPi0KdUUkmk,400114,1401.0
wwE5TRfBuhI,609033,2412.0
SW4mM4SA65U,507037,78.0
AhQ1Net8U5z,207521,1077.0
nnLPr1FqABz,200351,53.0
RN4w5hxGHRk,204680,1134.0
oPi0KdUUkmk,205165,9158.0
GyTha0DmXeY,100636,52.0
EfLoEHPMrUL,609194,83.0
QCGhrXxmJDb,201994,139.0
oPi0KdUUkmk,508844,796.0
RN4w5hxGHRk,557773,7.0
Fnsa8A43USl,107855,3879.0
ji6q7h7TE3n,401855,12.0
NlEkfvUZ1TS,201582,10.0
Fnsa8A43USl,100409,19371.0
p4sMIzLlIqk,100965,2269.0
PoAojyGYuBr,208429,0.0
p4sMIzLlIqk,401807,4303.0
ji6q7h7TE3n,201204,5.0
GZWzBoEhi1S,552747,2.0
RN4w5hxGHRk,208407,3092.0
AhQ1Net8U5z,306165,2895.0
Fnsa8A43USl,554961,0.0
NlEkfvUZ1TS,554906,13.0
GYGcXE0XEzA,609108,303.0
PoAojyGYuBr,304833,207.0
EAN5GjcGP6k,305440,3.0
GYGcXE0XEzA,552756,55.0
RN4w5hxGHRk,306702,12553.0
RTJbhrOb0LB,559482,2832.0
f5G2bLJmbMP,205173,17.0
GyTha0DmXeY,508889,869.0
CRZkTTALRSb,208447,1132.0
AhQ1Net8U5z,207536,1489.0
NlEkfvUZ1TS,559486,0.0
PVLH8nNufJv,204649,42.0
PoAojyGYuBr,554909,77.0
nnLPr1FqABz,553291,12.0
GYGcXE0XEzA,558527,196.0
EC4hrF3y7p9,609159,18.0
nyxjGxsZ3GY,303915,1225.0
GZWzBoEhi1S,303915,173.0
OHsyGAoZxnG,205158,2287672.0
GZWzBoEhi1S,201518,163.0
Vsj168YcM0W,204649,1265.0
EAN5GjcGP6k,309376,55.0
Fnsa8A43USl,303543,28478.0
RN4w5hxGHRk,400160,6156.0
wwE5TRfBuhI,306113,9999.0
RN4w5hxGHRk,100485,12343.0
flN1fjAmDCz,306876,24.0
EAN5GjcGP6k,308247,0.0
AhQ1Net8U5z,100918,121.0
NlEkfvUZ1TS,201936,9.0
GyTha0DmXeY,405787,220.0
GYGcXE0XEzA,506941,98.0
LSNFSyDR2Ec,557790,285.0
Fnsa8A43USl,507605,14110.0
RTJbhrOb0LB,501020,359.0
PoAojyGYuBr,306172,457.0
PVLH8nNufJv,609047,203.0
LSNFSyDR2Ec,303929,1313.0
RN4w5hxGHRk,304879,7113.0
LSNFSyDR2Ec,503861,3180.0
GYGcXE0XEzA,302910,3.0
GYGcXE0XEzA,309319,314.0
f5G2bLJmbMP,309309,21.0
GyTha0DmXeY,100918,331.0
PoAojyGYuBr,553291,446.0
J4LMYIjzMDh,605880,1876.0
EC4hrF3y7p9,100603,133.0
LSNFSyDR2Ec,558576,481.0
J4LMYIjzMDh,400173,135.0
AhQ1Net8U5z,508112,302.0
LSNFSyDR2Ec,405094,7349.0
RTJbhrOb0LB,506486,1283.0
J4LMYIjzMDh,306768,0.0
CRZkTTALRSb,304854,7835.0
AhQ1Net8U5z,107987,269.0
EC4hrF3y7p9,404104,25.0
AhQ1Net8U5z,100636,458.0
EC4hrF3y7p9,405566,4.0
LSNFSyDR2Ec,207547,849.0
RN4w5hxGHRk,404775,4915.0
Fnsa8A43USl,555239,6652.0
Fnsa8A43USl,306863,16147.0
p4sMIzLlIqk,200389,324.0
RTJbhrOb0LB,100602,1464.0
