Data,Organisation unit,Value
IMCI Drowning,Homna Upazila,8.0
IMCI counselling,Pangsha Upazila,12061.0
IMCI Underweight (0 - 5 years),Atrai Upazila,983.0
IMCI Stunting (0 - 5 years),Nangalkot Upazila,1110.0
IMCI Pneumonia,Bholahat Upazila,405.0
IMCI Breast Feed within 1 hour of birth,Panchgarh Sadar Upazila,28.0
IMCI Breast Feed within 1 hour of birth,Bochaganj Upazila,619.0
IMCI Breast Feed within 1 hour of birth,Baghai Chhari Upazila,26.0
IMCI Stunting (0 - 5 years),Ghior Upazila,5.0
IMCI Pus draining from Umbilicus,Atgharia Upazila,34.0
IMCI Anemia (0 - 5 years),Ulipur Upazila,486.0
IMCI Exclusive breast feeding,Kalapara Upazila,4573.0
IMCI Complementary Feeding (6-23 months),Palashbari Upazila,2599.0
IMCI Breast Feed within 1 hour of birth,Ramgarh Upazila,32.0
IMCI Diarrhea,Chaugachha Upazila,4508.0
IMCI Wasting (0 - 5 years),Mithamain Upazila,278.0
IMCI Cough & Cold no Pneumonia,Dupchanchia Upazila,8452.0
IMCI Wasting (0 - 5 years),Atwari Upazila,435.0
IMCI Breast Feed within 1 hour of birth,Nazirpur Upazila,2327.0
IMCI Very Severe Disease,Fatikchhari Upazila,320.0
IMCI Child Injury,Bahubal Upazila,6.0
IMCI Breast Feed within 1 hour of birth,Raipur Upazila,7767.0
IMCI Child Injury,Kazipur Upazila,474.0
IMCI Low Birth Weight,Boalkhali Upazila,28.0
IMCI Cough & Cold no Pneumonia,Ajmiriganj Upazila,6508.0
IMCI Severe Acute Malnutrition,Khansama Upazila,113.0
IMCI Stunting (0 - 5 years),Bhola Sadar Upazila,174.0
IMCI Cough & Cold no Pneumonia,Rampal Upazila,5002.0
IMCI Moderate Acute Malnutrition,Fulbaria Upazila,196.0
IMCI Exclusive breast feeding,Bauphal Upazila,4185.0
IMCI Fever-malaria Unlikely,Haluaghat Upazila,23.0
IMCI Low Birth Weight,Hathazari Upazila,271.0
IMCI Wasting (0 - 5 years),Golachipa Upazila,24.0
IMCI Breast Feed within 1 hour of birth,Bandar Upazila,190.0
IMCI Stunting (0 - 5 years),Hatiya Upazila,2.0
IMCI Fever-no malaria,Rowangchhari Upazila,752.0
IMCI Fever-no malaria,Fatikchhari Upazila,3294.0
IMCI Male,Keraniganj Upazila,47219.0
IMCI Child Injury,Chandpur Sadar Upazila,33.0
IMCI Measles,Netrokona Sadar Upazila,0.0
IMCI Wasting (0 - 5 years),Chauhali Upazila,6.0
IMCI counselling,Banaripara Upazila,25098.0
IMCI Complementary Feeding (6-23 months),Chunarughat Upazila,2061.0
IMCI Ear problem,Rani Nagar Upazila,816.0
IMCI Exclusive breast feeding,Komolnogor Upazila,1443.0
IMCI Female,Biral Upazila,9785.0
IMCI Other Disease,Pirojpur Sadar Upazila,6746.0
IMCI Stunting (0 - 5 years),Pakundia Upazila,1504.0
