Data,Organisation unit,Value
"# of adolescents received services from facility",Khulna District,102212.0
"# of Adolescent girls using sanitary napkin (Marital status)",Tangail District,283.0
"# of Adolescents received Counselling for the changes during puberty / Adolescents period",Tangail District,518.0
"# of Adolescent girls using sanitary napkin",Nilphamari District,3519.0
"# of Adolescents who knows about legal age of marriage",Nilphamari District,3876.0
"# of Adolescents received Counselling for RTI/STI (Marital status)",Jamalpur District,1631.0
"# of Adolescents measured as an under-weight (Marital status)",Tangail District,162.0
"# of Adolescents received treatment for RTI/STI",Tangail District,198.0
"# of Adolescents received Iron & Folic acid (Marital status)",Bhola District,4432.0
"# of Adolescent referred from Adolescent clubs & others",Bhola District,577.0
"# of Adolescents measured as an under-weight",Bhola District,2377.0
"# of adolescents received services from facility (Marital status)",Tangail District,1602.0
"# of sexually active adolescents using contraceptive methods",Tangail District,73.0
"# of Adolescents received Counselling for RTI/STI",Jamalpur District,1915.0
"# of Adolescents who knows about legal age of marriage",Jamalpur District,1465.0
"# of Adolescents received treatment for RTI/STI (Marital status)",Gazipur District,724.0
"# of Adolescent referred from Educational Institute",Khulna District,3164.0
"# of Adolescent girls using sanitary napkin",Tangail District,313.0
"# of Adolescents received Iron & Folic acid",Khulna District,46967.0
"# of Adolescent girls using sanitary napkin (Marital status)",Nilphamari District,2609.0
"# of Adolescents measured as an under-weight",Jamalpur District,321.0
"# of Adolescents received Counselling for the changes during puberty / Adolescents period",Nilphamari District,5988.0
"# of Adolescents received treatment for RTI/STI (Marital status)",Bhola District,3121.0
"# of Adolescents received treatment for RTI/STI (Marital status)",Jamalpur District,982.0
"# of Adolescent referred from Educational Institute",Nilphamari District,1223.0
"# of Adolescents received Counselling for the changes during puberty / Adolescents period",Jamalpur District,1348.0
"# of adolescents received services from facility (Marital status)",Nilphamari District,10197.0
"# of sexually active adolescents using contraceptive methods",Nilphamari District,309.0
"# of adolescents received services from facility (Marital status)",Khulna District,83481.0
"# of Adolescents received Iron & Folic acid",Nilphamari District,12905.0
"# of Adolescent referred from Adolescent clubs & others",Gazipur District,8.0
"# of Adolescents received treatment for RTI/STI",Nilphamari District,2755.0
"# of Adolescents received treatment for RTI/STI (Marital status)",Khulna District,20067.0
"# of Adolescents received Iron & Folic acid (Marital status)",Gazipur District,1660.0
"# of Adolescents measured as an under-weight",Nilphamari District,972.0
"# of Adolescents measured as an under-weight (Marital status)",Gazipur District,116.0
"# of Adolescents received Counselling for the changes during puberty / Adolescents period",Khulna District,40706.0
"# of adolescents received services from facility",Nilphamari District,9694036.0
"# of Adolescents received Counselling for RTI/STI",Gazipur District,2377.0
"# of Adolescents received Counselling for RTI/STI (Marital status)",Nilphamari District,4157.0
"# of Adolescent girls using sanitary napkin",Jamalpur District,854.0
"# of adolescents received services from facility (Marital status)",Jamalpur District,4170.0
"# of Adolescents measured as an under-weight (Marital status)",Bhola District,1921.0
"# of Adolescent girls using sanitary napkin",Khulna District,52122.0
"# of Adolescents received Counselling for RTI/STI",Tangail District,462.0
"# of Adolescent referred from Adolescent clubs & others",Tangail District,19.0
"# of Adolescents received Counselling for RTI/STI",Bhola District,2302.0
"# of Adolescents received Counselling for RTI/STI (Marital status)",Khulna District,18134.0
"# of Adolescents who knows about legal age of marriage",Gazipur District,1672.0
"# of adolescents received services from facility",Jamalpur District,4876.0
"# of sexually active adolescents using contraceptive methods",Bhola District,2633.0
"# of Adolescents received Counselling for RTI/STI",Khulna District,29989.0
"# of adolescents received services from facility (Marital status)",Bhola District,9223.0
"# of Adolescent referred from Educational Institute",Bhola District,325.0
"# of Adolescents received treatment for RTI/STI (Marital status)",Tangail District,183.0
"# of Adolescents received Iron & Folic acid",Bhola District,4805.0
"# of Adolescent girls using sanitary napkin",Gazipur District,1243.0
"# of Adolescents received treatment for RTI/STI",Bhola District,3684.0
"# of Adolescents received treatment for RTI/STI (Marital status)",Nilphamari District,2203.0
"# of Adolescents received treatment for RTI/STI",Gazipur District,1502.0
"# of Adolescents received Iron & Folic acid (Marital status)",Nilphamari District,4761.0
"# of sexually active adolescents using contraceptive methods",Jamalpur District,115.0
"# of Adolescent referred from Educational Institute",Jamalpur District,530.0
"# of Adolescents measured as an under-weight",Khulna District,18503.0
"# of Adolescents received Iron & Folic acid (Marital status)",Tangail District,440.0
"# of sexually active adolescents using contraceptive methods",Gazipur District,153.0
"# of Adolescent girls using sanitary napkin (Marital status)",Gazipur District,739.0
