Data,Organisation unit,Value
gqhJ7uUEVvH,303961,354.0
gqhJ7uUEVvH,404769,656.0
tZJ5q911iIz,303958,273.0
tZJ5q911iIz,557345,1979.0
i6QEYClHdq0,303915,177.0
aCNUUnn9WRa,100925,1564.0
i6QEYClHdq0,404730,2265.0
JAyhRsqgHlq,404712,2.0
SfAMOtgRGMl,303334,1005.0
WbJrqc7RiNR,557385,520.0
WbJrqc7RiNR,100954,153.0
QBuqiBnunbj,100954,134.0
tZJ5q911iIz,309338,218.0
Nx1PwHixPdu,100925,6660.0
EIYwrOwQp1b,404769,1012.0
JAyhRsqgHlq,404775,20.0
QBuqiBnunbj,557385,999.0
QBuqiBnunbj,303386,31.0
LJUDUzZRzM9,557312,23.0
WbJrqc7RiNR,303985,114.0
MjZc6wdibMI,309328,13.0
u9OhIVDEWsy,309376,36.0
MHYV3eFwGZU,100925,1382.0
aCNUUnn9WRa,100954,69.0
gqhJ7uUEVvH,309376,15.0
tZJ5q911iIz,309309,3.0
SfAMOtgRGMl,404717,312.0
WbJrqc7RiNR,100925,1512.0
QBuqiBnunbj,303915,449.0
i6QEYClHdq0,303985,64.0
QBuqiBnunbj,100925,339.0
u9OhIVDEWsy,303961,426.0
MjZc6wdibMI,309376,2.0
aCNUUnn9WRa,303929,32.0
EIYwrOwQp1b,404775,364.0
i6QEYClHdq0,404794,2570.0
Nx1PwHixPdu,303929,136.0
JAyhRsqgHlq,309319,125.0
v772UnlCScj,100965,34.0
MHYV3eFwGZU,303386,52.0
GrWwPolhzSH,100965,44.0
LJUDUzZRzM9,404794,1765.0
LJUDUzZRzM9,309309,5.0
tZJ5q911iIz,404740,234.0
EIYwrOwQp1b,303961,52.0
tZJ5q911iIz,309328,63.0
EIYwrOwQp1b,404712,175.0
vhYNM40e45e,557315,8.0
vhYNM40e45e,557385,62.0
WbJrqc7RiNR,303386,67.0
QBuqiBnunbj,303985,77.0
Nx1PwHixPdu,404753,1409.0
gqhJ7uUEVvH,309319,171.0
JAyhRsqgHlq,303961,89.0
MjZc6wdibMI,303958,1.0
SfAMOtgRGMl,303332,938.0
vhYNM40e45e,303915,21.0
gqhJ7uUEVvH,404775,333.0
u9OhIVDEWsy,404775,1336.0
u9OhIVDEWsy,404712,597.0
LJUDUzZRzM9,303915,440.0
gqhJ7uUEVvH,303907,142.0
u9OhIVDEWsy,557345,3195.0
i6QEYClHdq0,557315,33.0
Nx1PwHixPdu,303985,228.0
LJUDUzZRzM9,404730,84.0
v772UnlCScj,404712,42.0
EIYwrOwQp1b,309385,24.0
SfAMOtgRGMl,100965,67.0
EIYwrOwQp1b,309319,183.0
WbJrqc7RiNR,557336,722.0
EIYwrOwQp1b,303907,34.0
JAyhRsqgHlq,309328,42.0
vhYNM40e45e,100954,44.0
v772UnlCScj,404717,56.0
MHYV3eFwGZU,303929,120.0
LJUDUzZRzM9,303386,9.0
tZJ5q911iIz,309323,22.0
GrWwPolhzSH,303332,40.0
aCNUUnn9WRa,303985,154.0
MHYV3eFwGZU,303985,61.0
MjZc6wdibMI,404769,241.0
MjZc6wdibMI,404775,93.0
LJUDUzZRzM9,557336,101.0
u9OhIVDEWsy,404769,3338.0
i6QEYClHdq0,557385,106.0
gqhJ7uUEVvH,557345,2473.0
GrWwPolhzSH,404717,167.0
gqhJ7uUEVvH,404712,35.0
tZJ5q911iIz,557312,518.0
WbJrqc7RiNR,404730,8705.0
i6QEYClHdq0,557336,337.0
WbJrqc7RiNR,404717,311.0
GrWwPolhzSH,404775,274.0
Nx1PwHixPdu,100954,119.0
v772UnlCScj,303334,7.0
GrWwPolhzSH,303334,366.0
JAyhRsqgHlq,100965,10.0
SfAMOtgRGMl,404775,385.0
JAyhRsqgHlq,309376,2.0
GrWwPolhzSH,404712,26.0
LJUDUzZRzM9,557345,110.0
WbJrqc7RiNR,303332,562.0
LJUDUzZRzM9,557385,644.0
WbJrqc7RiNR,557315,885.0
GrWwPolhzSH,303961,70.0
MjZc6wdibMI,404712,79.0
vhYNM40e45e,309309,2.0
MjZc6wdibMI,557345,66.0
WbJrqc7RiNR,303915,984.0
v772UnlCScj,404775,214.0
i6QEYClHdq0,404717,155.0
GrWwPolhzSH,557385,311.0
SfAMOtgRGMl,404769,791.0
aCNUUnn9WRa,557315,890.0
Nx1PwHixPdu,100965,81.0
i6QEYClHdq0,404740,97.0
Nx1PwHixPdu,557315,2624.0
tZJ5q911iIz,404712,219.0
JAyhRsqgHlq,303958,6.0
gqhJ7uUEVvH,303334,633.0
aCNUUnn9WRa,309323,32.0
v772UnlCScj,100925,425.0
EIYwrOwQp1b,404764,9.0
SfAMOtgRGMl,303985,141.0
u9OhIVDEWsy,557315,1589.0
GrWwPolhzSH,404769,563.0
MjZc6wdibMI,303336,130.0
SfAMOtgRGMl,557385,1393.0
u9OhIVDEWsy,404764,46.0
Nx1PwHixPdu,309319,247.0
MHYV3eFwGZU,303336,691.0
vhYNM40e45e,404717,206.0
i6QEYClHdq0,309338,125.0
aCNUUnn9WRa,100965,76.0
aCNUUnn9WRa,309319,108.0
gqhJ7uUEVvH,404764,33.0
JAyhRsqgHlq,303929,45.0
tZJ5q911iIz,404794,1861.0
WbJrqc7RiNR,303334,834.0
QBuqiBnunbj,309309,20.0
GrWwPolhzSH,303386,26.0
EIYwrOwQp1b,303336,368.0
MHYV3eFwGZU,309309,24.0
Nx1PwHixPdu,404764,26.0
Nx1PwHixPdu,309395,374.0
u9OhIVDEWsy,557312,1720.0
MjZc6wdibMI,557312,32.0
MHYV3eFwGZU,557312,88.0
QBuqiBnunbj,303336,299.0
EIYwrOwQp1b,303334,967.0
MjZc6wdibMI,404794,55.0
aCNUUnn9WRa,303907,668.0
u9OhIVDEWsy,309385,49.0
EIYwrOwQp1b,557315,794.0
u9OhIVDEWsy,404794,3553.0
WbJrqc7RiNR,303336,209.0
tZJ5q911iIz,557336,484.0
WbJrqc7RiNR,557312,128.0
u9OhIVDEWsy,309395,374.0
u9OhIVDEWsy,303336,512.0
SfAMOtgRGMl,303915,993.0
EIYwrOwQp1b,557345,2239.0
u9OhIVDEWsy,303334,656.0
MHYV3eFwGZU,404794,2329.0
i6QEYClHdq0,309309,14.0
v772UnlCScj,309328,11.0
WbJrqc7RiNR,404764,13.0
QBuqiBnunbj,404717,261.0
aCNUUnn9WRa,404764,14.0
LJUDUzZRzM9,303958,1.0
Nx1PwHixPdu,303907,1782.0
JAyhRsqgHlq,404717,72.0
MHYV3eFwGZU,303958,6.0
Nx1PwHixPdu,309323,295.0
gqhJ7uUEVvH,303336,175.0
gqhJ7uUEVvH,303929,56.0
i6QEYClHdq0,303958,6.0
aCNUUnn9WRa,404775,336.0
QBuqiBnunbj,404794,1897.0
WbJrqc7RiNR,404794,5290.0
WbJrqc7RiNR,309385,26.0
SfAMOtgRGMl,303907,292.0
Nx1PwHixPdu,303334,1028.0
aCNUUnn9WRa,303915,822.0
Nx1PwHixPdu,404769,3400.0
gqhJ7uUEVvH,100965,54.0
QBuqiBnunbj,557336,350.0
LJUDUzZRzM9,404740,6.0
GrWwPolhzSH,309319,69.0
JAyhRsqgHlq,100925,786.0
WbJrqc7RiNR,303929,81.0
gqhJ7uUEVvH,309385,5.0
Nx1PwHixPdu,404775,1379.0
SfAMOtgRGMl,309319,171.0
QBuqiBnunbj,303929,131.0
u9OhIVDEWsy,404753,977.0
LJUDUzZRzM9,303985,40.0
GrWwPolhzSH,309338,118.0
QBuqiBnunbj,557312,215.0
MHYV3eFwGZU,557336,467.0
GrWwPolhzSH,303907,43.0
aCNUUnn9WRa,303334,696.0
WbJrqc7RiNR,100965,71.0
JAyhRsqgHlq,303336,623.0
i6QEYClHdq0,309319,20.0
aCNUUnn9WRa,404769,1208.0
MHYV3eFwGZU,303961,78.0
JAyhRsqgHlq,557312,14.0
Nx1PwHixPdu,303332,938.0
tZJ5q911iIz,303961,206.0
WbJrqc7RiNR,309328,85.0
tZJ5q911iIz,303386,143.0
vhYNM40e45e,557312,6.0
v772UnlCScj,557312,4.0
QBuqiBnunbj,404730,5745.0
Nx1PwHixPdu,557385,9678447.0
Nx1PwHixPdu,557345,3401.0
GrWwPolhzSH,303985,86.0
EIYwrOwQp1b,309328,34.0
v772UnlCScj,404794,1643.0
EIYwrOwQp1b,100965,42.0
aCNUUnn9WRa,303332,396.0
MHYV3eFwGZU,404717,111.0
vhYNM40e45e,303336,8.0
