Data,Organisation unit,Value
Babies born in facility received KMC,Mirpur Upazila,6.0
Received KMC and 2nd followed up,Baniachong Upazila,0.0
Received KMC and 1st followed up,Kathalia Upazila,3.0
Received KMC and 3rd followed up,Tarash Upazila,0.0
Received KMC and referred/discontinued,Islampur Upazila,7.0
Received KMC and 3rd followed up,Kathalia Upazila,0.0
Discharged after KMC as per protocol,Tarash Upazila,0.0
Received KMC and 2nd followed up,Senbag Upazila,0.0
Received KMC and 1st followed up,Mirzaganj Upazila,0.0
Received KMC and referred/discontinued,Koyra Upazila,0.0
Discharged after KMC as per protocol,Kumarkhali Upazila,31.0
Babies born in facility received KMC,Dewanganj Upazila,81.0
Received KMC and 3rd followed up,Rajnagar Upazila,0.0
Received KMC and 3rd followed up,Mirzaganj Upazila,0.0
Received KMC and 2nd followed up,Palash Upazila,0.0
Received KMC and referred/discontinued,Rayganj Upazila,0.0
Babies died during KMC,Kazipur Upazila,0.0
Received KMC and 2nd followed up,Bahubal Upazila,0.0
Received KMC and 3rd followed up,Ulipur Upazila,0.0
Babies received KMC,Kulaura Upazila,4.0
Discharged after KMC as per protocol,Shahjadpur Upazila,1.0
Received KMC and 3rd followed up,Shahjadpur Upazila,0.0
Received KMC and 1st followed up,Ulipur Upazila,1.0
Discharged after KMC on request,Rajapur Upazila,2.0
Discharged after KMC as per protocol,Kathalia Upazila,4.0
Received KMC and 2nd followed up,Kazipur Upazila,0.0
Received KMC and 1st followed up,Rajnagar Upazila,33.0
Discharged after KMC on request,Companiganj NK Upazila,10.0
Discharged after KMC on request,Nageshwari Upazila,4.0
Received KMC and 4th followed up,Kulaura Upazila,0.0
Received KMC and 4th followed up,Islampur Upazila,2.0
Babies died during KMC,Senbag Upazila,0.0
Babies died during KMC,Bahubal Upazila,0.0
Received KMC and 1st followed up,Kumarkhali Upazila,52.0
Received KMC and 1st followed up,Shahjadpur Upazila,1.0
Discharged after KMC as per protocol,Rajnagar Upazila,33.0
Discharged after KMC on request,Ramganj Upazila,2.0
Babies born in facility received KMC,Bheramara Upazila,26.0
Received KMC and 3rd followed up,Kumarkhali Upazila,24.0
Babies born in facility received KMC,Khoksa Upazila,28.0
Received KMC and 3rd followed up,Madarganj Upazila,0.0
Discharged after KMC on request,Kamarkhanda Upazila,0.0
Received KMC and 4th followed up,Hatiya Upazila,0.0
Received KMC and referred/discontinued,Kulaura Upazila,0.0
Discharged after KMC as per protocol,Kamalganj Upazila,0.0
Received KMC and 1st followed up,Kamalganj Upazila,0.0
Received KMC and 4th followed up,Ramgoti Upazila,0.0
Discharged after KMC on request,Madarganj Upazila,0.0
Babies received KMC,Bheramara Upazila,43.0
Discharged after KMC on request,Kumarkhali Upazila,24.0
Babies received KMC,Nalchity Upazila,2.0
Received KMC and 4th followed up,Rayganj Upazila,0.0
