Data,Organisation unit,Value
yjuOWGwYmqc,554994,572.0
sJ74iV0Q4AA,554979,34.0
aCSagugDtr8,554979,1041.0
MFiuOXgcblM,554952,2690.0
LxkL3DDPkWQ,554952,4.0
mXMEeRyNVvu,554979,48.0
PQiTIVSaMG3,554979,1050.0
WSSK1CdD3SW,554979,8.0
k3nn0MjnBYN,554994,4289.0
fHemCItaWHF,554918,2.0
TcLYWe9quMK,554952,322.0
NZlZ49U6SjN,554918,46.0
fETzFyk0L4v,554918,5.0
TcLYWe9quMK,554979,1057.0
kwH34qQEGNe,554918,1.0
W9514hLTG6D,554918,387.0
fkLjLa1i5pa,554952,130.0
DluAR5bBgRS,554918,112.0
eemtMsC2eIM,554979,1066.0
mmVezK4CFhA,554918,326.0
rRaxpV4NkJw,554918,46.0
ZOvd4lIV2YS,554979,9.0
lVwvLd0GAP3,554952,289.0
zK4EvnpVDUR,554918,104.0
ew7rcDGbAJG,554979,256.0
Z7Auvk7R12c,554918,87.0
sJ74iV0Q4AA,554952,22.0
oQ6mhgi3zUA,554952,38.0
mXMEeRyNVvu,554952,36.0
PQiTIVSaMG3,554952,299.0
xkdyzgQ2Z0d,554952,2.0
BFTYWO479aO,554918,1330.0
TcLYWe9quMK,554918,303.0
XSILZrhb4Ha,554918,305.0
NZlZ49U6SjN,554952,307.0
DacIgCB0RAq,554952,6.0
aCSagugDtr8,554952,324.0
Z7Auvk7R12c,554979,247.0
DsKLoeFOo5s,554918,2.0
MhJ01rtQdCr,554994,1.0
fETzFyk0L4v,554952,52.0
ef0DNqKwhSC,554994,245.0
fUMh5eXVP4M,554979,51.0
eemtMsC2eIM,554918,6873.0
OhSA5dQh6mc,554979,10.0
Z7Auvk7R12c,554952,48.0
eemtMsC2eIM,554952,3938.0
PQiTIVSaMG3,554918,319.0
SRhGzNOw4HM,554979,1.0
mmVezK4CFhA,554994,625.0
NZlZ49U6SjN,554979,632.0
OhSA5dQh6mc,554952,11.0
zpWJXw2iwMr,554994,1.0
MFiuOXgcblM,554918,4610.0
lVwvLd0GAP3,554918,311.0
DacIgCB0RAq,554979,39.0
xkdyzgQ2Z0d,554979,17.0
WSSK1CdD3SW,554918,6.0
LxkL3DDPkWQ,554979,18.0
oQ6mhgi3zUA,554918,5.0
que9GdwI0zB,554994,30.0
J9jN4eRuv8d,554994,749.0
JVxL7kfHERM,554918,1.0
ew7rcDGbAJG,554952,48.0
sJ74iV0Q4AA,554918,3.0
fkLjLa1i5pa,554979,397.0
mXMEeRyNVvu,554918,7.0
olXUCkZ7oUM,554979,51.0
dqWONERQ49X,554979,891.0
DsKLoeFOo5s,554952,1.0
mCxbDcAGOgu,554979,1460.0
PQJuVOlDIgP,554952,171.0
kwH34qQEGNe,554979,18.0
CMdnu5HPkNB,554994,26.0
ef0DNqKwhSC,554952,137.0
dqWONERQ49X,554994,3802.0
kwH34qQEGNe,554994,2.0
fUMh5eXVP4M,554952,6.0
yjuOWGwYmqc,554918,285.0
mCxbDcAGOgu,554994,621.0
