Data,Organisation unit,Value
MBFFI|# of preterm newborns died in facility in SCANU/NSU (outborn),Kurigram District,156.0
MBFFI|Number of pregnant women with APH managed as per guideline,Kurigram District,80.0
MBFFI|No. of  Quality Improvement committee meeting,Kurigram District,114.0
MBFFI|# postpartum mothers received 2nd PNC,Kurigram District,5889.0
MBFFI|No. of  Quality Improvement committee meeting with proper resolution,Kurigram District,100.0
MBFFI|Facility Deliveries by EMEN standards amongst all deliveries,Kurigram District,6354.0
MBFFI|# newborns received 4th PNC,Kurigram District,1450.0
MBFFI|# women in labour whose partograph was done,Kurigram District,2371.0
MBFFI|# of newborns for whom additional support for BF is provided(outborn),Kurigram District,4518.0
MBFFI|# of late(8-28 days) newborns deaths out of full term babies  (inborn),Kurigram District,43.0
MBFFI|# of pregnant  women with  ruptured membrane given antibiotics,Kurigram District,2019.0
MBFFI|No. of neonatal sepsis cases managed with antibiotics,Kurigram District,1513.0
MBFFI|# of early (0-7 days)newborns deaths of preterm babies delivered in facility,Kurigram District,92.0
MBFFI|# Pregnant women received folic acid in 1st trimester,Kurigram District,13286.0
MBFFI|# postpartum mothers received 4th  PNC,Kurigram District,1609.0
MBFFI|Number of  pre term  babies born in facility,Kurigram District,569.0
MBFFI|# premature newborns(inborn )  referred out,Kurigram District,82.0
MBFFI|Number of sick newborns (inborn and outborn)managed in NSU/SCANU,Kurigram District,5524.0
MBFFI|# postpartum newborns  received 2nd PNC,Kurigram District,5483.0
MBFFI|Antibiotics for newborn sepsis (inborn),Kurigram District,180.0
MBFFI|No. of  MNH work Improvement committee meeting with proper resolution,Kurigram District,49.0
MBFFI|No. of  MNH work Improvement committee meeting,Kurigram District,50.0
MBFFI|Total newborn sepsis cases in facility,Kurigram District,1058.0
MBFFI|# pregnant women with labour pain rapidly assessed within 30 min of arrival,Kurigram District,8648.0
MBFFI|Number of  full term  babies born in facility,Kurigram District,6558.0
MBFFI|# newborns whose cord clamped between 1-3 min after birth,Kurigram District,6791.0
MBFFI|# postpartum mothers received counseling including BF  afetr delivery/before discharge,Kurigram District,6933.0
MBFFI|Number of newborns dried immediately after birth,Kurigram District,6403.0
MBFFI|Number of   delivered newborns in facility given  ENC,Kurigram District,6455.0
MBFFI|# postpartum newborns received 1st PNC,Kurigram District,7461.0
MBFFI|# pregnant women who are poor and received financial support/free services,Kurigram District,853.0
MBFFI|Number of neonatal deaths (inborns),Kurigram District,134.0
MBFFI|Number of pregnant women with delivery or obstructed complication refered out,Kurigram District,576.0
MBFFI|# pregnant women received TT during ANC,Kurigram District,21352.0
MBFFI|Total inborn newborn sepsis cases in facility (inborn and outborn),Kurigram District,1558.0
MBFFI|# postpartum mothers received 1st PNC,Kurigram District,8028.0
MBFFI|# newborns received 3rd PNC,Kurigram District,1956.0
MBFFI|# sick newborns (inborn ) managed in NSU/SCANU,Kurigram District,686.0
MBFFI|# sick newborns(inborn) referred,Kurigram District,167.0
MBFFI|# of deaths preterm newborns(inborn),Kurigram District,48.0
MBFFI|Number of facility maternal deaths audited,Kurigram District,5.0
MBFFI|# of late(8-28 days) newborns deaths out of preterm babies (inborn),Kurigram District,23.0
MBFFI|# pregnant women with  puerperal sepsis with triple  antibiotics,Kurigram District,160.0
MBFFI|# pregnant women received 10 units of oxytocin within 1 min of all deliveries,Kurigram District,6816.0
MBFFI|Facility Deliveries done following  EMEN standards,Kurigram District,6338.0
"MBFFI|# of pregnant women had minimal investigations (blood group and rh typing, urine sugar/ urine albumin, Hb, USG) during ANC",Kurigram District,22417.0
MBFFI|Number of LBW given KMC,Kurigram District,171.0
MBFFI|No. of women given birth between 24-34 completed gestational week,Kurigram District,428.0
MBFFI|# postpartum mothers received 3rd PNC,Kurigram District,2167.0
MBFFI|Antibiotics for newborn sepsis (inborn and outborn),Kurigram District,1512.0
MBFFI|# pregnant women with prolongd labour managed as per guideline,Kurigram District,525.0
MBFFI|# of newborns for whom additional support for BF is provided(inborn),Kurigram District,4025.0
MBFFI|Number of facility neonatal deaths audited,Kurigram District,280.0
MBFFI|# of  full term newborns died in SCANU/NSU (outborn),Kurigram District,281.0
MBFFI|Total newborn sepsis cases in facility (inborn ),Kurigram District,171.0
MBFFI|# of early(0-7 days) newborns deaths of full term babies delivered in facility,Kurigram District,203.0
MBFFI|Number of facility perinatal deaths audited,Kurigram District,169.0
MBFFI|No. of ongoing PDCA,Kurigram District,65.0
MBFFI|ANC service provided as per EMEN standards,Kurigram District,35919.0
MBFFI|Number of pregnant women with preeclampsia/eclampsia managed according to guideline,Kurigram District,240.0
MBFFI|# pregnant women counseled for newborn care including   breastfeeding,Kurigram District,34973.0
MBFFI|Facility LBWs amongst delivered,Kurigram District,484.0
MBFFI|# of WIT meetings took place(total) in a facility,Kurigram District,2633.0
MBFFI|# delivered newborns for which weight was measured,Kurigram District,7153.0
MBFFI|# pregnant women for whom appropriate action was taken for any abnormality detected by partograph,Kurigram District,382.0
