Data,Organisation unit,Value
MBFFI|Number of  full term  babies born in facility,Ulipur Upazila,1089.0
MBFFI|# sick newborns(inborn) referred,Roumari Upazila,46.0
MBFFI|# of  full term newborns died in SCANU/NSU (outborn),Fulbari KG Upazila,4.0
MBFFI|Number of newborns dried immediately after birth,Roumari Upazila,1837.0
MBFFI|ANC service provided as per EMEN standards,Fulbari KG Upazila,3299.0
MBFFI|# premature newborns(inborn )  referred out,Fulbari KG Upazila,5.0
MBFFI|# sick newborns (inborn ) managed in NSU/SCANU,Roumari Upazila,63.0
MBFFI|# pregnant women received 10 units of oxytocin within 1 min of all deliveries,Roumari Upazila,1848.0
MBFFI|No. of ongoing PDCA,Roumari Upazila,12.0
"MBFFI|# of pregnant women had minimal investigations (blood group and rh typing, urine sugar/ urine albumin, Hb, USG) during ANC",Ulipur Upazila,10188.0
MBFFI|# of newborns for whom additional support for BF is provided(inborn),Nageshwari Upazila,2.0
MBFFI|# delivered newborns for which weight was measured,Fulbari KG Upazila,562.0
MBFFI|# postpartum newborns  received 2nd PNC,Nageshwari Upazila,65.0
MBFFI|Facility LBWs amongst delivered,Nageshwari Upazila,10.0
MBFFI|# delivered newborns for which weight was measured,Roumari Upazila,1843.0
MBFFI|Number of neonatal deaths (inborns),Nageshwari Upazila,1.0
MBFFI|# postpartum mothers received counseling including BF  afetr delivery/before discharge,Nageshwari Upazila,604.0
MBFFI|# newborns received 3rd PNC,Fulbari KG Upazila,144.0
MBFFI|# pregnant women who are poor and received financial support/free services,Nageshwari Upazila,234.0
MBFFI|# pregnant women counseled for newborn care including   breastfeeding,Roumari Upazila,1920.0
MBFFI|# postpartum newborns received 1st PNC,Nageshwari Upazila,538.0
MBFFI|# postpartum mothers received 2nd PNC,Nageshwari Upazila,67.0
MBFFI|# of  full term newborns died in SCANU/NSU (outborn),Nageshwari Upazila,1.0
MBFFI|# of  full term newborns died in SCANU/NSU (outborn),Roumari Upazila,9.0
MBFFI|Facility Deliveries by EMEN standards amongst all deliveries,Fulbari KG Upazila,537.0
MBFFI|# women in labour whose partograph was done,Nageshwari Upazila,179.0
MBFFI|# postpartum mothers received 4th  PNC,Roumari Upazila,505.0
MBFFI|# newborns received 4th PNC,Nageshwari Upazila,108.0
MBFFI|# sick newborns(inborn) referred,Fulbari KG Upazila,25.0
MBFFI|Number of sick newborns (inborn and outborn)managed in NSU/SCANU,Fulbari KG Upazila,54.0
MBFFI|# sick newborns (inborn ) managed in NSU/SCANU,Fulbari KG Upazila,45.0
MBFFI|# pregnant women received 10 units of oxytocin within 1 min of all deliveries,Fulbari KG Upazila,547.0
MBFFI|No. of women given birth between 24-34 completed gestational week,Fulbari KG Upazila,2.0
MBFFI|# Pregnant women received folic acid in 1st trimester,Nageshwari Upazila,2979.0
MBFFI|# delivered newborns for which weight was measured,Nageshwari Upazila,485.0
MBFFI|Facility Deliveries done following  EMEN standards,Nageshwari Upazila,495.0
MBFFI|No. of ongoing PDCA,Fulbari KG Upazila,2.0
MBFFI|# postpartum newborns  received 2nd PNC,Fulbari KG Upazila,370.0
MBFFI|Antibiotics for newborn sepsis (inborn),Fulbari KG Upazila,8.0
MBFFI|Number of newborns dried immediately after birth,Fulbari KG Upazila,563.0
MBFFI|# newborns received 4th PNC,Roumari Upazila,490.0
MBFFI|Number of pregnant women with preeclampsia/eclampsia managed according to guideline,Nageshwari Upazila,5.0
MBFFI|# of late(8-28 days) newborns deaths out of full term babies  (inborn),Ulipur Upazila,1.0
MBFFI|Facility LBWs amongst delivered,Fulbari KG Upazila,62.0
MBFFI|# of pregnant  women with  ruptured membrane given antibiotics,Ulipur Upazila,486.0
MBFFI|Antibiotics for newborn sepsis (inborn and outborn),Roumari Upazila,93.0
MBFFI|# pregnant women counseled for newborn care including   breastfeeding,Nageshwari Upazila,9563.0
MBFFI|No. of  Quality Improvement committee meeting,Roumari Upazila,21.0
MBFFI|# newborns received 4th PNC,Fulbari KG Upazila,53.0
MBFFI|# pregnant women counseled for newborn care including   breastfeeding,Fulbari KG Upazila,4727.0
MBFFI|# pregnant women received 10 units of oxytocin within 1 min of all deliveries,Nageshwari Upazila,509.0
MBFFI|Number of facility maternal deaths audited,Roumari Upazila,1.0
MBFFI|# postpartum newborns received 1st PNC,Ulipur Upazila,1177.0
MBFFI|# postpartum newborns  received 2nd PNC,Roumari Upazila,978.0
MBFFI|No. of  Quality Improvement committee meeting,Fulbari KG Upazila,23.0
MBFFI|Number of pregnant women with APH managed as per guideline,Ulipur Upazila,2.0
MBFFI|ANC service provided as per EMEN standards,Nageshwari Upazila,8047.0
MBFFI|Facility Deliveries by EMEN standards amongst all deliveries,Nageshwari Upazila,501.0
MBFFI|Antibiotics for newborn sepsis (inborn),Roumari Upazila,53.0
MBFFI|No. of women given birth between 24-34 completed gestational week,Roumari Upazila,33.0
MBFFI|No. of ongoing PDCA,Nageshwari Upazila,7.0
MBFFI|# premature newborns(inborn )  referred out,Roumari Upazila,19.0
MBFFI|Number of sick newborns (inborn and outborn)managed in NSU/SCANU,Nageshwari Upazila,5.0
MBFFI|# pregnant women with prolongd labour managed as per guideline,Ulipur Upazila,39.0
MBFFI|# postpartum mothers received 3rd PNC,Ulipur Upazila,749.0
MBFFI|Number of facility neonatal deaths audited,Nageshwari Upazila,2.0
MBFFI|# postpartum mothers received 4th  PNC,Fulbari KG Upazila,51.0
MBFFI|# sick newborns(inborn) referred,Nageshwari Upazila,10.0
MBFFI|# newborns received 3rd PNC,Roumari Upazila,693.0
MBFFI|# sick newborns (inborn ) managed in NSU/SCANU,Nageshwari Upazila,14.0
MBFFI|Total inborn newborn sepsis cases in facility (inborn and outborn),Roumari Upazila,93.0
MBFFI|# pregnant women received TT during ANC,Roumari Upazila,1382.0
MBFFI|Number of pregnant women with preeclampsia/eclampsia managed according to guideline,Fulbari KG Upazila,1.0
MBFFI|# postpartum mothers received 1st PNC,Roumari Upazila,2574.0
MBFFI|# of WIT meetings took place(total) in a facility,Fulbari KG Upazila,347.0
MBFFI|Number of neonatal deaths (inborns),Roumari Upazila,40.0
MBFFI|Number of  pre term  babies born in facility,Ulipur Upazila,64.0
MBFFI|# of pregnant  women with  ruptured membrane given antibiotics,Fulbari KG Upazila,256.0
MBFFI|# pregnant women received TT during ANC,Ulipur Upazila,7841.0
MBFFI|Number of neonatal deaths (inborns),Ulipur Upazila,4.0
