Data,Organisation unit,Value
Number of Cataract surgeries performed,Fultala Upazila,1868.0
Number of Cataract surgeries performed,Saidpur Upazila,623.0
Number of Retinal surgeries performed,Ulipur Upazila,2.0
Number of Cataract surgeries performed,Sirajganj Sadar Upazila,6983.0
Number of Cataract surgeries performed,Rangpur Sadar Upazila,4368.0
Number of Other surgeries performed,Bagerhat Sadar Upazila,543.0
Number of Cataract surgeries performed,Bagerhat Sadar Upazila,6587.0
Number of Cataract surgeries performed,Gopalganj Sadar Upazila,1684.0
Number of Oculoplasti surgeries performed,Gopalganj Sadar Upazila,571.0
Number of Corneal surgeries performed,Ulipur Upazila,4.0
Number of Other surgeries performed,Sirajganj Sadar Upazila,1620.0
Number of Other surgeries performed,Ulipur Upazila,2685.0
Number of Other surgeries performed,Gopalganj Sadar Upazila,71.0
Number of Cataract surgeries performed,Ulipur Upazila,9543.0
Number of Glaucoma surgeries performed,Ulipur Upazila,3.0
Number of Other surgeries performed,Fultala Upazila,925.0
Number of Other surgeries performed,Saidpur Upazila,193.0
Number of Other surgeries performed,Rangpur Sadar Upazila,1024.0
