Data,Organisation unit,Value
U3ZpDakJ67z,557385,2135.0
lKp7Mwv3ueH,554994,8583.0
wM5QwrgAqKG,400108,10221.0
J7RKpEgAwnR,508878,47431.0
U3ZpDakJ67z,558549,3512.0
wM5QwrgAqKG,404769,26768.0
lKp7Mwv3ueH,558549,2989.0
lKp7Mwv3ueH,404769,2720.0
lKp7Mwv3ueH,557385,231.0
BxSyR0F5wf8,508878,8085.0
wM5QwrgAqKG,554994,51237.0
xNYMeVeeTsc,400108,2448.0
NF5mYWDWxXz,554994,593.0
U3ZpDakJ67z,404769,4567.0
U3ZpDakJ67z,303532,33880.0
AwMPQdaeYIx,557385,2343.0
xNYMeVeeTsc,554994,26659.0
J7RKpEgAwnR,557385,2639.0
NF5mYWDWxXz,404769,2187.0
DIiXf5r4Cbo,508878,279.0
BxSyR0F5wf8,558549,8770.0
wM5QwrgAqKG,557385,2343.0
AwMPQdaeYIx,305480,4464.0
AwMPQdaeYIx,554994,41306.0
DIiXf5r4Cbo,303532,567.0
xNYMeVeeTsc,557385,1578.0
lKp7Mwv3ueH,303532,4781.0
xNYMeVeeTsc,305480,1770.0
U3ZpDakJ67z,508878,5488.0
wM5QwrgAqKG,303532,45716.0
J7RKpEgAwnR,303532,53821.0
AwMPQdaeYIx,404769,24171.0
wM5QwrgAqKG,508878,43937.0
AwMPQdaeYIx,400108,7748.0
J7RKpEgAwnR,554994,17772.0
J7RKpEgAwnR,400108,20218.0
AwMPQdaeYIx,303532,46208.0
J7RKpEgAwnR,404769,18225.0
NF5mYWDWxXz,557385,49.0
xNYMeVeeTsc,508878,8790.0
BxSyR0F5wf8,400108,807.0
BxSyR0F5wf8,404769,13527.0
DIiXf5r4Cbo,554994,468.0
lKp7Mwv3ueH,508878,2803.0
NF5mYWDWxXz,558549,4.0
NF5mYWDWxXz,508878,44.0
DIiXf5r4Cbo,404769,1426.0
J7RKpEgAwnR,558549,2952.0
BxSyR0F5wf8,554994,19753.0
DIiXf5r4Cbo,557385,99.0
DIiXf5r4Cbo,558549,271.0
AwMPQdaeYIx,558549,22719.0
wM5QwrgAqKG,558549,20351.0
BxSyR0F5wf8,557385,563.0
xNYMeVeeTsc,404769,4735.0
BxSyR0F5wf8,303532,50474.0
lKp7Mwv3ueH,400108,274.0
U3ZpDakJ67z,554994,9335.0
xNYMeVeeTsc,558549,10797.0
AwMPQdaeYIx,508878,24797.0
NF5mYWDWxXz,303532,115.0
