Data,Organisation unit,Value
Number of people prescribed for spectacles,Fultala Upazila,24171.0
Number of people prescribed for spectacles,Bagerhat Sadar Upazila,4712.0
Number of people prescribed for spectacles,Gopalganj Sadar Upazila,12960.0
Number of people examined,Ulipur Upazila,39176.0
Number of people received spectacles,Sirajganj Sadar Upazila,8004.0
Number of People screened for cataract surgery,Rajoir Upazila,1986.0
Number of People screened for cataract surgery,Rangpur Sadar Upazila,3996.0
Number of People screened for cataract surgery,Bagerhat Sadar Upazila,3606.0
Number of people examined,Fultala Upazila,11992.0
Number of people examined,Saidpur Upazila,3477.0
Number of people examined,Rangpur Sadar Upazila,20654.0
Number of people received spectacles,Bagerhat Sadar Upazila,1798.0
Number of People screened for cataract surgery,Sirajganj Sadar Upazila,4245.0
Number of people examined,Rajoir Upazila,23926.0
Number of People screened for cataract surgery,Ulipur Upazila,7741.0
Number of people prescribed for spectacles,Rangpur Sadar Upazila,13716.0
Number of People screened for cataract surgery,Gopalganj Sadar Upazila,7608.0
Number of people prescribed for spectacles,Saidpur Upazila,2343.0
Number of people received spectacles,Ulipur Upazila,16050.0
Number of people prescribed for spectacles,Rajoir Upazila,1667.0
Number of people examined,Sirajganj Sadar Upazila,12638.0
Number of people examined,Gopalganj Sadar Upazila,14772.0
Number of people prescribed for spectacles,Ulipur Upazila,22709.0
Number of people received spectacles,Fultala Upazila,4735.0
Number of people received spectacles,Saidpur Upazila,1578.0
Number of People screened for cataract surgery,Fultala Upazila,3010.0
Number of People screened for cataract surgery,Saidpur Upazila,965.0
Number of people examined,Bagerhat Sadar Upazila,13809.0
Number of people received spectacles,Rajoir Upazila,1012.0
Number of people received spectacles,Rangpur Sadar Upazila,5771.0
Number of people prescribed for spectacles,Sirajganj Sadar Upazila,20931.0
