Data,Organisation unit,Value
AwMPQdaeYIx,404769,24171.0
AwMPQdaeYIx,400108,4712.0
AwMPQdaeYIx,303532,12960.0
a1IGNvTmbSl,554994,43642.0
xNYMeVeeTsc,508878,8043.0
nqdkGCEtaYk,305480,1986.0
nqdkGCEtaYk,558549,4681.0
nqdkGCEtaYk,400108,4006.0
a1IGNvTmbSl,404769,11992.0
a1IGNvTmbSl,557385,3477.0
a1IGNvTmbSl,558549,24874.0
xNYMeVeeTsc,400108,1798.0
nqdkGCEtaYk,508878,4449.0
a1IGNvTmbSl,305480,23926.0
nqdkGCEtaYk,554994,8540.0
AwMPQdaeYIx,558549,14342.0
nqdkGCEtaYk,303532,7608.0
AwMPQdaeYIx,557385,2343.0
xNYMeVeeTsc,554994,16508.0
AwMPQdaeYIx,305480,1667.0
a1IGNvTmbSl,508878,13594.0
a1IGNvTmbSl,303532,14772.0
AwMPQdaeYIx,554994,23950.0
xNYMeVeeTsc,404769,4735.0
xNYMeVeeTsc,557385,1578.0
nqdkGCEtaYk,404769,3010.0
nqdkGCEtaYk,557385,965.0
a1IGNvTmbSl,400108,15574.0
xNYMeVeeTsc,305480,1012.0
xNYMeVeeTsc,558549,5853.0
AwMPQdaeYIx,508878,21260.0
