Data,Organisation unit,Value
xNYMeVeeTsc,4087,202.0
AwMPQdaeYIx,5064,1422.0
a1IGNvTmbSl,5088,28529.0
nqdkGCEtaYk,5549,15659.0
xNYMeVeeTsc,4041,2372.0
xNYMeVeeTsc,4047,4735.0
AwMPQdaeYIx,3089,276.0
a1IGNvTmbSl,5549,80827.0
AwMPQdaeYIx,5088,24797.0
nqdkGCEtaYk,3035,39588.0
xNYMeVeeTsc,5069,6780.0
a1IGNvTmbSl,4001,27641.0
AwMPQdaeYIx,1006,242.0
AwMPQdaeYIx,4001,7993.0
a1IGNvTmbSl,4047,14689.0
nqdkGCEtaYk,5088,8704.0
AwMPQdaeYIx,3054,4516.0
AwMPQdaeYIx,5549,41435.0
AwMPQdaeYIx,5038,1325.0
a1IGNvTmbSl,3054,46622.0
xNYMeVeeTsc,3089,1887.0
nqdkGCEtaYk,4047,3291.0
xNYMeVeeTsc,5549,26659.0
xNYMeVeeTsc,3067,120.0
xNYMeVeeTsc,5038,487.0
xNYMeVeeTsc,4001,2448.0
a1IGNvTmbSl,5573,3477.0
AwMPQdaeYIx,4047,24171.0
nqdkGCEtaYk,3054,3909.0
a1IGNvTmbSl,5585,44143.0
AwMPQdaeYIx,3067,1040.0
nqdkGCEtaYk,5585,7384.0
xNYMeVeeTsc,3054,1830.0
AwMPQdaeYIx,4055,43.0
xNYMeVeeTsc,5585,10797.0
a1IGNvTmbSl,3035,52683.0
AwMPQdaeYIx,3056,5765.0
xNYMeVeeTsc,5088,8890.0
nqdkGCEtaYk,5573,965.0
xNYMeVeeTsc,5573,1578.0
AwMPQdaeYIx,5585,22719.0
AwMPQdaeYIx,2012,4765.0
AwMPQdaeYIx,4018,415.0
nqdkGCEtaYk,4001,6561.0
AwMPQdaeYIx,5069,11155.0
AwMPQdaeYIx,2075,380.0
AwMPQdaeYIx,3093,4057.0
AwMPQdaeYIx,3035,46208.0
AwMPQdaeYIx,4087,160.0
AwMPQdaeYIx,5573,2343.0
