Data,Organisation unit,Value
sNSYazCOL8e,304811,100.0
T7ThgDxkBn0,508889,33.9
IeQMbigrLAk,303386,138.7
sNSYazCOL8e,201578,51.6
IeQMbigrLAk,100694,223.3
T7ThgDxkBn0,309309,5.3
T7ThgDxkBn0,501088,3.6
IeQMbigrLAk,405015,133.8
IeQMbigrLAk,507683,159.1
IeQMbigrLAk,107914,212.9
IeQMbigrLAk,107958,108.8
T7ThgDxkBn0,609027,2.0
sNSYazCOL8e,506486,100.0
T7ThgDxkBn0,107876,7.3
sNSYazCOL8e,201504,87.0
T7ThgDxkBn0,554994,27.6
sNSYazCOL8e,501067,62.0
T7ThgDxkBn0,104243,16.2
IeQMbigrLAk,201994,114.2
T7ThgDxkBn0,605880,25.0
dkH2pnlfHLY,408747,28635.0
dkH2pnlfHLY,303334,31860.0
T7ThgDxkBn0,405566,828.1
sNSYazCOL8e,508125,84.1
IeQMbigrLAk,201512,150.9
dkH2pnlfHLY,201975,2722.0
sNSYazCOL8e,400114,81.0
dkH2pnlfHLY,304879,22911.0
T7ThgDxkBn0,305670,4.5
T7ThgDxkBn0,303558,4.2
dkH2pnlfHLY,609018,7591.0
T7ThgDxkBn0,201915,47.0
dkH2pnlfHLY,207536,27836.0
sNSYazCOL8e,205165,62.0
sNSYazCOL8e,100409,130.0
sNSYazCOL8e,306864,64.5
dkH2pnlfHLY,040706,29243.0
dkH2pnlfHLY,552769,12981.3
sNSYazCOL8e,201547,95.1
dkH2pnlfHLY,609159,15044.0
dkH2pnlfHLY,305622,26088.0
sNSYazCOL8e,508844,57.0
IeQMbigrLAk,200395,40.1
sNSYazCOL8e,507605,66.2
IeQMbigrLAk,201537,183.1
IeQMbigrLAk,552747,126.3
IeQMbigrLAk,609032,65.6
T7ThgDxkBn0,100447,8.3
IeQMbigrLAk,404104,229.6
T7ThgDxkBn0,307256,5.5
IeQMbigrLAk,552721,93.4
dkH2pnlfHLY,552738,24180.0
IeQMbigrLAk,303915,199.1
T7ThgDxkBn0,107852,9.2
IeQMbigrLAk,204643,244.4
IeQMbigrLAk,552777,156.5
dkH2pnlfHLY,303591,21577.0
IeQMbigrLAk,557385,0.0
