Data,Organisation unit,Value
No. of sanctioned beds,Bhariab Upazila,100.1
Average length of stay,Tarash Upazila,3.7
Bed occupancy rate,Sreepur Upazila,134.6
No. of sanctioned beds,Sandwip Upazila,54.3
Bed occupancy rate,Wazirpur Upazila,191.1
Average length of stay,Basail Upazila,5.1
Average length of stay,Sherpur Upazila,3.7
Bed occupancy rate,Bheramara Upazila,140.7
Bed occupancy rate,Sujanagar Upazila,157.2
Bed occupancy rate,Bhandaria Upazila,208.6
Bed occupancy rate,Mathbaria Upazila,160.0
Average length of stay,Derai Upazila,3.3
No. of sanctioned beds,Sapahar Upazila,100.1
Average length of stay,Mirzaganj Upazila,6.9
No. of sanctioned beds,Anowara Upazila,100.1
Average length of stay,Ulipur Upazila,5.6
No. of sanctioned beds,Nandigram Upazila,62.1
Average length of stay,Kathalia Upazila,10.5
Bed occupancy rate,Titas Upazila,127.3
Average length of stay,Rajnagar Upazila,6.4
Total patient days,Kaliganj SK Upazila,29683.0
Total patient days,Kaliganj GZ Upazila,34650.0
Average length of stay,Mohammadpur Upazila,98.9
No. of sanctioned beds,Charghat Upazila,84.2
Bed occupancy rate,Boalkhali Upazila,145.0
Total patient days,Meghna Upazila,2722.0
No. of sanctioned beds,Chitalmari Upazila,81.1
Total patient days,Pakundia Upazila,25926.0
Average length of stay,Saturia Upazila,97.8
Average length of stay,Muksudpur Upazila,397.1
Total patient days,Bishwambarpur Upazila,15862.0
Average length of stay,Brahman Para Upazila,5.6
Total patient days,Hatiya Upazila,31417.0
No. of sanctioned beds,Ramganj Upazila,62.1
No. of sanctioned beds,Amtali Upazila,152.7
No. of sanctioned beds,Raipura Upazila,62.1
Total patient days,Tongi Upazila,27389.0
Total patient days,Nawabganj DP Upazila,14063.5
No. of sanctioned beds,Lohagora Upazila,96.1
Total patient days,Kanaighat Upazila,14842.0
Total patient days,Ghior Upazila,23847.0
No. of sanctioned beds,Kamarkhanda Upazila,62.1
Bed occupancy rate,Thanchi Upazila,39.0
No. of sanctioned beds,Atgharia Upazila,62.1
Bed occupancy rate,Hathazari Upazila,181.0
Bed occupancy rate,Hakimpur Upazila,103.4
Bed occupancy rate,Dowara Bazar Upazila,65.6
Average length of stay,Betagi Upazila,9.0
Bed occupancy rate,Abhaynagar Upazila,219.6
Average length of stay,Madan Upazila,6.6
Bed occupancy rate,Bochaganj Upazila,87.8
Total patient days,Fulbari DP Upazila,24973.0
Bed occupancy rate,Dewanganj Upazila,183.7
Average length of stay,Dashmina Upazila,5.1
Bed occupancy rate,Dighinala Upazila,246.9
Bed occupancy rate,Parbatipur Upazila,167.2
Total patient days,Tungipara Upazila,16674.8
Bed occupancy rate,Saidpur Upazila,0.0
Total patient days,Nagarkanda Upazila,33459.0
Bed occupancy rate,Chandanaish Upazila,205.8
Total patient days,Mohanpur Upazila,16969.0
Total patient days,Pangsha Upazila,38783.0
No. of sanctioned beds,Paikgachha Upazila,102.7
Total patient days,Bakshiganj Upazila,22330.0
No. of sanctioned beds,Gangni Upazila,62.1
Average length of stay,Modhukhali Upazila,3.0
No. of sanctioned beds,Bhurungamari Upazila,62.1
Bed occupancy rate,Goalanda Ghat Upazila,189.9
Total patient days,Sakhipur Upazila,30162.0
Average length of stay,Dhanbari Upzila,0.0
Bed occupancy rate,Bandar Upazila,120.9
No. of sanctioned beds,Nagarpur Upazila,75.8
Bed occupancy rate,Gobindaganj Upazila,219.4
Total patient days,Bholahat Upazila,16518.0
Total patient days,Rani Nagar Upazila,17760.0
Total patient days,Kapasia Upazila,40349.0
No. of sanctioned beds,Baliakandi Upazila,81.1
Total patient days,Goalanda Ghat Upazila,27111.0
Bed occupancy rate,Jaldhaka Upazila,208.2
Average length of stay,Tongibari Upazila,4.3
Average length of stay,Sonaimuri Upazila,446.8
No. of sanctioned beds,Kutubdia Upazila,100.1
Total patient days,Sadarpur Upazila,19738.0
Bed occupancy rate,Raipur Upazila,153.2
Total patient days,Sharsa Upazila,18967.0
Average length of stay,Rajapur Upazila,7.5
Average length of stay,Chatmohor Upazila,4.5
Average length of stay,Kotchandpur Upazila,3.8
Average length of stay,Aditmari Upazila,6.1
Bed occupancy rate,Rangunia Upazila,175.6
Bed occupancy rate,Gournadi Upazila,222.4
Total patient days,Chauhali Upazila,6109.0
Average length of stay,Jamalganj Upazila,3.7
No. of sanctioned beds,Hossainpur Upazila,100.1
Total patient days,Puthiya Upazila,24676.0
Average length of stay,Thanchi Upazila,3.9
Total patient days,Nangalkot Upazila,14412.0
