Data,Organisation unit,Value
T7ThgDxkBn0,2013,102.6
IeQMbigrLAk,6091,1620.9
T7ThgDxkBn0,4087,1699.6
dkH2pnlfHLY,3082,192931.0
dkH2pnlfHLY,5532,244483.0
dkH2pnlfHLY,4041,581203.0
IeQMbigrLAk,3039,1232.4
sNSYazCOL8e,2015,1705.1
dkH2pnlfHLY,4087,304602.4
T7ThgDxkBn0,1004,36.2
sNSYazCOL8e,2003,492.5
dkH2pnlfHLY,5573,310047.0
dkH2pnlfHLY,2013,359361.0
sNSYazCOL8e,2084,512.6
sNSYazCOL8e,3059,683.9
T7ThgDxkBn0,5532,27.9
IeQMbigrLAk,4057,697.6
sNSYazCOL8e,2046,510.1
sNSYazCOL8e,5527,2366.4
T7ThgDxkBn0,5594,22.4
IeQMbigrLAk,4065,667.4
IeQMbigrLAk,6090,1524.4
IeQMbigrLAk,4044,1374.2
IeQMbigrLAk,5088,1383.1
T7ThgDxkBn0,5076,42.7
T7ThgDxkBn0,3082,20.4
IeQMbigrLAk,1078,1504.1
sNSYazCOL8e,5585,2668.4
dkH2pnlfHLY,5076,457629.0
sNSYazCOL8e,2075,1202.7
T7ThgDxkBn0,2003,36.5
T7ThgDxkBn0,3068,43.9
sNSYazCOL8e,4055,392.2
dkH2pnlfHLY,2030,328286.0
sNSYazCOL8e,5081,1188.3
dkH2pnlfHLY,3059,180527.0
sNSYazCOL8e,1004,622.0
dkH2pnlfHLY,4018,234301.0
dkH2pnlfHLY,3089,249270.0
sNSYazCOL8e,1042,339.5
sNSYazCOL8e,4087,762.0
IeQMbigrLAk,1009,1475.2
sNSYazCOL8e,5594,591.5
IeQMbigrLAk,4050,1339.5
IeQMbigrLAk,3054,714.0
T7ThgDxkBn0,2046,39.9
sNSYazCOL8e,3026,470.4
IeQMbigrLAk,3093,1913.3
sNSYazCOL8e,6036,695.6
dkH2pnlfHLY,2015,619505.0
IeQMbigrLAk,5069,1117.7
sNSYazCOL8e,3082,526.0
T7ThgDxkBn0,5010,110.7
IeQMbigrLAk,2051,1228.6
T7ThgDxkBn0,4001,53.1
sNSYazCOL8e,5076,1098.8
T7ThgDxkBn0,5573,1587.8
IeQMbigrLAk,1042,495.2
IeQMbigrLAk,3026,1008.3
dkH2pnlfHLY,2022,510487.0
T7ThgDxkBn0,2075,439.1
sNSYazCOL8e,3029,1677.2
IeQMbigrLAk,4055,1118.0
T7ThgDxkBn0,3048,63.4
sNSYazCOL8e,3054,500.0
T7ThgDxkBn0,5070,20.1
T7ThgDxkBn0,5552,26.3
T7ThgDxkBn0,3035,57.5
T7ThgDxkBn0,4055,9084.4
sNSYazCOL8e,1079,634.4
dkH2pnlfHLY,5585,1526481.0
IeQMbigrLAk,5081,1583.3
T7ThgDxkBn0,6036,28.5
T7ThgDxkBn0,5577,28.9
T7ThgDxkBn0,3067,76.9
dkH2pnlfHLY,3056,279227.0
T7ThgDxkBn0,5549,58.8
sNSYazCOL8e,4057,474.0
IeQMbigrLAk,5585,1833.4
sNSYazCOL8e,5532,744.6
IeQMbigrLAk,5577,1036.1
IeQMbigrLAk,2084,1171.7
sNSYazCOL8e,4050,995.8
dkH2pnlfHLY,2046,130569.0
IeQMbigrLAk,5010,2427.5
T7ThgDxkBn0,1006,265.2
dkH2pnlfHLY,5577,136705.0
IeQMbigrLAk,3056,1070.5
dkH2pnlfHLY,2084,121724.0
T7ThgDxkBn0,3029,50.8
sNSYazCOL8e,2019,2470.0
T7ThgDxkBn0,4047,551.4
IeQMbigrLAk,2046,1171.4
sNSYazCOL8e,3093,2353.9
sNSYazCOL8e,1078,1058.5
IeQMbigrLAk,3086,1073.4
IeQMbigrLAk,3068,1194.3
dkH2pnlfHLY,5064,316140.0
dkH2pnlfHLY,5594,327665.0
sNSYazCOL8e,2012,1003.2
IeQMbigrLAk,3048,2037.0
dkH2pnlfHLY,5010,1144530.0
sNSYazCOL8e,2013,1143.4
