Data,Organisation unit,Value
Average length of stay,Chandpur District,102.6
Bed occupancy rate,Sylhet District,1620.9
Average length of stay,Satkhira District,1699.6
Total patient days,Rajbari District,192931.0
Total patient days,Gaibandha District,244483.0
Total patient days,Jashore District,581203.0
Bed occupancy rate,Jamalpur District,1232.4
No. of sanctioned beds,Chattogram District,1705.1
Total patient days,Satkhira District,304602.4
Average length of stay,Barguna District,36.2
No. of sanctioned beds,Bandarban District,492.5
Total patient days,Nilphamari District,310047.0
Total patient days,Chandpur District,359361.0
No. of sanctioned beds,Rangamati District,512.6
No. of sanctioned beds,Munshiganj District,683.9
Average length of stay,Gaibandha District,27.9
Bed occupancy rate,Meherpur District,697.6
No. of sanctioned beds,Khagrachhari District,510.1
No. of sanctioned beds,Dinajpur District,2366.4
Average length of stay,Thakurgaon District,22.4
Bed occupancy rate,Narail District,667.4
Bed occupancy rate,Sunamganj District,1524.4
Bed occupancy rate,Jhenaidaha District,1374.2
Bed occupancy rate,Sirajganj District,1383.1
Average length of stay,Pabna District,42.7
Average length of stay,Rajbari District,20.4
Bed occupancy rate,Patuakhali District,1504.1
No. of sanctioned beds,Rangpur District,2668.4
Total patient days,Pabna District,457629.0
No. of sanctioned beds,Noakhali District,1202.7
Average length of stay,Bandarban District,36.5
Average length of stay,Narshingdi District,43.9
No. of sanctioned beds,Magura District,392.2
Total patient days,Feni District,328286.0
No. of sanctioned beds,Rajshahi District,1188.3
Total patient days,Munshiganj District,180527.0
No. of sanctioned beds,Barguna District,622.0
Total patient days,Chuadanga District,234301.0
Total patient days,Sherpur District,249270.0
No. of sanctioned beds,Jhalokati District,339.5
No. of sanctioned beds,Satkhira District,762.0
Bed occupancy rate,Bhola District,1475.2
No. of sanctioned beds,Thakurgaon District,591.5
Bed occupancy rate,Kustia District,1339.5
Bed occupancy rate,Madaripur District,714.0
Average length of stay,Khagrachhari District,39.9
No. of sanctioned beds,Dhaka District,470.4
Bed occupancy rate,Tangail District,1913.3
No. of sanctioned beds,Habiganj District,695.6
Total patient days,Chattogram District,619505.0
Bed occupancy rate,Natore District,1117.7
No. of sanctioned beds,Rajbari District,526.0
Average length of stay,Bogura District,110.7
Bed occupancy rate,Laksmipur District,1228.6
Average length of stay,Bagerhat District,53.1
No. of sanctioned beds,Pabna District,1098.8
Average length of stay,Nilphamari District,1587.8
Bed occupancy rate,Jhalokati District,495.2
Bed occupancy rate,Dhaka District,1008.3
Total patient days,Coxs Bazar District,510487.0
Average length of stay,Noakhali District,439.1
No. of sanctioned beds,Faridpur District,1677.2
Bed occupancy rate,Magura District,1118.0
Average length of stay,Kishoreganj District,63.4
No. of sanctioned beds,Madaripur District,500.0
Average length of stay,Chapai Nababganj District,20.1
Average length of stay,Lalmonirhat District,26.3
Average length of stay,Gopalganj District,57.5
Average length of stay,Magura District,9084.4
No. of sanctioned beds,Pirojpur District,634.4
Total patient days,Rangpur District,1526481.0
Bed occupancy rate,Rajshahi District,1583.3
Average length of stay,Habiganj District,28.5
Average length of stay,Panchagarh District,28.9
Average length of stay,Narayanganj District,76.9
Total patient days,Manikganj District,279227.0
Average length of stay,Kurigram District,58.8
No. of sanctioned beds,Meherpur District,474.0
Bed occupancy rate,Rangpur District,1833.4
No. of sanctioned beds,Gaibandha District,744.6
Bed occupancy rate,Panchagarh District,1036.1
Bed occupancy rate,Rangamati District,1171.7
No. of sanctioned beds,Kustia District,995.8
Total patient days,Khagrachhari District,130569.0
Bed occupancy rate,Bogura District,2427.5
Average length of stay,Barishal District,265.2
Total patient days,Panchagarh District,136705.0
Bed occupancy rate,Manikganj District,1070.5
Total patient days,Rangamati District,121724.0
Average length of stay,Faridpur District,50.8
No. of sanctioned beds,Cumilla District,2470.0
Average length of stay,Khulna District,551.4
Bed occupancy rate,Khagrachhari District,1171.4
No. of sanctioned beds,Tangail District,2353.9
No. of sanctioned beds,Patuakhali District,1058.5
Bed occupancy rate,Shariatpur District,1073.4
Bed occupancy rate,Narshingdi District,1194.3
Total patient days,Naogaon District,316140.0
Total patient days,Thakurgaon District,327665.0
No. of sanctioned beds,Brahmanbaria District,1003.2
Bed occupancy rate,Kishoreganj District,2037.0
Total patient days,Bogura District,1144530.0
No. of sanctioned beds,Chandpur District,1143.4
Average length of stay,Bhola District,35.1
Average length of stay,Munshiganj District,33.0
Total patient days,Shariatpur District,155917.0
Average length of stay,Sherpur District,27.8
Total patient days,Narshingdi District,248076.0
No. of sanctioned beds,Chuadanga District,386.0
No. of sanctioned beds,Bagerhat District,896.6
Total patient days,Kurigram District,312418.0
Total patient days,Kishoreganj District,577399.0
Average length of stay,Manikganj District,365.3
Bed occupancy rate,Kurigram District,1715.2
Average length of stay,Rangpur District,188.1
Total patient days,Narayanganj District,310557.0
No. of sanctioned beds,Maulavi Bazar District,1018.3
No. of sanctioned beds,Sylhet District,983.1
Total patient days,Joypurhat District,255881.0
Bed occupancy rate,Joypurhat District,924.2
Bed occupancy rate,Narayanganj District,900.8
Bed occupancy rate,Chapai Nababganj District,941.8
Total patient days,Bandarban District,106616.0
Average length of stay,Natore District,23.5
Bed occupancy rate,Bandarban District,765.8
Average length of stay,Jashore District,509.6
Total patient days,Chapai Nababganj District,221504.0
Bed occupancy rate,Naogaon District,1488.3
Average length of stay,Rajshahi District,145.3
Average length of stay,Jamalpur District,36.5
Bed occupancy rate,Jashore District,2146.8
No. of sanctioned beds,Barishal District,1232.1
Total patient days,Meherpur District,155072.6
Bed occupancy rate,Chandpur District,1310.8
No. of sanctioned beds,Laksmipur District,505.0
No. of sanctioned beds,Manikganj District,808.8
Bed occupancy rate,Satkhira District,1606.3
Average length of stay,Patuakhali District,51.3
No. of sanctioned beds,Gazipur District,914.5
No. of sanctioned beds,Mymensingh District,1082.7
Bed occupancy rate,Nilphamari District,1333.1
No. of sanctioned beds,Naogaon District,1172.5
Bed occupancy rate,Rajbari District,828.9
Average length of stay,Narail District,16.1
Average length of stay,Joypurhat District,62.8
No. of sanctioned beds,Netrokona District,1024.8
Total patient days,Madaripur District,170099.0
Total patient days,Patuakhali District,484995.0
No. of sanctioned beds,Bhola District,724.1
Average length of stay,Jhenaidaha District,25.1
Total patient days,Narail District,170557.0
