Data,Organisation unit,Value
LSNFSyDR2Ec,508811,354.0
LSNFSyDR2Ec,305678,285.0
oPi0KdUUkmk,203025,1644.0
oPi0KdUUkmk,308694,341.0
oPi0KdUUkmk,508850,1602.0
oPi0KdUUkmk,609135,526.0
oPi0KdUUkmk,507633,319.0
LSNFSyDR2Ec,307204,126.0
LSNFSyDR2Ec,208447,173.0
oPi0KdUUkmk,306116,595.0
sEUfcw9o8lY,309325,240.0
LSNFSyDR2Ec,107866,2584.0
oPi0KdUUkmk,553267,943.0
oPi0KdUUkmk,603605,3313.0
hqjBtX8dq6A,309325,15.0
oPi0KdUUkmk,507037,1175.0
BUpsWV0H2U1,201285,15.0
oPi0KdUUkmk,308636,257.0
LSNFSyDR2Ec,107838,1500.0
oPi0KdUUkmk,306863,744.0
oPi0KdUUkmk,203041,517.0
LSNFSyDR2Ec,506403,1876.0
oPi0KdUUkmk,609127,225.0
oPi0KdUUkmk,603626,1653.0
oPi0KdUUkmk,304833,548.0
LSNFSyDR2Ec,205133,1056.0
oPi0KdUUkmk,308970,3480.0
D5LvPeAzKcB,309309,6.0
oPi0KdUUkmk,557364,12.0
oPi0KdUUkmk,603611,1878.0
LSNFSyDR2Ec,208429,78.0
oPi0KdUUkmk,406552,2057.0
oPi0KdUUkmk,508131,4253.0
oPi0KdUUkmk,609131,1703.0
z0lqphEi3zR,553291,2.0
LSNFSyDR2Ec,200304,1666.0
sEUfcw9o8lY,302910,13.0
LSNFSyDR2Ec,501095,797.0
oPi0KdUUkmk,507088,1098.0
LSNFSyDR2Ec,503874,489.0
oPi0KdUUkmk,302614,3031.0
BUpsWV0H2U1,304827,1.0
oPi0KdUUkmk,404794,2315.0
oPi0KdUUkmk,404764,5592.0
oPi0KdUUkmk,302638,4704.0
LSNFSyDR2Ec,552743,278.0
oPi0KdUUkmk,308207,1758.0
LSNFSyDR2Ec,507056,417.0
oPi0KdUUkmk,201508,7057.0
oPi0KdUUkmk,201345,422.0
LSNFSyDR2Ec,306876,944.0
oPi0KdUUkmk,404109,1417.0
LSNFSyDR2Ec,609023,5639.0
LSNFSyDR2Ec,306120,1344.0
oPi0KdUUkmk,306852,437.0
LSNFSyDR2Ec,305610,70.0
oPi0KdUUkmk,506909,1120.0
LSNFSyDR2Ec,603602,974.0
LSNFSyDR2Ec,306194,6794.0
LSNFSyDR2Ec,307209,462.0
oPi0KdUUkmk,557312,707.0
oPi0KdUUkmk,507639,991.0
oPi0KdUUkmk,200391,15.0
LSNFSyDR2Ec,307247,739.0
oPi0KdUUkmk,508112,81.0
LSNFSyDR2Ec,503847,12.0
LSNFSyDR2Ec,507655,258.0
LSNFSyDR2Ec,303332,2962.0
oPi0KdUUkmk,305646,111.0
oPi0KdUUkmk,408743,203.0
oPi0KdUUkmk,107947,1935.0
oPi0KdUUkmk,507605,2351.0
oPi0KdUUkmk,508867,409.0
oPi0KdUUkmk,302662,45.0
LSNFSyDR2Ec,305682,1829.0
oPi0KdUUkmk,405094,7467.0
LSNFSyDR2Ec,306172,2557.0
oPi0KdUUkmk,100921,2408.0
LSNFSyDR2Ec,609138,1707.0
LSNFSyDR2Ec,303936,1056.0
oPi0KdUUkmk,201927,1450.0
vqTWkrty3Jm,304854,710.0
LSNFSyDR2Ec,603677,1602.0
LSNFSyDR2Ec,201294,355.0
LSNFSyDR2Ec,609033,828.0
D5LvPeAzKcB,309325,4.0
LSNFSyDR2Ec,201233,1252.0
LSNFSyDR2Ec,508194,66.0
oPi0KdUUkmk,558527,1802.0
oQpROGtfeBV,201285,22.0
oPi0KdUUkmk,305984,2483.0
LjqPTGGvNRq,404161,3.0
oPi0KdUUkmk,552760,1395.0
LSNFSyDR2Ec,404712,749.0
LSNFSyDR2Ec,305628,765.0
oPi0KdUUkmk,201349,351.0
LSNFSyDR2Ec,506469,294.0
oPi0KdUUkmk,609086,153.0
oPi0KdUUkmk,201918,1359.0
oPi0KdUUkmk,304849,198.0
LSNFSyDR2Ec,552756,5763.0
LSNFSyDR2Ec,400108,144.0
LSNFSyDR2Ec,554909,774.0
LSNFSyDR2Ec,404717,513.0
LSNFSyDR2Ec,306122,246.0
LSNFSyDR2Ec,303961,1310.0
LSNFSyDR2Ec,609141,3873.0
LSNFSyDR2Ec,306113,386.0
vqTWkrty3Jm,303985,12.0
oPi0KdUUkmk,107855,79.0
oPi0KdUUkmk,207521,3067.0
oPi0KdUUkmk,405585,815.0
LSNFSyDR2Ec,404123,76.0
oPi0KdUUkmk,404730,264.0
oQpROGtfeBV,304827,16.0
oPi0KdUUkmk,100662,1002.0
LSNFSyDR2Ec,303543,1434.0
oPi0KdUUkmk,30-26-72,1096.0
hqE1TN41cov,304854,211.0
oPi0KdUUkmk,204665,32.0
oPi0KdUUkmk,400114,1401.0
oPi0KdUUkmk,400156,4678.0
LSNFSyDR2Ec,201972,540.0
oPi0KdUUkmk,406528,3986.0
oPi0KdUUkmk,552710,4003.0
oPi0KdUUkmk,408790,766.0
oPi0KdUUkmk,205165,9158.0
LSNFSyDR2Ec,557725,823.0
oPi0KdUUkmk,201290,1239.0
LSNFSyDR2Ec,304849,299.0
peOvSKekFoz,302918,4.0
LSNFSyDR2Ec,205143,1744.0
oPi0KdUUkmk,508844,796.0
HOvSWWwUxTj,309325,10.0
LSNFSyDR2Ec,555233,1983.0
LSNFSyDR2Ec,305944,406.0
oPi0KdUUkmk,507672,1506.0
oPi0KdUUkmk,30-72-18,3493.0
B4YEoNEG73p,553291,2.0
oPi0KdUUkmk,201347,724.0
LSNFSyDR2Ec,408790,226.0
LSNFSyDR2Ec,552710,4222.0
LSNFSyDR2Ec,555239,957.0
oPi0KdUUkmk,200389,642.0
LSNFSyDR2Ec,405787,345.0
nz6YCeq2pX9,304854,262.0
vqTWkrty3Jm,100607,676.0
LSNFSyDR2Ec,405585,491.0
oPi0KdUUkmk,304892,2782.0
qLCS4bdnq7o,553291,18.0
oPi0KdUUkmk,557725,972.0
LSNFSyDR2Ec,207587,1066.0
oPi0KdUUkmk,303929,2594.0
LSNFSyDR2Ec,405039,2408.0
KMOqYX7Quh6,303334,39.0
hqE1TN41cov,405094,110.0
oPi0KdUUkmk,303543,1437.0
UiWsyUnZkrW,309309,21.0
oPi0KdUUkmk,507655,643.0
oPi0KdUUkmk,107857,444.0
oPi0KdUUkmk,552717,2059.0
oPi0KdUUkmk,609120,6614.0
LSNFSyDR2Ec,201967,722.0
QOfP9d89cay,304827,13.0
oPi0KdUUkmk,501040,1647.0
z0lqphEi3zR,501040,2.0
LSNFSyDR2Ec,507672,1027.0
LSNFSyDR2Ec,309328,682.0
LSNFSyDR2Ec,558558,106.0
oPi0KdUUkmk,207587,1377.0
oPi0KdUUkmk,304859,792.0
oPi0KdUUkmk,506915,428.0
oPi0KdUUkmk,555255,593.0
oPi0KdUUkmk,558573,1140.0
oPi0KdUUkmk,308614,1674.0
LSNFSyDR2Ec,305974,2848.0
LSNFSyDR2Ec,104284,1389.0
oPi0KdUUkmk,508110,1012.0
oPi0KdUUkmk,107980,1425.0
oPi0KdUUkmk,100409,1971.0
oPi0KdUUkmk,207507,2646.0
oPi0KdUUkmk,100607,1440.0
oPi0KdUUkmk,557704,791.0
LSNFSyDR2Ec,609092,333.0
oPi0KdUUkmk,405071,1219.0
oPi0KdUUkmk,201586,2288.0
oPi0KdUUkmk,207547,1222.0
oPi0KdUUkmk,306124,1378.0
peOvSKekFoz,304827,33.0
eNU1NNF2pQx,309309,18.0
LSNFSyDR2Ec,557790,285.0
LSNFSyDR2Ec,609120,2793.0
LSNFSyDR2Ec,203051,487.0
oPi0KdUUkmk,558576,585.0
oPi0KdUUkmk,508894,2397.0
oPi0KdUUkmk,507056,285.0
LSNFSyDR2Ec,507639,2029.0
LSNFSyDR2Ec,303929,1313.0
LSNFSyDR2Ec,406552,1122.0
LSNFSyDR2Ec,508878,76.0
oPi0KdUUkmk,558558,139.0
LSNFSyDR2Ec,503861,3180.0
LSNFSyDR2Ec,609162,293.0
oPi0KdUUkmk,501067,679.0
LSNFSyDR2Ec,404794,1120.0
LSNFSyDR2Ec,508110,641.0
KMOqYX7Quh6,501040,3.0
oPi0KdUUkmk,308276,335.0
oPi0KdUUkmk,309376,1960.0
LSNFSyDR2Ec,558576,481.0
oPi0KdUUkmk,405595,249.0
oPi0KdUUkmk,553291,106.0
LSNFSyDR2Ec,308669,57.0
LSNFSyDR2Ec,405094,7349.0
LSNFSyDR2Ec,501033,2319.0
oPi0KdUUkmk,400160,1033.0
oPi0KdUUkmk,200351,460.0
oPi0KdUUkmk,555239,1288.0
B4YEoNEG73p,501040,3.0
LSNFSyDR2Ec,557312,407.0
LSNFSyDR2Ec,501088,1140.0
LSNFSyDR2Ec,506944,3111.0
LSNFSyDR2Ec,306131,2930.0
oPi0KdUUkmk,304811,6358.0
LSNFSyDR2Ec,100929,1515.0
nmrda5BvDyY,553291,2.0
LSNFSyDR2Ec,203025,1010.0
oPi0KdUUkmk,508172,87.0
LSNFSyDR2Ec,207547,849.0
oPi0KdUUkmk,609092,293.0
LSNFSyDR2Ec,107876,1112.0
oPi0KdUUkmk,202245,984.0
oPi0KdUUkmk,306876,994.0
LSNFSyDR2Ec,304892,2446.0
HOvSWWwUxTj,553291,2.0
LSNFSyDR2Ec,200389,284.0
LSNFSyDR2Ec,552717,614.0
oPi0KdUUkmk,557790,279.0
gNbxsqvtu9W,302918,4.0
UP_24101,309309,18.0
LSNFSyDR2Ec,506450,134.0
oPi0KdUUkmk,201322,299.0
oPi0KdUUkmk,501033,3217.0
oPi0KdUUkmk,553282,1389.0
LSNFSyDR2Ec,304833,154.0
oPi0KdUUkmk,554906,800.0
B4YEoNEG73p,303334,25.0
LSNFSyDR2Ec,501094,2270.0
LSNFSyDR2Ec,308967,2494.0
qLCS4bdnq7o,309325,6.0
HvI2ctpIQHX,303985,19.0
LSNFSyDR2Ec,308694,411.0
oPi0KdUUkmk,401807,4020.0
LSNFSyDR2Ec,201347,592.0
LSNFSyDR2Ec,203041,730.0
oPi0KdUUkmk,303336,1911.0
sEUfcw9o8lY,30-72-18,43.0
nmrda5BvDyY,309309,2.0
oPi0KdUUkmk,100602,2974.0
LSNFSyDR2Ec,404161,9135.0
LSNFSyDR2Ec,307240,5577.0
LSNFSyDR2Ec,508131,2964.0
nz6YCeq2pX9,100607,48.0
oPi0KdUUkmk,508153,347.0
oPi0KdUUkmk,100965,2399.0
oPi0KdUUkmk,208436,783.0
oPi0KdUUkmk,501094,4825.0
LSNFSyDR2Ec,100447,506.0
oPi0KdUUkmk,404147,244.0
oPi0KdUUkmk,304876,1726.0
qLCS4bdnq7o,501040,2.0
