Data,Organisation unit,Value
nmrda5BvDyY,4041,118.0
HOvSWWwUxTj,5010,5.0
QOfP9d89cay,3048,13.0
LSNFSyDR2Ec,3068,19765.0
hqE1TN41cov,3048,211.0
oPi0KdUUkmk,5549,15812.0
sEUfcw9o8lY,3029,17.0
sEUfcw9o8lY,2012,11.0
nmrda5BvDyY,5532,2.0
oPi0KdUUkmk,4018,11816.0
oPi0KdUUkmk,4001,32230.0
gNbxsqvtu9W,3061,1271.0
vqTWkrty3Jm,3048,710.0
D5LvPeAzKcB,5532,2.0
hqjBtX8dq6A,2012,15.0
LSNFSyDR2Ec,3089,9950.0
ZhJQn2ezoWQ,3048,8.0
oPi0KdUUkmk,2030,17190.0
UP_24101,5532,6.0
KMOqYX7Quh6,3093,89.0
peOvSKekFoz,5010,4.0
gNbxsqvtu9W,3072,44.0
LSNFSyDR2Ec,5573,19294.0
KMOqYX7Quh6,4044,7133.0
oPi0KdUUkmk,3089,14340.0
oPi0KdUUkmk,6058,16327.0
oPi0KdUUkmk,4047,30834.0
oPi0KdUUkmk,2022,20822.0
LSNFSyDR2Ec,4001,24553.0
Su9eBNb3k0d,3026,576282.0
hqE1TN41cov,4041,7229.0
vqTWkrty3Jm,4041,6063.0
nz6YCeq2pX9,6091,72.0
D5LvPeAzKcB,3048,2.0
oPi0KdUUkmk,3067,20073.0
nz6YCeq2pX9,4044,6988.0
UiWsyUnZkrW,3093,84.0
z0lqphEi3zR,5549,5.0
HOvSWWwUxTj,3048,1.0
nz6YCeq2pX9,3061,941.0
nz6YCeq2pX9,3039,21.0
LjqPTGGvNRq,1006,6.0
oQpROGtfeBV,3048,16.0
LSNFSyDR2Ec,4041,28268.0
oPi0KdUUkmk,3068,29062.0
hqjBtX8dq6A,4044,4763.0
sEUfcw9o8lY,3026,431926.0
LSNFSyDR2Ec,3048,38351.0
nz6YCeq2pX9,1006,48.0
KMOqYX7Quh6,3026,15739.0
oPi0KdUUkmk,1006,23533.0
LSNFSyDR2Ec,3067,14953.0
eNU1NNF2pQx,3048,30.0
sEUfcw9o8lY,4044,6209.0
LSNFSyDR2Ec,5549,13765.0
LSNFSyDR2Ec,6058,10782.0
Su9eBNb3k0d,4044,10251.0
HOvSWWwUxTj,5532,2.0
z0lqphEi3zR,3048,9.0
oPi0KdUUkmk,3048,49233.0
BUpsWV0H2U1,3061,219.0
peOvSKekFoz,3033,122.0
oQpROGtfeBV,5532,6.0
B4YEoNEG73p,5527,5.0
oPi0KdUUkmk,5076,28589.0
KMOqYX7Quh6,3029,8.0
LSNFSyDR2Ec,2013,6605.0
LjqPTGGvNRq,3093,98.0
z0lqphEi3zR,5010,2.0
LSNFSyDR2Ec,4018,15362.0
vqTWkrty3Jm,6058,60.0
gNbxsqvtu9W,3033,170.0
eNU1NNF2pQx,5532,6.0
HvI2ctpIQHX,5527,1846.0
oPi0KdUUkmk,5552,10011.0
z0lqphEi3zR,5532,2.0
eNU1NNF2pQx,5010,1.0
qLCS4bdnq7o,5532,18.0
oPi0KdUUkmk,5573,27983.0
UP_24101,4041,0.0
oPi0KdUUkmk,3035,9225.0
oPi0KdUUkmk,5010,41433.0
oPi0KdUUkmk,5532,4165.0
gNbxsqvtu9W,3093,389.0
oPi0KdUUkmk,4087,47503.0
hqE1TN41cov,1006,4431.0
UiWsyUnZkrW,3061,610.0
qLCS4bdnq7o,3093,18.0
oPi0KdUUkmk,5038,13041.0
oPi0KdUUkmk,3039,15133.0
LSNFSyDR2Ec,3059,10988.0
eNU1NNF2pQx,4041,5.0
LSNFSyDR2Ec,1009,23574.0
LSNFSyDR2Ec,3056,6073.0
B4YEoNEG73p,5010,3.0
qLCS4bdnq7o,4044,665.0
oPi0KdUUkmk,5064,12756.0
gNbxsqvtu9W,4044,90197.0
LSNFSyDR2Ec,2075,29459.0
nmrda5BvDyY,5010,4.0
vqTWkrty3Jm,5527,3711.0
LSNFSyDR2Ec,5585,23835.0
HvI2ctpIQHX,4041,118.0
B4YEoNEG73p,3026,1343.0
B4YEoNEG73p,3048,1.0
hqE1TN41cov,3026,270234.0
LjqPTGGvNRq,4044,307.0
peOvSKekFoz,4044,453.0
LSNFSyDR2Ec,3039,15496.0
oPi0KdUUkmk,5585,34029.0
UP_24101,5010,4.0
nz6YCeq2pX9,3048,262.0
LSNFSyDR2Ec,3035,3938.0
LSNFSyDR2Ec,4055,9968.0
LSNFSyDR2Ec,5552,8596.0
LSNFSyDR2Ec,1004,10175.0
LSNFSyDR2Ec,6036,24553.0
qLCS4bdnq7o,3026,254992.0
LSNFSyDR2Ec,5532,4209.0
UiWsyUnZkrW,3026,4618.0
z0lqphEi3zR,3061,240.0
